Title,Article
Author News,"Notes from Moscow

It is better to be in the Russian opposition only if you are not in Russia"
"Puducherry - Latest News, Politics, Events, Entertainment",
"Madurai - Latest News, Politics, Events, Entertainment",
"Mangalore - Latest News, Politics, Events, Entertainment",
"Bengaluru - Latest News, Politics, Events, Entertainment","Premier Badminton League ‘It is only a question of how quickly we understand each other’

Ashwini Ponnappa and N. Sikki Reddy, who will play for Bengaluru Blasters, look to the ongoing Premier Badminton League (though they feature only in the mixed doubles event as there is no women’s doubles) as a huge learning curve.Their first target will be to break into the elite group in women’s doubles after finishing runner-up in the recent Welsh International Challenge and picking up a bronze at the Irish Grand Prix.Ashwini says they will take it match by match as they chart their course in"
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Telangana - Latest news, Live Updates, Politics, Events","Photo exhibition on Raj Gonds of Adilabad

In connection with the International Day of the World’s Indigenous people 2017, the Goethe-Zentrum Hyderabad is organising an exhibition of photos of The Hindu’s Senior Assistant Editor in Adilabad, S. Harpal Singh, between August 9 and 22. The series of images, titled ‘Raj Gonds of Adilabad’, would be displayed at the Hamburg Hall of Goethe-Zentrum at Road No. 3, Banjara Hills and would cover some of the important aspects in the life and times of the Raj Gond tribe from the four districts in"
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Kolkata - Latest News, Politics, Events, Entertainment",
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
"India Latest News, Live Updates, Politics, Governance, Law","There is no need for Central government employees to visit banks to start pension as their copy of the Pension Payment Order (PPO) will be handed over to them at the time of retirement, the Personnel Ministry has said.Citing existing rules in this regard, the ministry, in a recent order issued to all central government departments, has said, “The pensioner is no longer required to visit the bank to activate the first payment of pension.” The rules also provide for an undertaking to be submitted"
"Andhra Pradesh - Latest news, Live Updates, Politics, Events",They don’t want to wake up to another death or move out of their village
"Tamil Nadu - Latest news, Live Updates, Politics, Events","NIA questions two more in TN over Islamic State module case

Sleuths from the National Investigation Agency (NIA) on Saturday interrogated five persons in Coimbatore and one in Tirupur on the charge of engaging in pro-IS propaganda on social media and online messaging platforms.NIA officials said those interrogated were associates of two persons questioned by the agency in Coimbatore on Thursday.The six suspects were interrogated at the Kattoor police station and the City Police Commissioner’s office.Two of those who were questioned on Saturday run old"
"Kochi - Latest News, Politics, Events, Entertainment",
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Chennai - Latest News, Politics, Events, Entertainment","What do you know about Campbellabad, I was asked the other day. Thinking I still knew the Political Geography I had once specialised in, “It’s a town in Pakistan,” I casually answered. Only to be told it’s a 300-year-old village in Tuticorin District. When my caller wanted to know whether what the locals had told him, that it was named after a Madras Governor, was correct, I was a little more careful. “I think Governor Campbell was some time later but let me check,” I hesitantly answered.So"
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","Cycling Karnataka takes the day’s honours

A spate of records in junior and sub-junior categories enlivened the proceedings on the third day of the 69th senior, 46th junior and 32nd sub-junior National track cycling championship at the LNCPE Velodrome here on Friday. However, the day belonged to cyclists from Karnataka who won three gold medals which enabled the State to climb to third position in points table with 20 points. Kerala continues to lead the table with 42 points followed by Manipur with 30 points. After lying low for two"
"Mumbai - Latest News, Politics, Events, Entertainment","Fewer child sex slaves in Mumbai brothels, but underground trade a concern: study

The number of children trafficked for sex in the red light districts of Mumbai has dropped sharply, activists said, as they raised concerns over the trade shifting underground to private lodges and residences.A study by the non-governmental International Justice Mission (IJM), Commercial Sexual Exploitation of Children in Mumbai, mapped nearly 10,000 commercial sex workers in more than 1,000 brothels, and about 200 sex workers operating from private establishments.In brothels, it found the"
"India States - Latest news, Live Updates, Politics, Events","Jignesh Mevani, face of Dalits in Gujarat

Jignesh Mevani, a 36-year-old lawyer and activist, has been at the forefront of the Ambedkarite movement in Gujarat where Dalits comprise about 7% of the State’s population. Last month, a year after a Dalit backlash at Una, Mr. Mevani organised an Azaadi Kooch (a march for freedom) from Mehsana to Dhanera in Banaskantha district. This march ended with four Dalits in Lavara village getting possession of 12 acres of land that was theirs on paper but until then was being controlled by a local"
Latest news updates from major cities of India,"NAAC revises accreditation process

The National Assessment and Accreditation Council, the autonomous body which accredits higher education institutions (HEIs) in India, has come out with a revised accreditation framework designed to promote transparency in the assessment process.“The idea is to make the process more rigorous, transparent and efficient,” said a NAAC official. According to a release, instead of the earlier process which was completely done on-site by a group of assessors, there will now be two stages of assessment,"
"Kerala - Latest news, Live Updates, Politics, Events","Director-actor Sidharth Bharathan returns to the marquee after a gap with the curiously-titled Varnyathil Aashanka

Sanalkumar Sasidharan, one of the most successful ambassadors of independent cinema in Malayalam, on his new film ‘Unmadiyude Maranam’ and the space in which his films are born"
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
International News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Latest Regional News, Politics, Events, Entertainment","Mangaluru police arrests absconding accused in Mumbai

The Mangaluru police on Saturday arrested in Mumbai Vinesh Shetti (46), an accused in a double murder case of 2003.Shetti, a native of Shirva in Udupi, was among the accused arrested by Mangaluru's Konaje police in 2003 in connection with murder of Venugopal Nayak and his driver Santosh near Mudipu. After his release on bail in 2005, Shetti failed to appear before the trial court which issued non-bailable warrant. Few weeks ago the 6th Additional District and Sessions Judge, who is hearing the"
"Karnataka - Latest news, Live Updates, Politics, Events","Mahadayi: Will lead delegation to Goa CM, says Yeddyurappa

In an attempt to wriggle out of a tough situation that the BJP finds itself in over the Mahadayi river water dispute between Karnataka and Goa, party’s Karnataka unit president B.S. Yeddyurappa on Saturday announced that he would soon lead a delegation to Goa Chief Minister Manohar Parrikar over the issue. He was speaking at the inauguration of a convention of the party’s State unit here.“I will appeal to the Goa Chief Minister to take a stand in the larger interest of the people of seven"
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Trichy - Latest News, Politics, Events, Entertainment",
வீடியோ News,
"Kozhikode - Latest News, Politics, Events, Entertainment",
