Title,Article
Which newly elected MLA are you most like?,"Know how many people like you made it to Vidhan Sabha across the five states this election season.

I am a year old male female person of the third gender with no education education up to 5th class education up to 8th class education up to 12th class a bachelor's degree a post graduate degree doctorate degree . I have net assets worth less than a crore 1 cr. to 50 cr. 50 cr. to 100 cr. over 100 cr. . I have been accused in no criminal cases less than 10 criminal cases more than 10 criminal cases .

Who am I most like?"
"Full cricket score, India vs Sri Lanka, 2nd Test, Day 3, Colombo: SL 209/2 (f/o) at stumps, Kusal Mendis 110","Powered by Kusal Mendis’ 110 and Dimuth Karunaratne’s unbeaten 92, Sri Lanka were 209/2 after being asked to follow-on. Having conceded a massive 439-run lead after a woeful batting display in the first innings, the hosts still trail by 230 runs. Catch full cricket score of India vs Sri Lanka, 2nd Test, Day 3, here (HIGHLIGHTS | STREAMING INFO )

If you cannot view the India vs Sri Lanka, 2nd Test, Day 3 full cricket scorecard, click here"
Kusal Mendis earns Aravinda de Silva’s praise after ton vs India,"During Sri Lanka batting stalwart Aravinda de Silva’s career, opposition bowlers dreaded bowling to him at the Sinhalese Sports Club ground track. A batsman who always looked to dominate despite his average build, Aravinda de Silva had an intimidating presence at the ground thanks to his powerful cut and pull shots.

This season has been a bit hard to take for Sri Lanka stalwarts like him with their team being pushed hard by all opposition. For the first time in the series against India, the master blaster made his presence felt at the ground. It seemed to fire up the home team batsmen and that reflected in their improved performance in the second half of the day as for the first time in the series, Sri Lanka batsmen dominated the Indian attack.

READ | India vs Sri Lanka: Kusal Mendis hits ton, hosts finally show resistance

Kusal’s counter

Leading the counter-attack was the 22-year-old rising star Kusal Mendis, who struck a blazing 110 off 135 balls on Saturday, the sort of dominating effort Aravinda de Silva was known for in his prime.

“Kusal is the best among the current lot. He has a great future in Sri Lankan cricket, but I feel he should not take unnecessary pressure, and continue to play freely,” Aravinda told the Hindustan Times as he was leaving the SSC after the third day’s play.

Marked out as the next big thing in Sri Lankan cricket, it was Mendis’ third century, the feature of it being the way he tamed R Ashwin and Ravindra Jadeja on a dry, turning surface.

READ | Kusal Mendis leads Sri Lanka’s grim fight vs India in Colombo with classy ton

Ashwin, who earlier in the day picked up his 26th five-wicket haul, was all praise for the youngster. “I thought Mendis batted beautifully. He put Jaddu (Ravindra Jadeja) off his length very quickly, kept on sweeping him, and he was lucky, he got away with it. But credit to him, he batted beautifully,” said Ashwin.

Different tactics

In contrast to the Indian batsmen who used their feet to dominate the spinners, Mendis played the cross-batted shots with good effect. Ashwin admitted the tactics forced the bowlers to change their length on occasion.

“It can be a bit challenging (to play cross-batted strokes). He (Mendis) did hit some good shots off some very, very good balls from the middle of the stumps. He could have put some good balls away for fours and hence the bowlers over-compensated and bowled a few short balls.”

READ | Ravichandran Ashwin overtakes Harbhajan Singh in most five-fors list for India

Excited at the prospect of testing himself against a good opponent, Ashwin said he was looking forward to have a different tactics the next time they face off.

“As a batsman who’s sweeping against me, I don’t really mind it, it gives me a good chance. But having seen him for the first time, probably the next time I will try and come in with a different plan.”"
Apple WWDC 2017: New iOS and MacoS on the way?,"Apple has started sending out invitations to the Worldwide Developers Conference that will be held on June 5.

However, the press invites may hint at the launch of new iOS and MacOS along with new TV and WatchOS.

The keynote for the event is scheduled at 10:00 AM Pacific Time, June 5 in line with the company’s practice of holding a keynote event on the first day of the Worldwide Developers Conference, where new software is generally introduced.

Watch iPhone 8 concept video here

This year’s WWDC might actually also see the launch of new hardware in the form of new Siri-powered home speakers such as Amazon Echo, Google Home and Microsoft’s Invoke.

Apple expects to host about 5,000 developers, with hundreds of Apple engineers available to answer questions and host app development sessions. Developers who cannot attend will be able to watch the sessions through the WWDC 2017 website, and the WWDC app for iPhone, iPad, and Apple TV."
"Chipmaker Nvidia, Volvo, AutoLiv team up to develop self-driving vehicles by 2021","Chipmaker Nvidia Corp on Monday announced it was partnering with Volvo Cars and Swedish auto supplier Autoliv to develop self-driving car technology for vehicles due to hit the market by 2021.

Volvo is owned by China’s Geely Automobile Holdings Ltd .

The Silicon Valley-based Nvidia also announced a non-exclusive partnership with German automotive suppliers ZF and Hella for artificial intelligence technology for autonomous driving.

Nvidia came to prominence in the gaming industry for designing graphics processing chips, but in recent years has been a key player in the automotive sector for providing the so-called “brain” of the autonomous vehicle.

The company, whose many partners already include Tesla Inc, Toyota Motor Corp and tier one supplier Robert Bosch, announced its latest deals at an automotive electronics show in Ludwigsburg, Germany.

Nvidia’s Drive PX artificial intelligence platform is used by Tesla in its Models S and X and upcoming Model 3 electric vehicles. Volkswagen AG’s Audi is also using the system to reach full autonomous driving by 2020.

In a call with reporters, Nvidia’s senior automotive director Danny Shapiro said carmakers and their main suppliers are now moving away from the research and development phase of autonomous vehicles and into concrete production plans.

The system developed jointly by ZF and Hella, and using Nvidia’s Drive PX platform, will combine front cameras with radar and software to create technology meeting the Euro NCAP safety certification for so-called “Level 3” driving, in which some, but not all, driving is performed by the car.

Volvo is already using the Drive PX for the self-driving cars in its “Drive Me” autonomous pilot program.

Volvo’s production vehicles built on Nvidia’s platform, as announced on Monday, are planned for sale by 2021."
Can Barmer become ODF by end of 2017 with 70% work remaining?,"Prime Minister Narendra Modi has set October 2, 2019, as the deadline for the country to become open defecation free but Rajasthan’s cabinet minister Surendra Goyal, who’s in charge of Barmer, set a different deadline for the border district for the ODF tag. When he was in Barmer earlier last week, he said the district should become ODF by December 2017.

However, considering the progress of Swachh Bharat Abhiyan (SBM), the national sanitation programme for construction of household latrines, in Barmer, the new deadline looks unachievable.

SBM data shows that only 28% households in the districts have toilets now.

According to a 2012 survey, there are 4.5 lakh households in the district; 3.61 lakh of them didn’t have toilets in 2012. In four years, 108,848 household constructed toilets but this is just 28% of the household which were without latrines until 2012.

In terms of villages, out of 1,970 villages in Barmer, only 523 have become free of open defecation. This is just 27% of the total villages.

There are 489 gram panchayats in the district. Out of them, only 173 are ODF, which is again only 29%.

So, in all respects, around 70% of the target remains to be met for the district to become ODF.

Considering the situation and to fulfill the targets Barmer district collector Shivprasad Madan Nakate has taken an initiative and announced a ‘Cleanliness Award’. Under this collector will invite village Sarpanch on coffee whose panchayats will get ODF tag.

Nakate said that he is expecting that this initiative will motivate the village sarpanches to personally look after the ‘Swachh Bharat Abhiyan’s’ progress in their area. “We are also expecting that this initiative will help us to achieve the ODF target at the earliest, says collector.”

On the other villagers have alleged official apathy for legging behind in the ‘Swatch Bharat Abhiyan’. They alleged that authorities are not serious towards the campaign. Hemraj Choudhary, a local resident said that people in this region are belongs to backward section and financially they are not able to ensure such facilities.

According to Hemraj when government announced to support them with motivational amount rupees 12 thousand on construction of toiled people come forward and constructed toilets. Hemraj claimed that thousands are there who have constructed the toilets but now they are waiting for the motivational amount.

“Sometimes in the name of physical verification or other times in the name of budget crunch they were avoided for the payment. It is limiting their participation, he added.”

Countering such allegation authorities claimed that earlier they have faced budget crunch but now they have sufficient budget for the campaign and soon who have constructed the toilets will paid.

M.L.Nehra, chief executive officer at Zila Parishad in Barmer said that minister in-charge of the district Surendra Goyal has directed them to achieve ODF tag by December 31, 2017. He said that considering the topographical situation of the area though it seems difficult but also maintained that as people are now aware about the program and are supporting them, they are hopeful that they will achieve the tag by the deadline."
India vs Sri Lanka: Ravindra Jadeja stars as India wrap up series win,"Game of Thrones, Disney and Kim K in one picture? Check out this whacky Instagram

Aug 07, 2017 15:49 IST"
SGPC to hold function to remember 1965 Indo-Pak war heroes at Asal Uttar,"The Shiromani Gurdwara Parbandhak Committee (SGPC) will hold a grand religious function as a tribute to the 1965 Indo-Pak war hero, late Lieutenant General Harbakhsh Singh on September 8.

“Lieutenant General Harbakhsh Singh, who was the then commandant of army unit, played a key role in defeating Pakistani troops. To create awareness among youth of his bravery and inspire them, the SGPC will hold a function at Asal Uttar, the battle field of the war along the border in Tarn Taran,” SGPC chief Kirpal Singh Badungar told media persons on the sidelines of a function at the Golden Temple Complex on Friday.

The SGPC launched a drive to preach Sikhism, ‘Dharam Parchar Lehar’ in Majha on Friday at the Diwan Hall Manji Sahib in the Golden Temple complex. “The family of Abdul Hamid, the martyr of the war, will also be invited to the function. His portrait will also be installed at the Central Sikh museum in the Golden Temple to pay tribute to him,” Badungar added.

On whether the anniversary of ‘Dharam Yudh Morcha’ had been forgotten, Badungar said, “Punjab is the sole state of the country deprived of its own capital, a high court, river waters and Punjabi-speaking areas. Punjabis have sacrificed countless lives for the country and eradicated shortage of foodgrain.”

Claiming that the Congress was responsible for the alleged discrimination with Punjab, he said,“Congress leaders have never delivered on their promise. Even the Rajiv-Longowal Accord that has not been implemented so far — was another betrayal with Sikhs.” SGPC general secretary Amarjit Singh Chawla and other executive members. including Bhai Ram Singh, were accompanying Badungar. Badungar was, however, evasive on Anandpur Sahib Resolution that the Akalis had drafted.

On serving of non-vegetarian food on the premises of Sri Guru Ram Das Institute of Medical Sciences and Research, he said, “I am yet to find out that what is the exact situation in the matter.”

Earlier, Akal Takht jathedar Giani Gurbachan Singh and Golden Temple head granthi Giani Jagtar Singh had felicitated and honoured Badungar for starting the drive to spread Sikhism."
Sri Lanka’s sweeping success keeps them afloat in Colombo Test vs India,"At the end of the third day’s play in the second Test, Sri Lankan batsmen were a confused lot over whether the sweep shot is a good option or not.

If you look at their first innings, the verdict is that it has effectively cost Sri Lanka the match and series after captain Dinesh Chandimal’s was caught attempting to sweep Ravindra Jadeja, triggering a procession which saw the hosts crash to 183 all out in 49.4 overs in the first innings.

In the second essay, the script changed dramatically with the same shot being their most productive which helped Kusal Mendis counter the threat of R Ashwin and Ravindra Jadeja.

READ | Kusal Mendis earns Aravinda de Silva’s praise after ton vs India

Wicket-keeper Niroshan Dickwella, the only batsman to get a half-century in the first innings, revealed that their captain’s downfall didn’t put them off the strategy to take on the Indian spinners with the sweep shot on a turning wicket.

“We have to back ourselves 100 %. We might get out playing positive shots. We are now in a good situation by playing sweep shots,” said Dickwella.

“We were training hard on sweeps and reverse sweeps. Batting coach Hashan Tillakaratne and other coaches specifically speak about the sweep shots and encourage us to do that. When it comes to a spinning wicket, we have to play the sweep and that’s an option,” added Dickwella.

READ | India vs Sri Lanka: Kusal Mendis hits ton, hosts finally show resistance

Talking about the refreshing approach in the second innings after their poor performance in the morning, Dickwella revealed it was the result of a brain-storming session in the dressing room during the lunch break.

“Our approach wasn’t right in the first innings, but we had a chat before the second innings and it paid off. We had the sweep shot as one of our options. We didn’t want to sweep so early. After the first innings we had a different approach and that paid off.”

As for his first innings cameo, Dickwella said: “I backed my strength. I used to play the sweep and the reverse sweep a lot. It was the best option on a spinning wicket against Ashwin and Jadeja. I swept about 80 % of my shots.”

READ | Kusal Mendis leads Sri Lanka’s grim fight vs India in Colombo with classy ton

After scoring his hundred on Friday, India vice-captain Ajinkya Rahane had warned against playing the sweep on the SSC wicket while explaining the effectiveness of using the feet against spinners.

That both measures have proved successful show it’s about the execution, not the plan."
Telangana TS TET result 2017: Know where to check,"The Department Of School Education, Hyderabad is expected to declare the result of Telangana Teacher Eligibility Test (TS-TET) 2017 on Saturday.

Candidates can check their TET 2017 result after they are declared by clicking here.

Click on the link for TET 2017 result to go to the login page. Key in the required details in the space provided and submit to see results. Save the result on your computer and take a printout of the same.

The examination was held on July 23 in all the 31 districts of the state. The exam had two papers. The candidates who intend to become teachers for Classes 1 to 5 had to appear for Paper I and those who intend to be teachers for Classes 6 to 8 had to appear for Paper II. The candidates who intend to be teachers for all classes from 1 to 8 had to appear for both the papers.

According to a media report, 98,905 candidates appeared for paper I, while 2,30,881 appeared for paper II.

The Telangana TET certificate/marks memo will be valid for 7 years from the date of the examination and 20% weightage will be given to TS-TET scores in the ensuing Teacher Recruitment of the state government.

The examination related material will be preserved for six months from the date of examination and no application in this regard will be entertained after that period."
