Title,Article
US: Police arrests two professors in brutal stabbing of Chicago man,"This undated file photo released by the Chicago Police Department shows Wyndham Lathem, an associate professor of microbiology and immunology at Northwestern University. (File – AP photo) This undated file photo released by the Chicago Police Department shows Wyndham Lathem, an associate professor of microbiology and immunology at Northwestern University. (File – AP photo)

A Northwestern University professor and a University of Oxford employee wanted in the brutal stabbing death of a Chicago man were arrested in California on Friday and will be returned to Chicago for interrogation, federal and local authorities said Friday. Chicago police spokesman Anthony Guglielmi said Wyndham Lathem, 42, and Andrew Warren, 56, were arrested without incident and were in custody in Oakland, California.

Lathem, an associate microbiology professor at Northwestern, surrendered at the federal courthouse in Oakland, according to the Chicago Tribune, which quoted U.S. Marshals Service supervisory inspector Ed Farrell. Warren, a resident at Somerville College, a part of the Oxford University Network, was arrested in San Francisco, Farrell said. Chicago police said the two would go before an Oakland court and then be returned to Chicago, where they would be interrogated by homicide detectives. Police did not say when that would happen.

A manhunt had been underway since first-degree murder warrants were issued for the two men shortly after the body of 26-year-old Trenton James Cornell-Duranleau was found on July 27 riddled with stab wounds in the Chicago apartment where Lathem lived. “Both individuals will be held accountable for their actions and we hope today’s arrest brings some comfort for the victim’s family,” a Chicago police statement said.

Police said earlier on Friday that Lathem had sent a video to friends and relatives apologizing for his involvement in the crime, which he called the “biggest mistake of my life.” The video raised concern among investigators that Lathem might kill himself. “We are also thankful both men are safely in custody and this did not end in further tragedy,” the police statement said.

Warren had arrived in the United States three days before the death of Cornell-Duranleau and was seen in surveillance video leaving the building with Lathem the day of the stabbing. Police had released few details of the investigation. But they also said on Friday that on the day of the slaying – but before the body was discovered – Lathem and Warren drove about 80 miles (128 kilometers) northwest to Lake Geneva, Wisconsin, where one of them made a $1,000 cash donation to the public library there in Cornell-Duranleau’s name. Lake Geneva police said the man making the donation did not give his name.

“I’ve never seen where suspects in a homicide would make a donation in the victim’s name,” said Lake Geneva police Lt. Edward Gritzner.

Police said Lathem had a personal relationship with Cornell-Duranleau, who moved to Chicago from the Grand Rapids, Michigan, area after receiving his cosmetology license. They said they were still trying to determine how Cornell-Duranleau or Lathem knew Warren, or if Warren knew them before he flew to the United States before the stabbing.

They have said that on the night of the slaying the front desk of the high-rise building where Lathem lives in Chicago’s trendy River North neighborhood received an anonymous call from a person who said that a crime had been committed in Lathem’s 10th floor apartment. When police opened the door they found Cornell-Duranleau’s body. He had been stabbed several times in an attack so brutal that police said the knife broke.

Police also said that by the time they found the body on the night of July 27, Cornell-Duranleau had been dead for 12-15 hours.

For all the latest World News, download Indian Express App"
Fifth column: Erasing history is no solution,"More venomous tweeters spewed bile against ‘libtards’ for their deafening silence about violence against Hindus in Kerala and West Bengal. (PTI Photo/Representational) More venomous tweeters spewed bile against ‘libtards’ for their deafening silence about violence against Hindus in Kerala and West Bengal. (PTI Photo/Representational)

A video of a man dying horribly on a hospital bed with both his chopped hands placed between his bloodied legs has been viral on social media. Horrified though I was by the video, I withheld comment because of having been eviscerated for posting a doctored picture of Yogi Adityanath. Then, reliable sources confirmed that it was indeed of an RSS man in Thiruvananthapuram, so I expressed my horror on Twitter, only to be assailed by the same Hindutva tweeters who have attacked me every time I have written against the lynchings by cow vigilantes.

This time their rage was caused by the silence of the NotInMyName crowd. Out of a misconception that I was part of this group, they taunted me for not protesting loudly enough. ‘What if this man had been a Muslim?’ they tweeted angrily. More venomous tweeters spewed bile against ‘libtards’ for their deafening silence about violence against Hindus in Kerala and West Bengal. As someone who is fundamentally horrified by all mob violence, I have spent a considerable amount of time trying to understand why usually sane people ask the religion or caste of a victim before deciding if they are sickened by his brutal murder.

My musings on this mystery intensified during a visit to Berlin two weeks ago. It was my first visit to this city so I spent my time there doing the usual tourist things and was surprised to discover that these mostly included Jewish memorials and museums. It was almost impossible to go anywhere without being reminded in some way of what Hitler did to the Jews.

The first place I was told to visit was the Jewish memorial near the Brandenburg Gate that is an endless expanse of grey concrete tombs. Then I visited a permanent exhibition that exists on a section of what used to be the Berlin wall, that tells in black and white pictures the story of what happened here when the Nazis ruled and the consequences of the evil they wrought when the war ended. So pervasive is the presence of this city’s brutal history that when I dined in a restaurant in the old Jewish quarter, I was reminded that it was once a school for Jewish girls.

At the end of my stay in Berlin I found myself wondering if the historic grievances between Hindus and Muslims in India could not best be solved by remembrance. Hindus believe that now that there is a Hindu Prime Minister instead of the secular kind, it is their time to avenge the wounds of history. The Prime Minister and his chief ministers seem to understand this sentiment, so they have been shamefully silent in the face of every new lynching.

When they have spoken against the cow vigilante lynchings, their words have been so mild and so ambiguous that it has become difficult to know if they secretly support what the vigilantes are doing. Whenever I have spoken to RSS leaders they have admitted honestly that they like the fact that Hindus are no longer afraid to kill Muslims. What comes through in these conversations is rage mixed with a deep grievance.

In Muslim communities from Kashmir to Kerala there is today fear, anger and an alienation that I personally have never seen before. I say this as someone who spent my reporting years covering communal riots whenever they happened, and in those ‘secular’ times major riots happened at least once a year.

But, when they ended, there was a sad sort of closure and everyone went back to the normal business of living. This closure is no longer possible because after every lynching we wait for the next and the next. And when it happens, Hindutva types spew venom against the media for daring to pay too much attention only because the victims are Muslims.

So some kind of closure has become necessary and I believe that it can come from remembering history rather than erasing it. The vehicle of remembrance is something that the Prime Minister needs to work on, but he could begin by holding a conference of major religious leaders from all our major religions. To this conference should be invited not just faith leaders but leaders of political, social and cultural organisations. Get them all to define the way forward. Let the historians come as well, from both the left and the right, and let them highlight the erasures and the lies that government historians have told in the name of secularism.

This is only one way of beginning the process of remembrance. There must be others and they need to be discussed in every forum if we are to stop these hate crimes from multiplying to such a degree that India will once more become vulnerable to being broken for the sake of someone’s faith.

For all the latest Opinion News, download Indian Express App"
"US Senators head home, and block Donald Trump’s recess appointments","US President Donald Trump. (Source: Reuters) US President Donald Trump. (Source: Reuters)

The US Senate adjourned leaving Donald Trump deprived of any major legislative victory heading into summer break, as lawmakers also blocked the president from making so-called recess appointments during the rest period. The move, by unanimous consent of the 100 senators, serves as a check on Trump as he mulls firing his Attorney General Jeff Sessions.

Trump has considered replacing his embattled top law enforcement official amid broadening investigations into allegations that his aides coordinated with Russia to tilt last year’s election in his favor. The president has strongly criticized Sessions for recusing himself from the probe, and speculation swirled over whether Trump would ram through a replacement during the break, without Senate confirmation.

But that avenue closed Thursday when Senator Lisa Murkowski, adjourning the Senate for the day, locked in nine “pro forma” sessions over the next month. Such sessions typically last a minute or two, with no business conducted. Holding them keeps the Senate open during the vacation period, denying the president recess appointment opportunities.

The House of Representatives adjourned for its break last week. As summer-bound US lawmakers exit Washington, the numbers are telling: with Trump in office seven months, and his Republican Party controlling all three branches of government, Congress has passed zero pieces of major legislation.

The Republicans’ over-promised effort to repeal and replace Barack Obama’s health care reforms collapsed in embarrassing shambles. Senate Majority Leader Mitch McConnell had hoped to triumph on a health bill last month, leaving time to accomplish other goals including raising the US debt ceiling and working on budget bills for fiscal year 2018.

But the health care fiasco sucked up weeks of debate time, and its cascading effect stalled other legislation.

Republicans do claim some victories, including confirming conservative judge Neil Gorsuch onto the Supreme Court, rescinding several Obama-era regulations and improving conditions for veterans. One top accomplishment was the Russia sanctions bill that passed with overwhelming support, leading Trump to sign the measure into law despite not backing it.

And yesterday Republicans got unanimous consent from the chamber to confirm more than 60 nominees, including US ambassadors to Britain and Canada and a new representative to the North Atlantic Treaty Organization. But otherwise they now head home with few accomplishments, and likely to face conservatives angry at their failure to repeal Obamacare.

Number two Senate Republican John Cornyn signaled the health fight was not over.

For all the latest World News, download Indian Express App"
"Russian President Vladimir Putin goes fishing ‘shirtless’ in Siberia, Twitterati have a field day","The Internet cannot get enough of Putin’s shirtless pictures. (Source: THE Newt Scamander/ Twitter) The Internet cannot get enough of Putin’s shirtless pictures. (Source: THE Newt Scamander/ Twitter)

Many social media users might be obsessed with US President Donald Trump and his handshakes, but Russian President Vladimir Putin is not far behind. From taking a walk with Narendra Modi in a park and giving us new ‘friendship goals’ to his tete-a-tete with Trump at the G20 and reminding people strangely of a scene from the television drama series House of Cards, Putin has time and again given enough fodder to the Internet to obsess over him.

And things are no different this time. The Russian President is on a three-day fishing and hunting holiday at the Siberian wilderness, and pictures of Putin took social media by storm.

While they do look like any other holiday pictures, the only difference was Putin was shirtless and braved the cold waters of a mountain lake. The pictures and the video footage released by the Kremlin on Saturday were soon spun into countless memes.

Here are some of the images.

(Source: Alexei Nikolsky, Sputnik, Kremlin Pool Photo via AP) (Source: Alexei Nikolsky, Sputnik, Kremlin Pool Photo via AP)

(Source: Alexei Nikolsky, Sputnik, Kremlin Pool Photo via AP) (Source: Alexei Nikolsky, Sputnik, Kremlin Pool Photo via AP)

(Source: Alexei Nikolsky/Sputnik, Kremlin Pool Photo via AP) (Source: Alexei Nikolsky/Sputnik, Kremlin Pool Photo via AP)

Here is the footage.

How could there not be memes. And there were. Here are some of the reactions.

Predictable reaction from MSM on latest President #Putin‘s photos – Vladimir Putin triggering entire Western media with several photos pic.twitter.com/wbTGs1QNUw — Russia in RSA 🇷🇺 (@EmbassyofRussia) August 5, 2017

#Putin must use some good sunblock

Dude is always shirtless

White as Snow

😂😂😂😂😂#Russiagate #RussianHoax — ❣️Deplorable Me ❣️ (@swahneee) August 5, 2017

The pictures and the video footage floating online show the President spear-fishing, swimming and sunbathing along with Defence Minister Sergei Shoigu. The hunting and fishing expedition took place in the republic of Tyva in southern Siberia, on the Mongolian border, located some 3,700 km east of Moscow. Dmitry Peskov, Kremlin spokesman told reporters,“The water in the lake doesn’t get warmer than 17 degrees, but this didn’t stop the president from going for a swim.”

For all the latest Trending News, download Indian Express App

© IE Online Media Services Pvt Ltd"
Hospital denies treatment to gunshot victim: Delhi HC seeks Govt reply,"Delhi High Court (File Photo) Delhi High Court (File Photo)

The Delhi High Court has sought the response of the government and the Delhi Police on a PIL initiated by it on the basis of a report that a gunshot victim was denied treatment by a private hospital fearing harassment from cops. A bench of Justices G S Sistani and Chander Shekhar asked the Centre and the police to file their replies and status reports before the next date of hearing on August 11.

The PIL was initiated by the high court after the news report was brought to its attention by a lawyer who sought directions to hospitals, both private and government-run, not to deny treatment in such cases. The lawyer, Varun Gosain, has also sought directions from the court to the police for a speedy probe and proper protection to the eye-witnesses, as four of the five accused in the incident are still absconding.

According o the report, a 57-year-old dhaba owner and his 26-year-old son were shot dead allegedly by five men after a dispute over a cooler in outer Delhi’s Najafgarh area on the night of July 26. The accused wanted the cooler to be turned towards them but the dhaba owner, Shyam Verma, and his son Mayank did not agree, which led to a fight.

One of the persons in the group of five allegedly pulled out a pistol and shot Mayank in the neck and when his father tried to stop them, he was shot in the head. While the dhaba owner died on the spot, his son succumbed to injuries later, the report had said.

The report had also quoted one of the relatives of the victims as saying that Mayank would have survived if the first hospital where he was taken would have admitted him.

For all the latest Cities News, download Indian Express App"
The British Library is digitising rare printed Bengali books,"To overcome these challenges, the library is running a competition to find an optimal solution for automatically transcribing the Bengali books that have been digitised as part of the project. (Source: File Photo) To overcome these challenges, the library is running a competition to find an optimal solution for automatically transcribing the Bengali books that have been digitised as part of the project. (Source: File Photo)

The British Library, which is leading an international partnership to digitise rare material from its South Asian printed book collection, has scanned 1,000 old and rare printed Bengali books of the 19th century, according to project co-ordinators.

As part of the ‘Two Centuries of Indian Print’ (TCIP) project, in total, 4,000 early printed Bengali books, amounting to more than 800,000 pages, will be digitised and made freely available online.

“So far we scanned 1,000 books. There are books literally from every discipline you could think of. There are treatises on sciences, education, religion, missionaries coming to India and translation of the Bible,” Tom Derrick, Digital Curator, TCIP told IANS here at the Jadavpur University on the sidelines of a symposium exploring the history of print in South Asia.

The TCIP pilot project is a partnership between the British Library, the School of Cultural Texts and Records (SCTR) of Jadavpur University, Srishti Institute of Art, Design and Technology, and the Library at SOAS University of London, involving collaborations with the National Library of India.

It marks the start of a major programme to share the wealth of Indian printed books held by the British Library dating from 1713 to 1914. Another aspect to the project is applying OCR (optical character recognition) to transcribe the Bengali script. OCR is the recognition of printed or written text characters by a computer.

“We are dealing with historical Bangla and the changes in the language, so the typography is unique. It is underserved by commercial OCR whose focus is more on Western patterns,” explained Derrick.

To overcome these challenges, the library is running a competition to find an optimal solution for automatically transcribing the Bengali books that have been digitised as part of the project. “So over 20 institutes worldwide have signed up,” he said. According to Layli Uddin, project curator (Bengali) at the British Library, the approach is three-pronged: cataloguing, digitising and contextualising.

“We want to reach out to a wider audience, make the materials open and free to all, make it accessible to non-Bengali speaking audiences as well. Also to contextualise and that is where the Jadavpur University experts come in. They are helping identify what is unique and rare in BL’s collectionsa printed materials which are not available elsewhere in the world,” Uddin told IANS.

Abhijit Gupta, joint director, SCTR, says the the thinner the book, the rarer they are.

“The British Library used a unique mechanisma they used to bind together thin books to preserve them. One of the rare books that is part of the project is ‘Advice for Railway Travellers’ which gives information on railway schedule after the advent of railways. The point of digitising is to access part of the landscape which we know exists but we can’t seea they are in libraries across the world.” added Gupta.

For all the latest Lifestyle News, download Indian Express App"
Magnitude 5.8 quake hits Philippines: USGS,"The USGS said the quake was 46.2 miles (74 km) deep but European quake agency EMSC put it at only 6.2 miles (10 km) deep, which would increase its impact. The USGS said the quake was 46.2 miles (74 km) deep but European quake agency EMSC put it at only 6.2 miles (10 km) deep, which would increase its impact.

A magnitude 5.8 earthquake struck south Mindanao island in the Philippines on Saturday, the U.S. Geological Survey said. The quake’s epicenter was 21 miles (34 km) east of the city of General Santos, which has a population of almost 600,000.

The USGS said the quake was 46.2 miles (74 km) deep but European quake agency EMSC put it at only 6.2 miles (10 km) deep, which would increase its impact. The temblor, initially reported as a magnitude 6.0, struck at 8:30 a.m. (0030 GMT), the USGS said. A magnitude 5.8 earthquake is considered moderate and is capable of causing considerable damage.

For all the latest World News, download Indian Express App"
Goutham Nanda movie review: This Gopichand film insults the intelligence of the audience,"Goutham Nanda movie review Goutham Nanda movie review

Goutham Nanda movie cast: Gopichand, Hansika Motwani, Catherine Tresa

Goutham Nanda movie director: Sampath Nandi

Goutham Nanda movie rating: 1 star

Gopichand, who was last seen in 2015 film Soukhyam, returns to the silver screen after a gap of two years. Goutham Nanda was expected to give Gopichand a much-needed break at the box office. Instead, it is the audience who ends up craving for a break from the incoherent and nonsensical attempt at storytelling.

Goutham (Gopichand) is born with a silver spoon. He is the only son of a business tycoon played by Sachin Khedekar. Goutam leads a life of excess with his father’s blessing. His father even calls him to complain as to why his monthly bill is less than a million, and advises him to spend more.

Director Sampath Nandi has whipped up a cringeworthy story and uninteresting lead characters. Goutham, accompanied by beautiful girls, is introduced with a song shot in picturesque foreign locations. The first song is also an attempt to advise the audience to live life happily without worrying about the future and has words like “Hey Zindagi Na Milegi Dobara.” Ironically, the director did not seem to have a problem in showing Goutham snorting cocaine off a girl’s shoulder.

Sampath may argue that this film is about a spoiled brat who turns into a responsible citizen after a reality check. But, the problem in the story is such a huge transformation in a character takes a long time and extraordinary efforts from the character itself. It’s highly unconvincing when Sampath tries to sell an idea that a crackhead can turn over a new leaf overnight.

It feels like there is no connection between Goutham’s character and his actions. The only scene where Goutham’s character is convincing is when he plans to crash his car into a big truck so he can feel the pain. That’s how a person who snorts cocaine would think.

Goutham has everything but he claims he has never experienced true emotions in his life that made him incapable of knowing who he is truly. So, he decides to kill himself. After he survives the car crash, he hits Nanda (Gopichand, again). Nanda also jumped in front of Goutham’s car to commit suicide because of his financial problems. Do you see where the director is going with it?

As you may have guessed, Goutham comes up with a plan of trading places with Nanda so that he can get a 30-day crash course in poverty. Goutham goes to Nanda’s house located in a low-life area in Hyderabad, while Nanda to Goutham’s castle in Bengaluru.

From there on, Goutham’s self-discovering journey becomes a tedious watch. It is like the moment Goutham steps into Nanda’s house, he achieves such a maturity that he no longer needs money or cocaine to be happy or live life to its fullest. And again, it is highly difficult to buy a second of Goutham and Nanda as characters.

And this unconvincing tale of two sides of the same coin leads to an obvious end that we saw coming a mile away.

While both the characters are forgettable, Gopichand’s performance as Nanda is an oasis in the barren stretch. Hansika Motwani as Spoorthi plays an ideal girlfriend and her character has very limited scope to make any mark. Catherine Tresa as Mugdha plays a party girl and that’s about it.

Goutham Nanda exposes director-writer Sampath, who seems incapable of creativity and logical thinking. It also shows his conviction that as long as the package is fancy, the audience will lap up any story thrown at them. Goutham Nanda is one of those commercial films that insult the intelligence of the audience.

For all the latest Entertainment News, download Indian Express App

© IE Online Media Services Pvt Ltd"
"Ravindra Jadeja impersonates Murali Kartik’s bowling action, watch video","Ravindra Jadeja picked up his 150th Test wicket on Saturday. (Source: AP) Ravindra Jadeja picked up his 150th Test wicket on Saturday. (Source: AP)

Ravindra Jadeja is popular for running throw his overs in quick time. India’s over-rate has been very healthy when R Ashwin and Jadeja bowl in tandem. With a short run-up and quick arm action that is not complicated, Jadeja is one bowler with a simple action. But, he tried tweaking it on Saturday.

Before the start of play on the third day of the second Test between India and Sri Lanka in Colombo on Saturday, Jadeja was seen bowling at the nets. Present there was also former India left-arm spinner Murali Kartik.

While Kartik was standing besides the pitch, Jadeja was bowling and before one delivery, Jadeja switches to a new bowling action — that of Kartik. He impersonated Kartik and bowled one delivery that went over the stumps.

Jadeja became the fastest to reach 150 Test wickets among left-arm bowlers as he reached the feat in his 32nd Test. He picked up the first wicket of Sri Lanka’s innings on the third day of the Test when he had Dinesh Chandimal caught at square-leg in the fifth over of the day.

Sri Lanka resumed their innings at 50 for 2 and 572 runs behind India’s first innings total of 622 for 9 declared. But, R Ashwin picked up a five-wicket haul, his 26th in Test cricket, as India bowled out Sri Lanka for 183 in the first innings.

India took a lead of 439 runs and enforced follow-on over Sri Lanka. The visitors lead the series 1-0 after winning the Galle Test by 304 runs.

For all the latest Sports News, download Indian Express App

© IE Online Media Services Pvt Ltd"
Shots fired as Myanmar forces raid Rohingya village,"The major part of the military crackdown on the militants ended several months ago. But the area remains locked down, with sporadic killings by troops and almost daily reports in state media of villagers being murdered and abducted by masked assassins . The major part of the military crackdown on the militants ended several months ago. But the area remains locked down, with sporadic killings by troops and almost daily reports in state media of villagers being murdered and abducted by masked assassins .

Myanmar security forces fired warning shots during a day-long sweep of a Rohingya village to arrest alleged militants, Aung San Suu Kyi’s office said, as violence again tremored through Rakhine State. The northwestern area has been beset by unrest since late last year when Rohingya militants attacked police posts, prompting a months-long bloody military crackdown that the UN believes may amount to ethnic cleansing.

The major part of the military crackdown on the militants ended several months ago. But the area remains locked down, with sporadic killings by troops and almost daily reports in state media of villagers being murdered and abducted by masked assassins. Border police began an operation on Friday morning in Out Nan Yar village arresting “six criminals” accused of supporting the militants, according to a statement from the office of State Counsellor Suu Kyi.

Around two dozen officers were surrounded by a hundreds-strong “mob” of villagers armed with rudimentary weapons. Four of the suspects were freed in the ensuing chaos. “Police had to fire around 40-50 warning shots as the mob attacked with sling shots, sticks and knives,” the statement said, adding military columns were moving into the village as night fell.

Violence in the hard to access wedge of Rakhine closest to Bangladesh has seen tens of thousands of Rohingya flee across the border. Myanmar’s government has denied accusations that its security forces killed and raped Rohingya villagers during its “clearance operations”.

But it has also steadfastly refused to allow in a UN fact-finding mission to investigate allegations of widespread abuse collected from survivors who fled the area. Six Buddhists from the ethnic Myo minority were killed on Thursday as violence continues to stalk the zone.

For all the latest World News, download Indian Express App"
