Title,Article
Major Pandey lays down life fighting terrorists in Shopian,"Tribune News Service

Dehradun, August 3

A pall of gloom descended on Haldwani in the Kumaon division of Uttarakhand as soon as the news of martyrdom of Major Kamlesh Pandey in Kashmir spread in the region. Major Pandey attained martyrdom fighting terrorists at Shopian in Jammu and Kashmir today. Major Pandey’s family stays at Himmatpur Mohalla in Haldwani. His father Mohan Chandra Pandey is an ex-serviceman. The family hails from Almora district. Kamlesh did his primary schooling from his hometown. He passed Class XII from Kendriya Vidhyalaya, Ranikhet. Starting his career in the defence services as an Airman in 2006, a hard working Kamlesh continued with his studies and did his graduation. He then cleared the Combined Defence Services and became a commissioned officer in the Army in 2010. Kamlesh was promoted to the rank of Major a few months ago. Shanti Pandey, Kamlesh’s mother, was in a state of shock. A large number of Haldwani residents visited Kamlesh’s residence to offer their condolences."
"8 months on, Haryana govt fails to build memorial for BSF martyr","Sunit Dhawan

Tribune News Service

Sampla (Rohtak), August 7

When BSF Head Constable Rai Singh of Kheri Sampla village of Rohtak was killed in shelling by Pakistani forces during a ceasefire violation in Rajouri sector of Jammu and Kashmir in November last year, the Haryana Government had said a memorial for him would be built soon.

In December, the Sampla Municipal Committee also passed a resolution unanimously that Rai Singh’s memorial would be constructed at the site where he was cremated.

The committee also resolved to name a park in Ward No. 2 after the martyr. However, no memorial has been established for the martyr till date.

Rai Singh’s widow Sunita and his brother Ramesh said the state government had announced that a park named after Rai Singh would be constructed and his statue installed, but the project was being put off on some pretext or the other.

Rai Singh belonged to a Dalit family and was the only earning member of his family.

The financial compensation announced by the Haryana Government for his family members was also provided after several months, and that too after the matter was highlighted by the media.

The martyr’s widow has got her first pension only recently, more than eight months after her husband was killed."
"NGT raps Punjab, Haryana, UP, Rajasthan on crop-burning","The National Green Tribunal has rapped four northern states--Punjab, Haryana, UP and Rajasthan--for not submitting action plans to prevent pollution emanating from crop burning after the harvesting season. A bench, headed by NGT Chairperson Justice Swatanter Kumar, warned the state governments that if they failed to comply with its directions, it would order attachment of the treasury account of the states. “Despite our judgment and subsequent orders, the state governments have failed to comply with the directions and take preventive precautionary and controlling measures for air pollution resulting from crop residue burning.

(Follow The Tribune on Facebook; and Twitter @thetribunechd)

“We grant last and final opportunity requiring them, at least, to file action plans with complete accountability and elements of performance, within one week...(If) compliance is not made, we will be compelled to attach the treasury account of the states concerned,” the bench, also comprising expert member BS Sajwan, said. The matter has been fixed for further hearing on August 11. Earlier, the tribunal had directed the Delhi, Haryana, Uttar Pradesh, Punjab and Rajasthan governments to state how the field staff of the departments concerned and the state pollution control boards were going to control pollution caused by crop residue burning. The NGT had earlier fixed the environment penalty amounts per incident of crop burning to be paid by small land owners having less than two acres of land at Rs 2,500, medium land owners holding over two acres and less than five acres at Rs 5,000 and those owning over five acres at Rs 15,000. It had also directed the state governments to take coercive and punitive action against persistent defaulters and asked them to withdraw the assistance provided to such farmers. The green panel had said the five states--Rajasthan, Uttar Pradesh, Punjab, Haryana and Delhi- which had issued notifications prohibiting agriculture crop residue burning, should ensure that these notifications were enforced rigorously and proper action was taken against the defaulters. The NGT’s order had come on a plea by environmentalist Vikrant Tongad who had sought a ban on burning of agricultural waste and remnants in open fields."
Opioid use higher among cancer survivors,"Toronto

Opioid prescription use is more common in cancer survivors than in individuals without a history of the disease, a study led by an Indian origin scientist has found.

Researchers from the University of Toronto in Canada found that the rate of opioid prescribing was 1.22 times higher among cancer survivors than corresponding matched controls.

""Our research findings raise concerns about the diagnosis and management of chronic pain problems among survivors stemming from their cancer diagnosis or treatment,"" said Rinku Sutradhar, associate professor at University of Toronto.

Over a 36-month period, the average number of opioid prescriptions filled by survivors was 7.7, compared with 6.3 for controls.

This increased rate of opioid prescribing was also seen among survivors who were 10 or more years past their cancer diagnosis, researchers said.

Individuals with lower income, and those who were younger, from rural neighbourhood's, and with more comorbidities had significantly higher prescribing rates. Sex was not associated with prescribing rates, they said.

""Physicians providing primary care to cancer survivors should consider close examination of reasons for continued opioid use to differentiate chronic pain from dependency,"" Sutradhar added.

The study was published in the journal Cancer. —PTI"
"The Tribune, Chandigarh, India","Into its seventh season, TV series Game of Thrones remains as big and arresting as ever. Decoding its stupendous success, however, remains both a mystery and an enigma

05 Aug 2017 | 11:28 AM

When you play the Game of Thrones, you either win or die. But the epic show remains a ceaseless winner. Into its seventh season, its grip is as firm, the frenzy as frenzied and viewership far from diminished.

[ + read story ]

Nonika Singh

When you play the Game of Thrones, you either win or die. But the epic show remains a ceaseless winner. Into its seventh season, its grip is as firm, the frenzy as frenzied and viewership far from diminished. Why, the premier show even crashed the HBO website. Reams have been written on what makes it the most popular show around the world. Yet no one can truly decode the volatile combination that is as high on surprise as emotional connect. More recently, a study has been undertaken to deconstruct its stupendous success.

Chance viewing of the Game of Thrones episode is unlikely to hook you. Battery of actors, numerous spheres of action and multiple hydra-headed plots are instead likely to leave you befuddled. But if you are one of the millions glued to the show, the likes of which television has never seen before, you will be in a permanent jaw-dropping state.

To borrow an analogy from the Indian tradition, one can easily say it has all the navarasas. Though some would say more of the vibhats ras, indeed much of its content has disgust-evoking highs or lows, if you prefer. Incest, rape, violence, bestiality, nudity... in the fantasy world of Westeros, there is much that is off putting. Some of its episodes: Stannis Baratheon agreeing to burn his only child on stake, Sansa Stark’s gruesome rape at the hands of her despotic husband Ramsay Bolton, are all brutal reminders that nothing is fair in the war for seven kingdoms. Many of these blood-curdling moments have not only led to much heartburn and earned it flak but even veered some viewers away. But what keeps them coming back despite gore is the manner in which it unfolds surprises. You never ever know what the next episode of the show will come riding on.

Spoilers invariably abound and soon after Season Five peaked with one of its most favourite protagonists Jon Snow’s death, news of his possible resurrection leaked as Kit Harington playing Snow was spotted shooting in Belfast, Northern Ireland. Indeed the magic in the series is for real. Yet even more magical are its enigmatic characters you dare fall in love at your own peril. For you don’t know when the writer has planned their demise. Based on George R.R. Martin’s A Game of Thrones, the first novel in his A Song of Ice and Fire series, what was conceived as a trilogy has now stretched into seven volumes and eight seasons.

Considered un-filmable once, now the reins rest with David Benioff and Daniel Brett Weiss. The buzz goes around that when both call an actor of the series, it signals their imminent end. So strong is the bond with the characters that even actors mourn the demise of their reel character. More recently, Jessica Henwick, who plays Nymeria Sand, felt a great sense of loss and grief. One of its most enduring and endearing characters, Tyrion Lannister, played by Peter Dinklage, says he has to know whether his character has survived the season for him to truly map it. An imp, he has the serial’s most intelligent lines such as, “Never forget who you are for the world won’t, wear it like an armour and no one will hurt you.”

Most fantasy series are targeted at children, and perhaps the child in us. But Game of Thrones comes laced with not only adult-rated scenes, much of which is, of course, has been censored for the Indian audience, but also highbrow stuff. Sardonic humour, witty one-liners, wisecracks are as much its USP as the grand scale and magnitude achieved at a whopping cost of $10 million. Even Hollywood borrows its catchphrases. Baywatch turned around the tagline “Winter is coming” into “The summer is coming”.

But who can recreate the world far-removed from ours; what with ghost-walkers, fire-spewing dragons, wildlings, brave and ambitious lords, scheming men and sinister women. Yet, somehow, amid all that is alien, even abhorrent to our sensibilities, it manages to bat for women. Two of its most powerful protagonists are women. But if you think Game of Thrones is politically or socially correct, think again. It follows no rules. Grey is a colour Indians understand too well, and here men and women painted in broad brush strokes of black like Jamie Lannister (Nikolaj Coster-Waldau) could suddenly warm their way to your heart.

The epic series, however, isn’t your heart-tugging drama. Each viewer might have its own favourites. Author Martin’s obviously is Tyrion, the imp, which explains why the dwarf stands tallest among them all. Spunky Arya Stark (Maise Williams) is supposedly his wife’s, a reason many believe she won’t be bumped off. But who will really survive, in the final countdown? Well, that question is what makes this game of the survival of the fittest, fiercest and cruellest, an addiction viewers just can’t get rid of."
The Tribune: Science,"07 Aug 2017 | 2:24 PM

NEW DELHI: There are about 18,000 bird species on Earth, and every species is differently coloured.

[ + read story ]

New Delhi

There are about 18,000 bird species on Earth, and every species is differently coloured.

While some birds are so bright in colour, one can spot them from afar, some are coloured so as to camouflage- you'll never realise if you're even looking at the bird! The feathers are composed of intricate combinations of mottles, scales, bars, and spots, making each one unique.

It has already been discovered that different patterns and colours help camouflage the birds from predators, but have you ever wondered how they get such different colours?

(Follow The Tribune on Facebook; and Twitter @thetribunechd)

Dr Ismael Galván and his team of expert researchers conducted a study on about 9,000 bird species' plumage coloration to answer the very question. Two types of pigments are responsible for the pumage coloration: melanins, which produce a range of black, grey, brown, and orange colors, and carotenoids, which are used by specialised feather structures to generate brighter color hues.

Carotenoids, present in certain food items, circulate through the bloodstream and to the feather follicles when birds consume such food items. The birds cannot produce carotenoids, nor can they exercise direct cellular control of synthesizing and depositing carotenoids. The specialized feather structures react to the consumed carotenoids with a mechanism that is not regulated by specialized cells.

Melanins, on the other hand, are synthesised by in the birds' bodies in special cells called ""melanocytes,"" which work together with feather follicles to achieve a fine control of pigmentation. Although carotenoids are more frequently researched in the study of bird coloration, Dr Galván and group are the first to test whether melanins are indeed the only pigmentary element that birds' bodies directly control on a cellular level.

Galván says, ""Knowing beforehand that different pigments and structures produce different types of colors in feathers, we examined the appearance of the plumage of all species of extant birds and determined if the color patches that they contain are produced by melanins or by other pigmentary elements. We also identified those plumage patterns that can be considered complex, defining them as those formed by combinations of two or more discernible colors that occur more than two times uninterruptedly through the plumage."" According to the researchers, 32% of the species studied have complex plumage patterns, with the vast majority of these complex patterns produced by melanins rather than carotenoids. In other words, carotenoids produce color patches, whereas melanins produce intricate patterns.

However, there are exceptions: Fruit doves, cotingas and one type of stork have complex plumage patterns without melanins. Their unusual colors appear to be produced by their bodies making metabolic modifications to the carotenoid pigments that they consume. —ANI"
Rain claims five lives in U’khand,"Tribune News Service

Dehradun, August 4

Five persons were killed in two rain-related incidents in Pauri Garhwal district. In the Kotdwar area of Pauri Garhwal, the waters of the flooded Paniyara stream entered a village, killing two persons and damaging a number of houses. State Disaster Response Force officials reached the site. The deceased were identified as Lakshya and Jyoti. In Manpur village of Kotdwar, Shanti Devi and Ajit Kumar were killed when they were buried under the debris of an embankment. In another incident, Muskan Bano (16) died after she was buried under the debris of a collapsed wall. At the Refugee colony in Kotdwar, short circuit took place at a house due to rainwater, which resulted in sparks and led an LGP cylinder explosion. Harendra Bhatia, Rahul Bhatia and Renu Bhatia were injured and admitted to hospital. In Dehradun, a house collapsed due to heavy rains last night. Mohd Khalid, his wife Robeena and their children — Sohail and Muskan — sustained minor injuries."
The Tribune: Life+Style,"MUMBAI: Megastar Amitabh Bachchan says he does not want people to organise any special event for his 75th birthday. The 74-year-old actor turns a year older on October 11.

Mumbai, August 7

Megastar Amitabh Bachchan says he does not want people to organise any special event for his 75th birthday.

The 74-year-old actor turns a year older on October 11.

“Many threaten and plan a 75th celebration for my birth... May it be known that there shall be no such event, allowed or even acknowledged,” Bachchan posted on his blog.

“May it be known that if there is such move by others they must withdraw from it for I shall never acknowledge or endorse such... Be it family or Ef or any other... It is not going to be with any consent...” he wrote.

The “Pink” star said if his wishes were not respected, he would end up going to “some isolated unknown location which shall never be known by any”. — PTI"
HC strikes down height restrictions during ‘dahi handi’ celebrations,"Shiv Kumar

Tribune News Service

Mumbai, August 7



The Bombay High Court on Monday struck down its earlier order imposing a height restriction of 20 feet for pyramids built by revellers during ‘dahi handi’ celebrations.

Hearing the matter afresh on the orders of the Supreme Court, Justice Bhushan Gavai and Justice Makarand Karnik of the HC said matters pertaining to restricting the height of pyramids during ‘dahi handi’ celebrations were best left to the legislature. “If we enter into that arena we would be encroaching on the domain of the legislature,” the court said.

Earlier, the Maharashtra government submitted before the court that it would bar the participation of children below the age of 14 in the celebrations. Additional solicitor-general Tushar Mehta who represented the state government said the ban on participation of children below 14 would be as per provisions of the Child Labour (Prohibition and Regulation) Act.

The court was hearing two public interest litigations over the safety of participants or ‘Govindas’ who build pyramids to break a pot constructed at a height. In 2014, the HC had banned the participation of children below 18 in the pyramids. The height of the human pyramids was also restricted to 20 feet or four layers.

The HC, however, took into consideration the government’s assurances given to the Supreme Court that safety measures to reduce the risk of accidents to the participants would be strictly implemented."
When Virat Kohli met The Great Khali,"New Delhi, August 7

After clinching a comprehensive victory against Sri Lanka in the Colombo Test which helped India attain the unassailable 2-0 lead in the three-match series, Team India skipper Virat Kohli caught up with World Wrestling Entertainment (WWE) wrestler The Great Khali. The Indian skipper expressed his joy on his Twitter handle and said, “It was great to meet The Great Khali, what a guy!” The ‘Men in Blue’ thumped the struggling Sri Lankan team once again in the ongoing three-Test series, wrapping up the victory in the second Test at the Sinhalese Sports Club (SSC) by an innings and 53 runs. After kissing glory on Friendship Day, the 28-year-old met ‘The Great Khali’, aka Dalip Singh Rana. The two teams will now play the final Test beginning August 12 before starting off with the five-match ODI series and a lone T20. And considering the quality, or the lack of it, of the Sri Lankan team, the visitors will look to complete a clean sweep in Pallekele (Kandy), where the third Test will be played. ANI"
