Title,Article
"Knee implants: Claims of superiority by ‘new and improved’ brands of knee implants have little basis: NPPA, Health News, ET HealthWorld","(File Photo used for representation only.)

NEW DELHI: Claims of superiority by ‘new and improved’ brands of knee implants over existing ones have little basis, the National Pharmaceutical Pricing Authority has concluded after examining studies published in international medical journals and consulting orthopaedic surgeons.Based on this, it feels that there is a “need to sensitize patients about limitations of these hyped technologies” and to moderate their prices – typically much higher than those for older, established implants. This emerges from the minutes of the NPPA ’s deliberations into price fixation for knee implants.It has decided to request the Indian Orthopaedic Association , Indian Medical Association and Association of Healthcare Providers (India) to sensitize orthopaedic surgeons not to push so called ‘new technologies’ with unproven claims of superiority over standard implants. The authority noted that even where patients could afford to pay the extra cost, they ought to be briefed about both the benefits and limitations of the ‘latest’ technology in comparison with the established one.One study of five widely used device technologies, including two ‘innovative’ knee implants - high flexion knee replacement and gender specific knee replacement -- concluded that none of the innovations improved functional or patient-reported outcomes.The study based on data collected from pre-market application and mandated post-market studies at the US Food and Drug Administration noted that existing devices may be safer to use in total hip or knee replacement. “Improved regulation and professional society oversight are necessary to prevent patients from being further exposed to these and future innovations introduced without proper evidence of improved clinical efficacy and safety,” stated the study published in the British Medical Journal in 2014.The NPPA examined the various types of implants based on their construction material, application and other technological aspects as the authority knew from its earlier experience with price capping for cardiac stents that hospitals, industry and surgeons would raise the issue of ‘new generation technology’ when it came to fixing a ceiling price.The NPPA noted that companies were promoting ‘high flexion knee’ implants in India claiming they have higher flexibility in day-to-day active life and sitting postures required for performing several religious and cultural practices. However, an analysis of trials suggested that “no clinically relevant or statistically significant improvement was obtained in flexion with the high flex prostheses”.“These high flexions are being sold in India at a premium in spite of the fact that its clinical long term superiority is not yet established even after a period of 20 years,” observed the NPPA.The NPPA also looked into the comparative merits of knee implants made from alloys of cobalt chromium, titanium and zirconium. The Authority found that the oldest, most widely used and clinically proven technology is implants made from alloy of cobalt-chromium (CoCr). CoCr’s limitation it that it releases tiny particles (metal ions) in the body which may cause allergic reactions in some individuals.However, titanium alloy which has superior biocompatibility and enhanced erosion resistance, was found to have poor shear strength and resistance to wear. And though oxidised zirconium was shown to have less wear and tear compared to CoCr, there were a larger proportion of revision surgeries to replace or compensate for failed implants with oxidised zirconium than with CoCr.The NPPA also noted that studies and senior surgeons had found that the claimed clinical edge of un-cemented implants was yet to be established."
"Hindi Films Are Now Portraying Women In A Progressive Way, Says Kareena Kapoor Khan","Mommy Kareena Kapoor is back in the business. Kareena is gearing up for Rhea Kapoor's Veerey Di Wedding and a lot has already been said and written about Kareena, Sonam, and Swara Bhaskar starrer chick film.

Talking about the representation of women in films, Kareena Kapoor appeared satisfied. Kareena Kapoor Khan says she is proud and happy that Bollywood filmmakers are now showing women in a progressive way in movies. The actor attributes this change to the influx of young writers in films.

bccl

Kareena said, “One can definitely see a change in the way women have been portrayed on screen in the Hindi film industry. The roles are now written by young directors, who have been successful in highlighting the personality of women who are hardworking and successful. Films have now been portraying women in a more progressive manner.”

bccl

36-year-old Kareena welcomed her first child, Taimur Ali Khan, in December last year and the way she has been balancing professional commitments and motherhood is commendable. Talking about the same, Kareena said,

Pinterest

“I have always maintained a personal and professional life but now it’s more difficult as Taimur is too young. I try to strike a balance. I have a great support system with (husband) Saif and my family.”

Kareena believes a modern Indian woman plays diverse roles in her life and she considers herself to be one. She added.

bccl

“She is a multifaceted woman, lives her life to the fullest and fulfils her choices with confidence and style. I am proud to be a married, independent and working woman. I carry that with great honour and pride. Despite being married, I work and have my own identity.”

Inputs From PTI

Don't Miss 27.1 K SHARES 26.7 K SHARES 17.3 K SHARES 21.9 K SHARES 22.8 K SHARES 19.1 K SHARES 18.2 K SHARES 19.7 K SHARES 14.8 K SHARES 16.9 K SHARES"
"Sports News - Cricket News, Football News, Tennis News",
24x7 Power India News,"Never miss a great news story!

Get instant notifications from Economic Times

AllowNot now

You can switch off notifications anytime using browser settings."
"Chief of Taiwan gas supplier CPC resigns after power blackout, Energy News, ET EnergyWorld","TAIPEI: The chairman of Taiwan gas supplier CPC Corp resigned on Friday, three days after a power blackout hit businesses and homes across the island, affecting nearly seven million households.

The resignation of Chairman Chen Chin-te, announced at a company news conference, comes after the island's minister for economics affairs, Chih-Kung Lee, stepped down.

Chen said the CPC Corp had investigated the blackout and shared findings with the government this week, pointing out directions for reform. Details of the findings could be made public later, Chen said.

Chen emphasised the company would need to work on ensuring routine protection and maintenance work was implemented according to plan.

""As so many people were impacted by this, I wanted to deeply express CPC Corp's apologies to the people, and of course as chairman, I have to accept responsibility,"" Chen said.

The power outage was caused by ""structural problems"" and human error involving the replacement of equipment, which ultimately affected the operations of a state-owned Taiwan Power Co power plant, state-owned gas supplier CPC Corp said this week.

The government said on Wednesday it was investigating the blackout on the heavily industrialized island amid sweltering heat. Officials said a task force would be set up to investigate the cause.

Tech companies reported little impact to operations, though some companies, such as ChipMOS Technologies, Advanced Semiconductor Engineering, and electronics manufacturer Foxconn, said they were affected.

Foxconn, formally known as Hon Hai Precision Industry Co , the world's largest contract electronics manufacturer and a major Apple supplier, said it experienced a power outage at its Tucheng facilities, but had back-up generators on site, according to a statement sent to Reuters late on Thursday."
"After The Failure Of 'Jab Harry Met Sejal', Distributors Now Want SRK To Refund Money","With back to back losses and big releases flopping one after the other, Hindi Film industry is indeed going through a rough patch.

Massive flops include films like Salman’s Tubelight, Ranbir Kapoor, and Katrina Kaif’s Jagga Jasoos and now, Imtiaz Ali’s Jab Harry Met Sejal has joined the list. The film that was one of the most anticipated films of the year ended up proving to be one big disaster. Apart from the producers, NH Studioz too has suffered huge losses.

The studios had acquired the rights of Tubelight for Rs. 132 crores and Jab Harry Met Sejal for Rs. 80 crores and now that both the films have proved to be such disasters, the intensity of the losses are huge.

While Salman had set a great example by returning some amount to the distributors, a Bollywoodhungama report claims that the distributors have sent an SOS message to Shah Rukh Khan, and have asked them to follow the suit.

Viral Bhayani

According to the reports, they are now expecting a refund for the backbreaking losses since Shah Rukh Khan had made good profits from the pre-sale of All India Rights to NH Studioz, satellite, music, and digital rights.

Pinterest

Just to jog your memory a little, SRK had distributors of his 2015 film Dilwale when they had incurred losses and he had refunded close to Rs. 25 crores to cover up 50% losses to distributors of Dilwale.

And this wasn’t the first time SRK did so because, in 2001 and 2005, Shah Rukh Khan had refunded the individual distributors of his films Asoka (Eros) and Paheli (UTV) after they failed to perform at the box-office.

While no actor or producer is bounded to return money to distributors, our actors are definitely setting a great example.

Don't Miss 1.3 K SHARES 26.7 K SHARES 27.1 K SHARES 16.9 K SHARES 21.9 K SHARES 22.8 K SHARES 18.2 K SHARES 19.7 K SHARES 14.8 K SHARES 16.9 K SHARES"
These Pics Of Kate Winslet & Leonardo DiCaprio's Poolside Reunion Will Give You Titanic Feels!,"It's been more than two decades since Titanic released but the equation that Leonardo DiCaprio and Kate Winslet share have only grown stronger with time. Be it rooting for each other at award shows or talking to each other on chat shows, both the actors have always spoken the best things about each other.

Screengrab

And now, the internet is busy rejoicing because vacation pictures of Titanic co-stars, Leonardo DiCaprio and Kate Winslet have paved their way to the internet.

Both the stars were vacationing in Saint-Tropez in July and before heading for DiCaprio’s climate change fundraiser, they spent some time together on the pool side. “The Titanic co-stars chatted outside DiCaprio’s villa before heading to his foundation’s annual fund-raising gala in Saint-Tropez,” US Weekly reported. The pictures of Jack and Rose's reunion will you some major BFF goals. Have a look.

#1

Ooo God.... this is just awesome... proving their true friendship with Love #leo #leonardodicaprio #katewinslet #kateandleo #titanic #revolutionaryroad #jackandrose #jackdawson #rosedewittbukater A post shared by Leonardo X kate (@kate_x_leonardo_) on Aug 16, 2017 at 11:21pm PDT

#2

💚💚💚 #leonardodicaprio #katewinslet #katewinsletandleonardodicaprio #dicaprio #love #cute #beautiful #sea #sttropez A post shared by Leonardo DiCaprio Fan Page (@leo_dicaprio_11) on Aug 17, 2017 at 1:13am PDT

#3

Ecco le famose foto di Leo e Kate in spiaggia/piscina a Saint Tropez lo scorso 25/07.#leonardodicaprio #katewinslet A post shared by DiCaprioItaly (@leodicaprioitaly) on Aug 17, 2017 at 1:47am PDT

#4

Love them so 😍🤗😍❤❤😘 #KATEWINSLET #LEONARDODICAPRIO #kleo #friendshipgoals ❤ A post shared by Reeves_DiCaprio . INDONESIA 🌏 (@reeves_dicaprio) on Aug 16, 2017 at 9:42pm PDT

#5

PSA- #LeonardoDiCaprio & #KateWinslet reunited after 20 years. Our hearts can finally go on💕 (📷: Best Image/BACKGRID) A post shared by Us Weekly (@usweekly) on Aug 16, 2017 at 3:38pm PDT

And even after more than two decades, their equation and bond still remain the same.

Don't Miss 27.1 K SHARES 26.2 K SHARES 21.9 K SHARES 22.8 K SHARES 19 K SHARES 18.2 K SHARES 19.7 K SHARES 14.8 K SHARES 16.9 K SHARES 10.5 K SHARES"
Things you should never say to him during sex,"They say, some things are better left unsaid. Especially in bed, while you’re having sex. We’ve rounded up 10 things that you should avoid saying to your partner during sex, that is, you know, if you want to continue having sex.



"
"Industry, Latest Industry News, Health News",This is because of the Presidential Order issued under Article 371-D of the Constitution which allows both these states to fill all the medicine seats available under their health universities and medical colleges with local candidates of AP and Telangana.
Indian Monetary and Trade Policy News,"10 things you cannot do without an Aadhaar Aadhaar is going to become the basis of most of your business and official transactions. In addition to many compulsory Aadhaar uses, the government may soon make it mandatory for buying shares and mutual funds too. Scroll down to see 10 important transactions where Aadhaar number is mandatory:

Load More..."
