Title,Article
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Mumbai - Latest News, Politics, Events, Entertainment","Dilip Kumar suffers renal failure

Veteran actor Dilip Kumar, who was admitted to Bandra’s Lilavati Hospital on August 2, 2017, is suffering from a renal failure. A team of doctors is closely monitoring his condition in the Intensive Care Unit. They however did not confirm if the actor had been put on dialysis.The actor was admitted to the hospital on August 2, 2017 due to prolonged urinary complications. A doctor said his vitals are yet to normalise, but he is conscious and breathing on his own. The worry is about the increased"
Author News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Chennai - Latest News, Politics, Events, Entertainment","A splendid opportunity to discuss this was offered by the international seminar recently organised by IIT’s Department of Humanities and Social Sciences but was not taken. Instead, the unfortunately titled event, ‘Midnight’s Orphans’, took the academic route of literature, cinema, individual case studies etc.The question was raised at the curtain-raiser itself and answered with the official All-India Anglo-Indian Association view propagated by Frank Anthony pre-Independence. That view holds that"
"Andhra Pradesh - Latest news, Live Updates, Politics, Events","Balayya slaps fan

Hindupur MLA and actor Balakrishna was caught on video slapping a fan at Nandyal. Video goes viralThe video went viral on social media on Thursday. The fans were seen shouting “Jai Balayya” when he reached a hotel where he stayed. The fans and supporters surrounded him and raised slogans in his praise. One of them appeared to stumble and fall on him as he tried to take a selfie with Balakrishna. The actor slapped and pushed him away. Balakrishna then walked away angrily. The fans call him as"
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Kozhikode - Latest News, Politics, Events, Entertainment",
Latest news updates from major cities of India,"Only 300 houses inundated in floods, claims George

Responding to criticism over the handling of recent floods, Bengaluru Development Minister K.J. George claimed the city was in a better position than “even global cities” such as New York. “The rains (on August 14) was a cloud burst and nearly 18 cm came within a few hours. There was inundation in around 300 houses, but this is a small proportion of the more than 20 lakh houses in the city... In other places, such as Delhi, Patna and New York, this sort of rain caused widespread damage. Compared"
"India Latest News, Live Updates, Politics, Governance, Law",He was speaking at the “Regional Consultation on Electoral and Political Reforms — Northern Region” organised by the Association for Democratic Reforms.
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
