Title,Article
Lalbaugcha Raja: Looks of Mumbai’s favourite Ganpati from 2012 to 2017,"The most visited Ganesh mandal of Mumbai, Lalbaugcha Raja Sarvajanik Ganeshotsav Mandal revealed the first look of the idol on Monday.

Here are the five looks of the idol over the past five years

2017

This year, the idol has been modelled on the second avatar of Lord Vishnu. (Kunal Patil/HT Photo)

This year, the Ganesha idol has been sculpted to resemble the Korma avatar — the second avatar of Lord Vishnu.

The idol rests a tortoise throne against the backdrop designed Nitin Chandrakant Desai, a famous art director and production designer from Bollywood, of a Gajraj Mahal.

2016

The look of 2016. (HT)

The idol seated on owl which is considered to be Goddess Laxmi’s ‘vahana’

2015

The filmy special look. (HT)

The theme was Vitthal.

2014

The regal idol. (HT)

Trishul was used the theme. In Hindu mythology, trishul is usually associated with Lord Shiva (Ganesha’s father).

2013

The pandal gets thousands of devotees during Ganesh Chaturthi. (HT)

Keeping the concept of peacock in mind, Santosh Kambli made Mayuraasan for Lalbaugcha Raja. He wanted devotees to know that peacock is Kartikeya’s (Ganesha’s brother) vaahan (vehicle)."
‘End of combustion engine-powered car’: Volvo to go all electric from 2019,"Geely-owned Volvo Car Group said on Wednesday all new models launched from 2019 will be fully electric or hybrids, spelling the eventual end to nearly a century of Volvos powered solely by the internal combustion engine.

The Gothenburg-based company will continue to produce pure combustion-engine Volvos from models launched before that date, but said it would introduce cars across its model line-up that ranged from fully electric cars to plug-in hybrids.

Volvo’s plans make it the first major traditional automaker to set a date for the complete phase-out of combustion-engine-only models though electrification has long been a buzzword across the industry and Elon Musk’s Tesla Motors has been a pure-play battery carmaker from day one.

“This announcement marks the end of the solely combustion engine-powered car,” Volvo Cars chief executive Hakan Samuelsson said in a statement.

Five new models set to be launched in 2019 through 2021 - three of them Volvos and two Polestar-branded - will all be fully or partially electric.

“These five cars will be supplemented by a range of petrol and diesel plug in hybrid and mild hybrid 48-volt options on all models,” Volvo said.

“This means that there will in future be no Volvo cars without an electric motor.”

Volvo has invested heavily in new models and plants since being bought by Zhejiang Geely Holding Group from Ford Motor Co. in 2010, establishing a niche in a premium auto market dominated by larger rivals such as Daimler’s Mercedes-Benz and BMW.

Part of its strategy has also been to embrace emerging technologies which allow higher performance electric vehicles as well as, eventually, self-driving cars.

Only last month, Volvo said it would reshape its Polestar business into a standalone brand, focused on high-performance electric cars aimed at competing with Tesla and the Mercedes AMG division.

Volvo has also taken steps towards an eventual listing, raising 5 billion crowns from Swedish institutional investors through the sale of newly issued preference shares last year, though the company has said no decision on an IPO has been made."
"India vs Sri Lanka, 2nd ODI: Where to see live streaming and get full cricket score","Live streaming and live cricket score of India vs Sri Lanka, 2nd ODI, Pallekele, was available online. India beat Sri Lanka by three wickets to go 2-0 up in the five-match series. (SCORES and HIGHLIGHTS) (IND vs SL FULL COVERAGE)

Match timing

India vs Sri Lanka, 2nd ODI, Pallekele, will start at 2.30 pm IST on Thursday. (Live scores)

READ | India vs Sri Lanka: Can Virat Kohli break his record of ODI tons vs SL? 5 key battles

Live streaming

India vs Sri Lanka, 2nd ODI, will be streamed live on www.sonyliv.com

Live cricket score and updates

The live cricket score and updates of India vs Sri Lanka, 2nd ODI, will be available on www.hindustantimes.com/sports-news/.

READ | Manish Pandey keeps patience as his mantra ahead of India vs Sri Lanka ODI

TV broadcast

India vs Sri Lanka, 2nd ODI, will be broadcast live on Sony Six and other channels of Sony Ten network.

Venue of the match

The India vs Sri Lanka, 2nd ODI, is being played at the Pallekele International Cricket Stadium in Pallekele."
Rafael Nadal back as World No.1 for first time since July 2014,"Rafael Nadal was confirmed as the world number one for the first time in three years in the latest ATP rankings released on Monday.

The Spaniard, who learned he was going to reclaim the ATP summit a week ago, last topped the men’s charts in July 2014.

The 31-year-old Spaniard, who won his 15th Grand Slam title this year at Roland Garros, deposes Britain’s Andy Murray, who withdrew from the tournaments in Montreal and Cincinnati with a hip injury.

Nadal, who has spent 141 weeks in the top spot, has struggled with knee injuries since first becoming No. 1 in August 2008 after a Cincinnati semi-final run. He has admitted doubting he could ever regain the number one spot after so many years.

Nadal, knocked out in the Cincinnati quarter-finals last week by Australian Nick Kyrgios, had slipped to as low as 13th in the ATP rankings midway through 2015.

Kyrgios’s progress to Sunday’s Cincinnati final earned himn a five-rung rise to 18th with the man who beat him, Bulgarian Grigor Dimitrov, breaking into the top 10 in 9th."
CBSE Results 2017 See how CBSE marks have shot up over the last decade,"CBSE Results 2017 See how CBSE marks have shot up over the last decade

If you managed to get 88% in your Class 12 CBSE exam in 2015, you would have scored merely 78% a decade earlier. HT analysed Class 12 CBSE results from 2004 to 2015 and calculated how board exam scores have increased over the years. Enter the average for your top five subjects with a year to see how much you would have scored years later or earlier.

I scored % in 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 .

The central examination board that has been providing grace marks, has also seen an overall increase in the average percentage of students. While percentage of students scoring more than 80% constantly increases, things don't not change much for those below 40%.

Students are scoring more over the years Percentage of students by average marks scored in CBSE. (2004-2015) Use the slider to adjust the year. Press to play the animation. 2004 2015"
"Chinese automaker SAIC announces India entry, will start making cars in 2019","SAIC Motor Corporation Ltd on Wednesday announced plans to enter India and start manufacturing cars by 2019, becoming the first Chinese automaker to venture in what will be the world’s third biggest auto market by 2020.

SAIC, formerly Shanghai Automotive Industry Corporation, will start making cars at its fully-owned manufacturing facility by 2019. SAIC is still negotiating to take over the General Motors’ Halol factory which closed operations on April 28 this year.

In India, SAIC has already registered its local subsidiary, MG Motors India. The company has roped in former GM India executives to lead its India operations -- Rajeev Chhaba will be president and managing director while P Balendran will be the executive director.

The largest automobile company in China stands 46th in the Fortune Global 500 list, with annual revenue of over $100 billion. The state-owned automaker has joint ventures in China with Detroit-headquartered GM and Germany’s Volkswagen, with brands such as MG, Roewe and Maxus under its belt.

Outside China, SAIC is present in several global markets including UK, USA, Europe, Australia, New Zealand, South America, Middle East, South East Asia, Thailand and Indonesia. It even has an ‘Overseas Innovation Center’ in Silicon Valley, California.

What models will SAIC bring to India under the MG badge remains a mystery. Founded in 1924, the Morris Garage has seen several change of hands before China’s Nanjing Automobile Group acquired it in 2005. It came under the SAIC umbrella after SAIC merged with Nanjing in 2008.

“The introduction of the iconic British Sports Car Brand ‘MG’ in India is an important part of SAIC Motor’s global strategy. Our aim is to provide best-in-class vehicles, integrating sophisticated British design and quality, breakthrough product features and a pleasing ownership experience,” the company said in a statement.

“As a new-age auto company focused on innovation and technology, the company offers various solutions and technological capabilities required in the development of ‘new energy vehicles’, to cater to the changing needs of global customers and the overall ecosystem,” the statement added."
"Stoke City vs Arsenal, Premier League 2017/18, full score: STK 1-0 ARS","Arsenal came into this game on the back of a narrow win over Leicester City on the opening day of the Premier League. However, their form did not endure as they succumbed to their first defeat of the season courtesy of a debut goal from Stoke attacker Jese Rodriguez. Catch full score and full commentary of Stoke City vs Arsenal, Premier League game, here (Liverpool vs Crystal Palace Live)

If you are unable to see the full score of Stoke City vs Arsenal, click here"
"PM Modi, Priyanka feature in LinkedIn Power Profiles List of 2017","Indian Prime Minister Narendra Modi and actress Priyanka Chopra have found a spot in the LinkedIn Power Profiles List of 2017.

Professional networking giant LinkedIn on Wednesday announced its fourth edition of Power Profiles, a list of the most viewed LinkedIn profiles of professionals in India, read a statement.

Through the list, the network recognises 50 such professionals, who have successfully invested in building their professional brand on the platform.

Modi with his 2.2 million followers on the platform, is a third time return to the list.

Other influencers are Kailash Satyarthi, Founder of Kailash Satyarthi Children’s Foundation, Congress MP Shashi Tharoor, Global Chief People Officer and Priyanka, who are new entries in the list.

Prabir Jha, global chief people officer, Cipla, and Manu Kumar Jain, Vice President and Managing Director, Xiaomi Technology, have returned to the list this year.

Akshay Kothari, country manager and head of product, LinkedIn India, said: “Our Power Profiles of 2017 have built a strong brand by sharing their diverse experiences and voicing their opinion on issues that matter to our members.”"
Meet the doctor who treated Gorakhpur’s first Japanese Encephalitis case in 1978,"Dr RN Singh was a 28-year-old senior resident in the department of paediatrics at Gorakhpur’s Baba Raghav Das (BRD) Medical College when the hospital got its first case of what was later diagnosed as Japanese Encephalitis.

That was in 1978. Since then, the mosquito-borne viral infection has caused annual outbreaks in the region, killing hundreds of children each year.

“An 8-year-old boy was brought to the emergency early in the morning with a high fever that was about 104 degrees Fahrenheit, convulsions, and incoherent behaviour. He went into a coma six to eight hours later and died the next day. No one knew of what,” recalls Dr Singh. “Soon, the hospital was getting around 50 cases a year.”

Japanese encephalitis and the deadlier Acute Encephalitis Syndrome (AES) became the national buzzwords after 30 children died between August 9 and 11 in BRD Medical College, Gorakhpur’s largest government hospital, amid allegations that a private company contracted to supply oxygen cylinders cut supply over a payment dispute.

The state’s Bharatiya Janata Party government admitted the shortage but dismissed allegations that an interruption in oxygen supplementation, which is crucial for critical care patients, caused the deaths. It said the vector-borne disease and other complications were responsible. However, opposition parties blamed government apathy for the tragedy.

The first JE case was reported in the North Arcot district of Tamil Nadu in 1955 and the infection stayed confined to southern India till 1973 when it was recorded from Burdwan and Bankura districts of West Bengal. In 1978, suspected outbreaks of JE were reported from 18 states and 24 states and Union Territories.

“Gorakhpur did not have the testing facilities needed and a diagnosis was made on the basis of cerebrospinal fluid (CSF) analysis. When cases started growing, samples were sent to the National Institute of Virology in Pune, which confirmed it as encephalitis caused by Japanese B virus,” the 68-year-old doctor said.

There is no cure for encephalitis and symptoms are treated to manage the disease. The death rate is a high 30%, which means 30 of the 100 people who develop the symptoms die of it. Neurological disabilities in JE survivors often affect limb movements, mental ability, hearing and speech.

Records at BRD’s physical medicine and rehabilitation (PMR) show it attended to 7525 cases in 2016-17 and 5750 in 2015-16. This year, the figure has already crossed the 4000-mark even as the peak season has set in for JE and AES.

After completing his residency, Dr Singh moved out of BRD and started a private practice in Gorakhpur and works to raise awareness about hygiene and early signs of encephalitis in the seven districts of eastern Uttar Pradesh— Gorakhpur, Maharajganj, Kushinagar, Basti, Deoria, Sant Kabir Nagar, and Sidharth Nagar. Of these, the worst affected are Gorakhpur, Kushinagar, and Maharajganj.

After Gorakhpur’s worst outbreak in 2005, India began vaccinating all children against JE from the next year. Vaccination, however, did not bring down the numbers, so India sought help from the Centers for Disease Control and Prevention (CDC) in the United States.

“NIV established a branch in Gorakhpur in 2007 and after extensive testing, concluded in 2007 that non-JE cases were also in circulation,” said Dr Singh.

Doctors began using the blanket term AES in 2008 for non-JE cases caused by viruses, bacteria, fungus, parasites, spirochetes, chemical, and toxins.

Like much of eastern UP, Gorakhpur is a JE-prone area and chief minister Yogi Adityanath wants a research centre in the area. But experts believe previous studies were good enough to reduce the number of deaths.

“Until we clearly identify the cause for these cases in Gorakhpur, outbreaks cannot be stopped,” said Dr Singh."
"India vs Sri Lanka 2017: Todays Match timings, Schedule & Fixtures, Time Table at Hindustan Times","Right to privacy not just for privileged few, it’s a part of what makes us human

Aug 24, 2017 22:33 IST"
