Title,Article
President Bashar al-Assad advisor says Syria war nearing its end,"Syrian President Bashar al-Assad. With firepower freed up by the truces, the government is extending its grip towards Islamic State territory in the vast eastern deserts. Syrian President Bashar al-Assad. With firepower freed up by the truces, the government is extending its grip towards Islamic State territory in the vast eastern deserts.

An advisor to Syrian President Bashar al-Assad has said the six-year war is nearly over as foreign states cut backing for rebels, and vowed the government would confront any “illegitimate” forces, whether Turkish or American. Bouthaina Shaaban said the fact that Syria was staging the Damascus International Fair for the first time in the war “sends a message that the war has ended … and we are at the start of the path towards reconstruction.”

With the help of Russian air power and Iran-backed militias, Damascus has shored up its rule over much of the country’s populated west. Now, it is marching eastward towards the Deir al-Zor region near the Iraqi border. The war, which has killed hundreds of thousands of people, has reached its “penultimate stage” as foreign powers that backed rebels change their policies, Shaaban said in comments to Lebanese al-Mayadeen TV carried on Syrian state news agency SANA on Thursday.

U.S. President Donald Trump has ended CIA support to rebel groups fighting to topple Assad. Turkey, long one of the main rebel backers, has also shifted its priority away from ousting Assad, seeking to mend ties with Russia and curb Kurdish expansion near its border. “Just as we defeated terrorism, we will fight any illegitimate presence on our land, whether it’s the United States or Turkey,” Shaaban said. “And this is among the challenges we will face at the right time in the right way.”

U.S. forces based in northern Syria are helping Kurdish-led militias push Islamic State militants out of Raqqa city. Washington also has a garrison in the southeast Syrian desert, near a strategic highway border crossing with Iraq, to train local rebels to battle Islamic State. Shaaban said this week’s Damascus trade fair and regional participation proved a “U-turn was achieved” in the conflict, a shift the Syrian army and allied forces were imposing since they seized Aleppo city late last year.

Still, the multi-sided conflict has raged on along several fronts across the country, with Islamic State losing ground to various separate enemies. And while the government has forced several major insurgent enclaves to surrender over the past year, rebels still hold swathes of land, including their stronghold of Idlib province and a pocket of territory near Damascus.

The battle against rebels in western Syria has recently shifted down several gears after a string of ceasefire deals, including one Moscow and Washington brokered for the southwest.

With firepower freed up by the truces, the government is extending its grip towards Islamic State territory in the vast eastern deserts. Syria’s war, which spiralled into violence after mass protests against Assad’s rule in 2011, has made more than 11 million people homeless and sparked a global refugee crisis.

For all the latest World News, download Indian Express App"
Critics cry foul as young Hong Kong democracy leaders get jail,"Joshua Wong, 20, Alex Chow, 26, and Nathan Law, 24, were sentenced last year to non-jail terms including community service for unlawful assembly (AP Photo/Vincent Yu) Joshua Wong, 20, Alex Chow, 26, and Nathan Law, 24, were sentenced last year to non-jail terms including community service for unlawful assembly (AP Photo/Vincent Yu)

* Joshua Wong jailed for six months for unlawful assembly

* Jail terms disqualifies trio from running for seats for 5 years

* Terms slammed amid accusations of political interference

A Hong Kong appeals court jailed three leaders of the Chinese-ruled city’s democracy movement for six to eight months on Thursday, dealing a blow to the youth-led push for universal suffrage and prompting accusations of political interference.

The jail terms will curtail the political ambitions of the trio, disqualifying them from running for seats in the financial hub’s legislature for the next five years.

Joshua Wong, 20, Alex Chow, 26, and Nathan Law, 24, were sentenced last year to non-jail terms including community service for unlawful assembly, but Hong Kong’s Department of Justice applied for a review, seeking imprisonment.

Wong was jailed for six months, Chow for seven months and Law for eight months. Law had been the city’s youngest ever democratically elected legislator before he was stripped last month of his seat by a government-led lawsuit.

The three appeared stern but calm as their sentences were delivered by a panel of three judges. A lawyer involved in the case said they would appeal. Wong, who was 17 when he became the face of the student-led democracy movement, punched his fist in the air as he left the court room and shouted: “Hong Kong people don’t give up.”

Minutes earlier he Tweeted: “They can silence protests, remove us from the legislature and lock us up. But they will not win the hearts and minds of Hongkongers.” Chow waved at his parents as he left the court. His mother broke down in tears.

The three judges in Hong Kong’s second highest court, the court of appeal, wrote in their judgment that the three could not say they were sentenced for exercising freedom of assembly in a city where many democrats see a gradual erosion of freedoms promised in 1997.

“In recent years, there’s been an unhealthy trend in Hong Kong society. Some people use the pursuit of ideals … as an excuse to take illegal action,” Judge Wally Yeung wrote.

“This case is a prime example of the aforementioned unhealthy trend.”

The former British colony, which has been governed under a “one country, two systems” formula since it was returned to Chinese rule in 1997, was rocked by nearly three months of mostly peaceful street occupations in late 2014, demanding Beijing grant the city full democracy.

The so-called “Umbrella Movement” civil disobedience movement, which drew hundreds of thousands of protesters at its peak, was triggered by Wong and his colleagues storming into a courtyard fronting the city’s government headquarters.

They were later charged with participating in and inciting an unlawful assembly.

Just before sentencing, Wong told over a hundred supporters who thronged into the court lobby, some weeping, that he had no regrets.

“I hope Hong Kong people won’t give up,” he said. “Victory is ours. When we are released next year I hope we can see a Hong Kong that is full of hope. I want to see Hong Kong people not giving up. This is my last wish before I go to jail.”

About 100 supporters later swarmed the prison vans taking the three away from court, shouting slogans, a Reuters witness said. At least one person was taken away by police.

Wong told Reuters on Wednesday that Hong Kong’s democratic movement was facing its “darkest era” and that he’d lost confidence in the city’s independent legal system, long considered one of the best in Asia.

DISSENTING VIEWS

A senior government source who declined to be identified due to the sensitivity of the matter said Hong Kong’s top prosecutors had initially “not recommended pursuing” the case further” after the non-jail terms were handed down.

But Hong Kong’s Secretary of Justice, Rimsky Yuen, overruled them and insisted on re-opening Wong’s case, a decision that ultimately led to their imprisonment, the source said.

In response to emailed questions from Reuters to Yuen seeking clarification, a spokesman for the Department of Justice said it “does not comment on internal discussions regarding individual cases”.

“However, the DoJ (Department of Justice) reiterates that all decisions were made in accordance with the Prosecution Code, the applicable law and relevant evidence.”

The DoJ said in an earlier statement there was “absolutely no basis to imply any political motive”.

Critics disagreed.

“From the initial choice to prosecute these young democrats through to today’s hearing, these cases have been shot through by politics, not law,” China director at Human Rights Watch, Sophie Richardson, said in a statement.

“That Hong Kong’s courts increasingly appear to operate as mainland courts do is clear evidence that ‘one country, two systems’ is on the ropes – with ominous consequences for all,”

Amnesty International also slammed the jail terms.

“The relentless and vindictive pursuit of student leaders using vague charges smacks of political payback by the authorities,” said Mabel Au, Director of Amnesty International Hong Kong.

Under the “two systems” formula, Hong Kong enjoys a free judiciary, unlike on the mainland where the Communist Party controls the courts which rarely challenge its decisions.

In recent months, dozens of protesters, mostly young people, have been jailed for their roles in various protests, including a violent demonstration that the government called a riot in early 2016. (Additional reporting by Tyrone Siu; Editing by Anne Marie Roantree and Nick Macfie)

For all the latest World News, download Indian Express App"
Ilkay Guendogan keen to make Manchester City return in Liverpool encounter,"Manchester City, who beat promoted Brighton and Hove Albion 2-0 in their league opener last Saturday, host Everton on Monday. (Source: File) Manchester City, who beat promoted Brighton and Hove Albion 2-0 in their league opener last Saturday, host Everton on Monday. (Source: File)

Manchester City midfielder Ilkay Guendogan has set his sights on making a return to first-team action in the Premier League encounter against Liverpool on Sept. 9 as he nears full fitness following an extended injury layoff.

The Germany international, who injured his knee in December, played 20 minutes of City’s 1-0 friendly loss to Girona in Spain on Tuesday but said there remained a long way to go to get fully match fit.

“I was out for eight months so there is no reason to rush now. When I feel good, ready and safe, I’m ready to play and try. That’s also the target for the next weeks,” he told City’s website. (www.mancity.com)

“There’s an international break in the next two weeks so plenty of time still to use that for training and maybe more games if that’s possible.

“Hopefully after that break I will be ready to join the team fully. I want to be there when my manager and my team mates need me.” City, who beat promoted Brighton and Hove Albion 2-0 in their league opener last Saturday, host Everton on Monday.

For all the latest Sports News, download Indian Express App"
Retired HC Judge To Probe J Jayalalithaa’s Death,"In signs that talks on the merger of the two factions of AIADMK had reached a decisive stage, Tamil Nadu Chief Minister E K Palaniswami on Thursday announced an inquiry by a retired high court judge into AIADMK chief J Jayalalithaa’s death. A probe into the former Chief Minister’s death was a key demand of the AIADMK faction headed by O Panneerselvam.

To know more about the story watch out the video."
Australia Tour of South Africa 2018,"Sri Lanka v India

India beat Sri Lanka

By An Innings And 171 Runs"
‘Mission 11 Million’ launched to promote football among kids,"In order to be an integral human being you need not only to be smart and have it, but also to strike a balance between studies and life, said Javier Ceppi. (Source: File) In order to be an integral human being you need not only to be smart and have it, but also to strike a balance between studies and life, said Javier Ceppi. (Source: File)

The All India Football Federation (AIFF) and the local organising committee for the FIFA U-17 World Cup India 2017, to be held later this year,

with the support of the Centre, have initiated a programme to bring at least 11 million school children to play the game in the run-up to the event.

“Over 1,500 students from across 250 schools will pledge their support to the mission, named ‘Mission XI Million’ (MXIM),” a release from the organisers said in Hyderabad on Wednesday.

At a ‘Harvard Model United Nations India (HMUN India)’ held here for three days till yesterday, children participants dedicated a message to the Indian national football team, it said.

“In order to be an integral human being you need not only to be smart and have it, but also to strike a balance between studies and life, and that’s what we’re trying to bring through Mission XI Million by taking football to all the students around the country,” the release quoted Javier Ceppi,

Tournament Director, LOC, FIFA U-17 World Cup as saying.

The children participants took a Mission XI Million pledge and vowed to promote the sport in their schools, it added.

For all the latest Sports News, download Indian Express App"
How to Be More: 70 defining moments in Indian history,"Acting President BD Jatti administering the oath of office to Morarji Desai as Prime Minister of India at Rashtrapati Bhawan, New Delhi on March 24, 1977 Acting President BD Jatti administering the oath of office to Morarji Desai as Prime Minister of India at Rashtrapati Bhawan, New Delhi on March 24, 1977

In 1948, Mahatma Gandhi’s assassination sent shock waves across newly independent India. The Rashtriya Swayamsevak Sangh (RSS) was banned by Sardar Patel, the then Home Minister and a committed Gandhian, who called it a “cult of violence”.

India’s central banking institution, the Reserve Bank of India, was nationalised in 1949.In 1950, India became a republic upon the enactment of the Constitution and guaranteed universal adult suffrage to all its citizens.

The Planning Commission was set up on March 15, 1950, and the first Five Year Plan, the bedrock of how development was to be planned, pushed and executed in the country, got underway.

From 1951-59, the first Indian Institutes of Technology (IITs) in Kharagpur, Chennai, Powai and Kanpur were set up. This enshrined the idea that technical education was not a luxury, but a necessity for a newly independent, even if poor country, like India.

India started work on what Jawaharlal Nehru, the country’s first Prime Minister, called the “temples of modern India” — large hydro-electric projects such as the Bhakra Nangal Dam (completed in 1963), Hirakud Dam (completed in 1957) among others.

The first democratically elected Communist government in the world assumed office in Kerala in 1957. It was dismissed by the Centre in two years, but it made history, nonetheless.

K Asif’s magnum-opus Mughal-e-Azam released in August 1960. Asif, apparently, came upon the idea in 1944, after reading a play and had to wait for a long time to get financiers for the film.

Indian Institute of Management (IIM), Calcutta, became the first IIM to be set up on November 13, 1961. Like in the case of the IITs, the idea that the state could subsidise higher education was an audacious one.

The 1962 India-China War over Aksai-chin led to a defeat for India and had serious internal consequences. Nehru’s health took a beating, never to recover, and the non-Left Opposition in the country gained ground. Thousands of Communist members and supporters were arrested.

Vikram Sarabhai Space Centre was set up in 1963.

Another war with Pakistan a year after Nehru’s death in 1964 kept the country on tenterhooks. Lal Bahadur Shastri, the then Prime Minister, mindful of the food crisis as well as the mood of the country, coined the slogan, ‘Jai jawan jai kisan’.

1966 saw the then PM Indira Gandhi devalue the Indian rupee by one-third. The move came under heavy criticism, but it was done in the context of a very shaky balance of payments situation and food insufficiency. Droughts that year resulted in massive food shortage and India had to shop for food in the international world market. The move was criticised heavily, but the devaluation managed to reduce the astronomical fiscal deficit at the time.

Dr Reita Faria became the first Asian woman to win the Miss World pageant in 1966. It would be nearly three decades later that Sushmita Sen would win another beauty pageant in 1994.

The Green Revolution was ushered in in the early Sixties, with the introduction of high-yield variety of crops, eventually leading India to food self-sufficiency.

India won its first Test cricket series in New Zealand in 1968.

Banks were nationalised in 1969 by Indira Gandhi. This was a landmark moment in Indian economics and politics and earned Gandhi her spurs as a pro-poor Leader, which reaped results in the 1971 elections.

India won its first World Cup in 1983; Rakesh Sharma was the first Indian to travel in space in 1984; Jyoti Basu with Harkishan Singh Surjeet. Basu was the longest-serving chief minister of an elected Communist government lll India won its first World Cup in 1983; Rakesh Sharma was the first Indian to travel in space in 1984; Jyoti Basu with Harkishan Singh Surjeet. Basu was the longest-serving chief minister of an elected Communist government lll

Dr V Kurien launched a cooperative milk revolution, the White Revolution, in Gujarat in 1970, enabling women to share the economic prosperity ushered in by their efforts. It was memorialised in the Shyam Benegal film, Manthan (1976). In 1988, the World Bank published an audit which “revealed that of the Rs 200 crore the World Bank invested in Operation Flood (Kurien’s project), the net return on India’s rural economy was a massive Rs 24,000 crore each year over a period of 10 years, to which no other dairy programme has ever matched.”

In 1970, the Department of Electronics (DoE) was set up to “promote the rapid growth of electronics and computers”. Between 1971 and 1978, a company called the Electronics Corporation of India Ltd (ECIL) was set up to lay emphasis on the indigenous design and development of computers, using primarily India-made components. ECIL made the TDC 312 and TDC 316 computers.

Bangladesh was carved out of East Pakistan after a civil war, in which India sided with the Mukti Bahinis of Bangladesh. The Simla Agreement was signed after the conclusion of the India-Pakistan war in 1971, laying the basis of peace with Pakistan for nearly three decades.

Project Tiger was launched in 1973. Its main objective was to ensure a viable population of tigers in India and to preserve areas of biological importance as a “natural heritage for the benefit, education and enjoyment of the people”.

The Kesavanand Bharati case was heard before the Supreme Court in 1973. It gave birth to the crucial “basic structure” doctrine of the Constitution. If it did not tamper with India’s “basic structure”, any law could be legislated and could pass muster.

Pokharan nuclear test in 1974 led to the formation of the Nuclear Suppliers’ Group internationally to try and restrict India after its show of strength.

Aryabhata, India’s first satellite, was launched in 1975. Built by ISRO, it was launched from Kapustin Yar in the then-USSR. RBI kept the image of Aryabhata on the reverse of the Rs 2 note from 1976 to 1997.

Ramesh Sippy’s Sholay was released in1975, a landmark multi-starrer that became the benchmark for decades to come. Four of the top stars — Amitabh Bachchan, Dharmendra, Jaya Bhaduri and Hema Malini – went onto become Members of Parliament. The film launched Amjad Khan as the very impressive villain, Gabbar Singh.

The Constitution was amended very significantly in 1976 and the words “secular” and “socialist” added to the Preamble.

The first non-Congress government was formed at the Centre in 1977. Several parties came together as the Janata Party to fight Emergency. Jayaprakash Narayan was the central figure and leader of this anti-Congress formation. Morarji Desai was sworn in as Prime Minister after the electoral win.

Jyoti Basu became the chief minister of West Bengal in 1977 and helmed the longest-serving elected Communist government in the world.

On April 23, 1977, World Health Organisations’s International Smallpox Assessment Commission declared India to be free of small pox.

India won its last hockey gold at the Olympics in 1980.

In 1982, the concept of a low power transmitter (LPT) gained ground and television broadcast became possible to the remotest parts of India. Colour telecast and the reach of television became truly broad-based.

In 1983, India won the Cricket World Cup under Kapil Dev.

On April 2, 1984, Rakesh Sharma became the first and only Indian to travel in space aboard the Soyuz T-11. When asked by PM Indira Gandhi about what he thought of India from space, he famously replied, “Saare jahan se achha.”

India moved into Siachen, the highest battlefield in the world, in 1984. This is a disputed glacier in Kashmir and while a ceasefire was declared in 2003, it remains a battleground to date.

Operation Blue Star, a campaign by the Indian Army against separatists demanding Khalistan under the leadership of Jarnail Singh Bhindranwale, attacked the spiritual nerve of the Sikh community — the Golden Temple in Amritsar in June 1984. The extensive damage caused to the shrine, shattered Sikhs, mostly not sympathetic to the Khalistan cause.

In July 1984, India’s first soap opera, Hum Log, scripted by well-known Hindi writer Manohar Shyam Joshi started being telecast on Doordarshan. This was said to have been inspired by a Mexican soap but its portrayals of a middle-class Indian family remain memorable.

Indira Gandhi was assassinated by two of her security guards in 1984, as revenge for Operation Blue Star. What was shameful for independent India was the organised anti-Sikh pogroms that followed. In 2005, then PM Manmohan Singh would apologise to the nation for the “the negation of the concept of nationhood enshrined in our Constitution”.

In 1986, Harsha Chawda became the first Indian test-tube baby. She made Dr Indira Hinduja, an in-vitro fertilisation expert, a star at the time. Chawda, incidentally, became a mother last year.

In 1987, the Parliament enacted a special law to reverse a Supreme Court order around maintenance for a divorced Muslim woman, Shah Bano, to restore what was the primacy of Muslim Personal Law over the lives of Muslim citizens. This gave the Hindu right wing a loud campaign message.

After two decades of conflict between the Mizos and the Indian state, in June, 1986, the Mizoram Accord was signed between Rajiv Gandhi and Laldenga. This had a very significant bearing on peace in the north-eastern states.

1989 saw Salman Rushdie’s book The Satanic Verses banned in India. It was the first country to do so, but several others followed suit. It eventually led to a fatwa by Iran’s Ayatollah Khomeini against Rushdie. This was a dark moment and an indication how plural democracies would not commit to freedom of expression.

In the early Nineties, the situation in Kashmir deteriorated with Kashmiri Pandits being forced to leave the Valley as murderous attacks on them made their stay impossible.

The Mandal Commission, arguing for the need for special quotas for Other Backward Classes in government jobs, was submitted to the government in 1980, but was gathering dust till VP Singh decided to implement it in August 1990. The move was to result in a huge tumult, especially in north India. First, anti-Mandal protests and then pro-Mandal protests erupted across the country. Leaders who made a mark in the anti-Mandal and pro-Mandal protests would go on to dominate Indian politics for the next three decades.

In Kerala, the total literacy movement was first initiated in Ernakulam district and Kottayam municipality in the late ’80s. On 4th of February 1990, the then Prime Minister Shri VP Singh declared Ernakulam as the first totally literate district in India.

Economic liberalisation was kicked off formally by then Finance Minister Manmohan Singh under Prime Minister Narasimha Rao in the first budget after the Congress returned to power in 1991. It was a move that transformed India’s economy, politics and society.

Former PM Rajiv Gandhi was assassinated in May 1991, while on campaign in Sriperumbudur. It would go on to change the course of Indian politics.

Panchayat elections became mandatory in 1992, kicking off a silent revolution as elected leadership at local levels provided a basis for deepening democracy in the years to come.

Babri Masjid in Ayodhya was pulled down by a mob, mobilised over months in 1992. It opened up a communal fault line that continues to divide Indian politics.

Satyajit Ray, the legendary Bengali filmmaker, was awarded an Honorary Oscar in 1992 for Lifetime Achievement by The Academy of Motion Picture Arts and Sciences.

In 1995, Aditya Chopra’s Dilwale Dulhaniya Le Jayenge was released both in India and internationally. It would establish Shah Rukh Khan as an enduring star.

After 1948, Leander Paes won the first individual medal for India in Olympics in 1996.

The cellphone came to India in 1996. West Bengal chief minister Jyoti Basu held the first mobile phone conversation in the country.

In 1999, following massive cross-border infiltration, India and Pakistan would face off at Kargil. Pakistan was led by General Pervez Musharraf, who went on to become President of Pakistan.

The hijacking of an Indian Airlines plane flying into Delhi from Kathmandu by the Taliban in 1999 remains one of India’s most dramatic stories of a negotiation gone wrong. Eventually, three terrorists in Indian jails had to be released in exchange for the safe passage of passengers aboard the ill-fated IC 814.

In the late Nineties, Cable TV connected India in a way few things have done. BBC, CNN were all bold and beautiful and put India, slowly but surely, on a path of irreversible information and media integration.

After the attack on the Indian Parliament in December 2001, the biggest military build-up along the border with Pakistan took place, an “eyeball to eyeball” confrontation, as India held Pakistan repsonsible for the assault on the Parliament complex. This was termed Operation Parakram. It finally ended in 2004, with PM Vajpayee’s visit to Pakistan in January and the start of a cross-LoC bus.

In 2002, RSS flew the tricolour for the first time at its headquarters in Nagpur. Till then, it had not recognised the national flag.

Nearly 2,000 people died in the 2002 Gujarat riots, triggered by the burning of a train in Godhra, killing kar sevaks returning from Ayodhya. Retaliatory anger and an administration, either unable to control the situation or complicit in it, watched as Muslims were killed in mob attacks.

India became free of leprosy in December 2005.

India’s space programme came of age as the first unmanned space mission Chandrayaan-1 reached the moon on November 8, 2008. It included a lunar orbiter and an impactor launched by a modified version of the PSLV on October 22, 2008.

The Right to Information Act and NREGA (now, MNREGA) were enacted in 2005 and 2006 respectively. MNREGA and RTI are among the world’s most progressive laws and are recognised by the United Nations as such. Right to Education became a universal right in 2010 and India became one of the 135 countries to adopt it.

India-US Nuclear Accord between Manmohan Singh and George Bush in 2006 broke the nuclear apartheid in place after Pokharan 2 and allowed (at least, in principle) access to crucial civilian and military technology. This came at a price in domestic politics as the Left parties withdrew support to UPA and led to series of unintended consequences politically.

In 2006, Maqbool Fida Husain, among the greatest painters in the world, was forced into exile until his death in London for allegedly hurting Hindu sentiment through his paintings. The Supreme Court though, in the end, defended artistic expression, in a much-discussed verdict.

In 2008, 10 gunmen travelled to Mumbai in a dinghy and killed nearly 200 persons across south Mumbai in one of the worst terror attacks on India.

India won its second cricket World Cup in 2011 under MS Dhoni.

India Against Corruption, a movement launched by a group of citizens, NGOs and other anti-Congress groups in 2011, was able to force issues with the elected government of the day and score vital political points.

On March 27, 2014, India was declared polio-free.

Narendra Modi was elected Prime Minister in 2014 after the most expensive campaign in Indian political history. He became the first chief minister to directly campaign as a PM-candidate and make it.

For all the latest India News, download Indian Express App"
"Grenade attacks on bars in Burundi capital kill 3, wound 27","FILE PHOTO: Men carry away a dead body in the Nyakabiga neighborhood of Bujumbura, Burundi, Saturday, Dec. 12, 2015. (AP Photo) FILE PHOTO: Men carry away a dead body in the Nyakabiga neighborhood of Bujumbura, Burundi, Saturday, Dec. 12, 2015. (AP Photo)

Grenade attacks on two bars killed at least three people and wounded 27 others in the Burundian capital of Bujumbura, police and hospital sources said on Friday. Police spokesman Pierre Nkurikiye told reporters one person died at the scene and 29 others were rushed to hospital after grenades were thrown into two bars in the Buyenzi district on Thursday night. Hospital sources said two people died of their injuries later. One survivor, who asked not to be named, said the attackers had not attempted to rob the bars or the patrons.

Burundi has suffered from periodic low-level violence since 2015, when President Pierre Nkurunziza decided to seek a third term in office. Opponents said his candidacy violated the constitution and a peace agreement that ended a civil war in 2005. The opposition mostly boycotted the polls and Nkurunziza won a third term.

A wave of unrest followed. The International Criminal Court said it left about 450 people dead and forced hundreds of thousands to flee. Since then, political violence has continued to simmer. Earlier this month, attackers targeted another bar in the same district, causing two deaths and wounding four.

For all the latest World News, download Indian Express App"
ACB submits status report in Delhi HC on ‘medical equipment scam’,"Delhi High Court Delhi High Court

After filing an FIR over alleged corruption in procurement of medical equipment at a government hospital, the Anti-Corruption Branch (ACB) submitted a status report in the matter before the Delhi High Court on Thursday.

ACB officials told The Indian Express that they have named 15 government officials in the FIR. Special Commissioner of Police (ACB) M K Meena said the FIR was lodged on August 10 and they submitted a status report before the HC on Thursday.

According to the complaint, anomalies were found in procurement of equipment at Aruna Asaf Ali Government Hospital in Civil Lines, north Delhi, following which a complaint was lodged with the ACB. Subsequently, a petition was also filed in the Delhi High Court.

For all the latest Cities News, download Indian Express App"
Reliance JioPhone: Here’s how to pre-register the 4G feature phone via SMS,"Reliance JioPhone: Here’s how you can pre-register via SMS. Reliance JioPhone: Here’s how you can pre-register via SMS.

Interest in the Reliance JioPhone is apparently high. A number of Reliance Digital and Express Mini stores in Delhi-NCR region have already started to witness increase in customers’ queries about the JioPhone. Indianexpess.com visited a few authorised Reliance Jio stores, where we found that the store managers were busy seen explaining the pre-registration process to their customers. The actual bookings will commence only from August 24, one of the store managers told Indianexpress.com.

Here’s how you can pre-register the JioPhone via SMS

Interestingly, users can now register their interest in the JioPhone by simply sending a text message. In order to book the JioPhone via SMS, all you need to Type as JP <> your area pin code <> Jio store code near your area. Now send the SMS to 702 11 702 11. Once you send the SMS to the above number, you will get a “Thank You” message from Reliance Jio.

The retailer said all the details about the JioPhone will be communicated to the customer via a text message or phone call. When the pre-booking for the phone commences on August 24, the company will ideally be calling all those customers who previously registered for the JioPhone via SMS. If the customer shows interest in buying the phone, the company will then send an area code of the store, where the phone will be available for delivery.

Reliance JioPhone to be made available in September

We have also learnt that the JioPhone will be made available in the first week of September, though the exact details are still scant at the moment. Users, however, should note that you need to submit a copy of your Aadhaar card to pre-order the device. Also, Reliance Jio is restricting one unit per Aadhaar number. Reliance JioPhone will be made available on a first come, first serve basis. Reliance Jio is giving users both the online and offline options to register interest in the JioPhone.

One of the store managers told Indianexpress.com that they are expecting to get to the JioPhones for testing soon. Initially, the plan was to get the units on August 15. Ideally, the JioPhone will be showcased for demo purpose across all Reliance Digital and Express Mini stores.

Reliance JioPhone price, offers

Last month, Reliance Industries Limited Chairman Mukesh Ambani launched its much-ambitious the JioPhone. The most advanced 4G VoLTE feature phone has an effective price of Rs O, though the company is charging a one-time, fully refundable fee of Rs 1500 for three years. This simply means users can claim the deposit after three years given they are ready to hand over the device to the company. The monthly plan on the Jio phone is Rs 153, which offers 500 MB of data per day for 28 day validity, which effectively comes to 14GB of data per month. Other than the monthly plan, Jio is offering weekly and two-day plan. The weekly plan will cost Rs 54 while the two-day plan will be available for Rs 24. All calls, including STD are free on the Jio network.

Reliance JioPhone specifications, features

Speaking of its specifications, Reliance JioPhone sports a 2.4-inch QVGA display. The feature phone will be available in two models; one with a Snapdragon 205 processor and other with the Spreadtrum chipset. The device has a dedicated button for torchlight and an alphanumeric keypad. JioPhone will be available in 24 regional language support, and users can communicate with the JioPhone via voice commands. It also has the built-in SoS button, which can be simply activated by pressing the number five. Plus, the JioPhone also comes pre-loaded with Jio apps. The phone does not come with a WhatsApp support, though there have been some reports that claim that there will be a special version of the app specifically made for the JioPhone.

For all the latest Technology News, download Indian Express App

© IE Online Media Services Pvt Ltd"
