Title,Article
What ails our Temples of Health?,"The deaths of children on account of the Japanese Encephalitis Virus at the Gorakhpur Medical College is completely unacceptable and I share the anguish of every citizen of our country on these man made errors.

But as always happens, it is only a matter of time before our activist press members will find something new to cover, our politicians will get busy with new challenges and our doctors, who are responsible for these deaths every year will breathe a sigh of relief as the spotlight will shift from them.

Japanese Encephalitis is an infection of the brain caused by the mosquito borne Japanese encephalitis virus. This virus makes its annual appearance during the period July – September months in Gorakhpur district and neighbourhood areas. The fatalities in the last few years are as follows:

1. 2012: 557

2. 2013: 650.

3. 2014: 525

4. 2015: 491

5. 2016: 641

6. 2017: 100, so far

What is important for the authorities is to ensure that they must not allow the deaths of these children to become an annual affair that needs to be justified and shouted about for a short period of time because it gets attention and it gets media coverage, only to go back to status quo ante when the noise recedes. Proactive steps need to be taken from vaccination to cleanliness to substantial improvement of the facilities and infrastructure at these government-owned medical institutions.

It is time for us to take stock of the state of our medical colleges not just in Gorakhpur or the state of Uttar Pradesh but in the entire country. Have we ever wondered why it is always the poor who suffer? Probably because they are the only people who have to seek medical help in government owned medical colleges, civil hospitals or primary health centres.

Has a journalist ever made a surprise visit to any of these hospitals and seen the pathetic state of the hospitals and even the Intensive Care units? They would be shocked to see that it is quite common to experience a big shortage of ICU beds and to see patients lying on the floor with their relatives holding up the drip connected to their bodies because there is no equipment even to hold the bottle of saline or the bag of blood.

In addition to the unsanitary conditions in our temples of health, it is quite common to see stray dogs, monkeys and rats everywhere in the hospital.

Have we looked at the pathetic state of waiting areas for patients in government owned medical colleges? In summer, patients sit in the intense heat with no provision of water. In monsoons, there is no covered area outside and in winter, they have to brave the bone chilling winter of North India.

Patients come from villages spread hundreds of kilometers around the medical colleges and they have no idea how long they may have to wait to get an appointment. At the same time, have we seen how easily it is for VIP’s to not only get immediate attention and the best medicines but also the best rooms while everyone else is struggling to find a place on the floor in the hospital to sit or to lie down?

Government doctors are happily operating their private practices from their homes and no one bothers to enforce the rule that government doctors are not permitted to have a private practice. In several states, there is a new term called “propaganda medicine” that has evolved over a period of time. There are specialist doctors in several medical colleges who have now taken control of the entire value chain from prescription to purchase. These doctors write the prescription, manufacture the medicines that they prescribe in partnership with someone and they have even set up a chemist shop where these medicines are exclusively available.

Have we looked at the availability of medicines in government hospitals, which under most state laws are supposed to be given free of charge to people in the economically weaker sections of society? These medicines are supplied to these medical college shops by the Government and are prescribed by the doctors. More often than not, these medicines are not available. It is the norm that when a poor patient takes the prescription to the shop, he is told that medicines are out of stock. In the same breath, the pharmacist at the store tells the patient that he should walk across the road and go to the private chemist on the other side of the road where all these medicines are easily available, albeit at a cost.

Where are the medicines that were procured by the Government and supplied to these medical colleges? Why are they not available in the hospital stores? Has anyone bothered to investigate this or is this news not “breaking” enough for people to sit up and take notice?

In order to prevent theft and re-sale of government procured medicines, a simple solution is available. All medicines procured by the government for distribution free of charge should be packaged not in a silver strip but in a black foil strip with the medicine name and ingredients printed clearly across the strip in red. The medicine strips should also clearly state that these medicines are distributed free of charge and if anyone is found to be selling these medicines, severe and exemplary action will be taken. This is a very simple solution to solve the problem but may not be economically beneficial to the procurement officials.

The poor people face challenges all the time. There are chemists who have shops outside medical colleges and they specialise in supply of medicines for illnesses – where a patient is unlikely to recover – such as cancer. These chemists sit with a lawyer who specialises in land title deeds and they take away the land of the poor people in exchange for medicines that the patient needs. Can there really be any other trade worse than this?

We need some serious introspection on the condition of all government owned health institutions in our country and the service they provide for the poor and the masses of our nation for whom they were really setup. Governments come and governments go. Some lip-sync their concerns and sympathy a little more than the others but most of them have done nothing even after seven decades of our independence.

Only when we start going to the grass root of the problems will we be able to start fixing the institutions of health that serve the people. Accountability has to be sought and discipline must be enforced. Otherwise every year there will be an outbreak of encephalitis and every year we will express our shock only to forget about the outbreak till the next epidemic strikes.

It is impossible to get anything done overnight but a beginning has to be made."
"In his first big foreign policy speech, President Trump slams Pakistan","In the most direct speech ever from a world leader, President Trump rebuked Pakistan for housing terror groups. On the 21st of August, 2017, speaking to the armed forces in Fort Myers, Virginia, President Trump spoke about his Afghanistan -South Asia strategy. He was candid, direct about how he had asked his cabinet to come up with a strategy on Afghanistan and then had made his decision.

“No nation building anymore,” he said, “we are killing terrorists.” And assured the forces that there would not be micromanagement from Washington and strategic decisions would be made on the ground. This time America would fight to win.

President Trump regretted that the war in Afghanistan was in its 17 years and the blood and treasure had been enormous but he said he owed it to the soldiers who had fought and died to finish what they had gone for—killing terrorists in their safe havens and not letting a vacuum develop as in Iraq and in Afghanistan by hastily withdrawing troops.

On the issue of Islamic terrorism, Trump, has not wavered once. He spoke about it candidly in Saudi Arabia; wanted to extreme vet immigrants coming from countries that were considered to be harbouring terrorists; and has nailed Afghanistan and Pakistan as countries that have 20 US designated foreign terrorist organizations. This has made the security threat from this region immense. Therefore, America would have to after the terrorists.

“For its part Pakistan often gives safe havens for agents of chaos, violence and terror,” he said and he was committed to stripping terrorists of their territory and cutting of their funding. Calling them thugs, criminals, predators and losers he declared that we will defeat them handily.

This could imply that US troops would no longer be constrained to chase the Haqqani network into safe havens in Pakistan and that even terror groups in Pakistan would come under the radar to be destroyed.

President Trump said that a pillar of the new strategy is how to change the approach to deal with Pakistan. “We can no longer be silent about Pakistan’s safe havens for terrorist organizations; the Taliban and other groups that pose a threat to the region and beyond.”

It had much to lose by harbouring criminals, terrorists. He said that though Pakistan had been a partner in the past it had sheltered the same organizations “that try every single day to kill our people. We have been paying Pakistan billions and billions of dollars, at the same time, they are housing the terrorists that we are fighting!”.

“But that will have to change and that will change immediately. No partnership can survive a county’s harbouring of militants and terrorists that target US servicemen. Time for Pakistan to demonstrate its commitment to civilization, order and to peace.”

President Trump said that another critical part of the strategy for America is to further develop its strategic partnership with India- “the world’s largest democracy and the key security and economic partner of the US.”

This will definitely send a strong signal to both Pakistan and China that the US is firmly behind India. No longer is Pakistan going to be able to hold a gun to America’s head and say, “we will implode if you don’t pay us,” or “ we are a victim of terror.”

China too, indirectly, has been put on notice. Perhaps, they will realize that they can’t side with Pakistan indefinitely on terror. Their huge stakes in CPEC could also be at stake.

President Trump also said that the NATO allies have contributed and will continue to contribute towards fighting terror.

He was firm that there would be no blank checks and Afghanistan would have to commit to share the burden, to reform and play its part in the effort to stabilize itself.

Since President Trump came to office, I have written about the times his administration has chided Pakistan and foretold that he would be good for India. He has not disappointed me yet."
This 3200MP Camera In World's Most Hi-Tech Telescope Will Start Hunting For Dark Matter In 2019,"Ever since astronomers discovered in 1998 that our universe is expanding faster as time goes by the idea has captivated researchers across the world. The idea is that this acceleration in the rate it’s expanding because of “dark energy”, the mysterious gravitational force spread throughout our universe.

A concept render of what the LSST facility will eventually look like

Now, scientists from dozens of institutions across 23 countries have come together to work on a new telescope they believe can shed light on dark matter. Called the Large Synoptic Survey Telescope (LSST), it’s a gigantic digital camera to be mounted on Earth, which will capture images from galaxies millions of light years away.

“All the existing telescopes with cameras were built before the discovery of dark energy,” Paul O’Connor, a senior scientist from Brookhaven National Laboratory told Atlas Obscura. “We expect the LSST to map the entire sky and find out where all that dark matter has been hiding.” O’Connor has been working on the project for over ten years and he believes it could completely change how we understand the workings of the universe.

The LSST's 3.5 metre wide mirror cells, part of its camera assembly

The LSST would serve to capture images of galaxies much further away than our current technology allows. The camera’s field of view when pointed at the sky would be just ten square degrees, but it would still be able to spot around a million distant galaxies in that area. It'll also be outfitted with a 3,200 megapixel sensor being developed by O'Connor at Brookhaven, able to capture light from stars 100 million times dimmer than those visible to the naked eye.

About the size of a small SUV car, ""the LSST camera is the largest camera ever constructed for astronomy.""

It is a large-aperture, wide-field optical camera that is capable of viewing light from the near ultraviolet to near infrared wavelengths. It's 3 metre long, 1.65 metre high, weighs 2800 kg, and has a pixel count of 3200 megapixel -- several times better, more precise than even the best smartphone cameras out there.

When the LSST begins operations in 2020, in the mountains of Chile, it will be tasked with scanning regions of the sky over and over for the next 10 years. It’s expected to capture each patch of sky a thousand times, over the course of 3,000 nights. “We’re really going to be making a movie of the universe,” O’Connor said.

The camera assembly of the LSST compared with a human

With that data, astronomers hope to better understand dark energy by looking at how it interacts with objects in the universe. Studying how these far-flung galaxies are shooting away from us could bring new discoveries in the field of astrophysics that we’ve never even thought

Don't Miss 587 SHARES 6.7 K SHARES 5.2 K SHARES 2.3 K SHARES 1.8 K SHARES 1.6 K SHARES 869 SHARES 143 SHARES 103 SHARES"
"Why People, Who Swear, Stay Up Late And Tend To Be Messy Are Deemed More Intelligent","If you’ve always been called out for living out of a messy room, have a dirty tongue and tend to stay up longer than most people you know, you might be better off than your parents or well wishers ever thought. You may actually be smarter than them!

magazinaisle.com

We don’t just want to make you feel better for your seemingly ‘destructive’ qualities (or so you’ve told most of your life), but because science indicates that all these qualities are a sign of higher IQ levels.

Swearing is a sign of rhetorical ability

blog.4psa.com

People often think that swearing indicates a weakness in your vocabulary. The logical assumption being that if you swear a lot you probably don’t know how to construct your thoughts using a whole lot more words. But a study published in Science Direct that those who use the maximum number of swear words within a minute scored higher on an IQ test. The test was indicative of the fact that a rich vocabulary of swear words equated strong rhetoric ability and not a compensation for a lack of vocabulary.

If you have a messy setting, chances are you are more creative

botasot.info

So you’ve been accused of leaving a messy desk/room behind all your life? Well, the chance that you're more creative and a genius in comparison to your prim and proper counterparts is much higher. A study conducted by the University of Minnesota concluded that if you’re not spending too much time cleaning and organising your settings your mind is obviously preoccupied with thoughts that are more important. The researchers claimed that it led to better creative output.

Being a night owl has long been linked with intelligence

magazinaisle.com

If you prefer staying up late chances are you fit within the intellectually brighter lot of people that history has witnessed. Research such as this one in Psychology Today reveals that night owls are linked to higher IQ levels as compared to morning larks. People like J.R.R. Tolkien, Pharrell Williams, Mark Zuckerberg, Charles Darwin and President Obama were nocturnal beings.

news.xopom.com

So if you find yourself laughing at silly things, live in a messy surrounding and swear like there’s no tomorrow, you’re probably smart enough to realise that there are more important things in channel your thoughts and energies on!"
Pet Owners In China Pin Their Hopes On Acupuncture For Their Pets' Treatment,"Pet owners in China are turning to acupuncture to help soothe the aches and pain of their beloved cats and dogs. Traditional Chinese practitioners believe acupuncture which involves inserting long fine needles at specific places known as meridians of the body can stimulate blood circulation to promote healing and relieve aches and pain.

The Chinese pet owners are now spending a good amount of money to get their ailing pets treated with the help of acupuncture.

Here are pictures of some of the pets getting various sort of acupuncture treatment.

1. A dog and a cat receive treatment at Shanghai TCM (Traditional Chinese Medicine).

Reuters

Neurology and Acupuncture Animal Health Center, which specialises in acupuncture and moxibustion treatment for animals, in Shanghai, China.

2. A cat owner her meow during treatment

Reuters

3. Traditional practitioners believe acupuncture which involves inserting long fine needles at specific places known as meridians of the body.

Reuters

4. On its website, the International Veterinary Acupuncture Society said acupuncture has been used in veterinary practice in China ""for thousands of years to treat many ailments"".

Reuters

5. Jin Rishan, a specialist at the Shanghai TCM Neurology and Acupuncture Animal Health Center, claims have treated more than 2,000 cats and dogs

Reuters

6. It's quite costly, single session of 45 minutes treatment costs 260 yuan ($39)

Reuters

7. A wheelchair bound dog, doctors say 80 percent of their patients have shown some improvement after treatment.

Reuters

8. Acupuncture needles at specific places stimulate blood circulation.

Reuters

9. A dog sitting inside a glass kennel.

Reuters

10. A pet cat receives treatment.

Reuters

11. Acupuncture needles do the needful.

Reuters

12. An after treatment ride

Reuters

13. Nowhere to go, ahh?

Reuters

14. Pet owners in China are turning to acupuncture to help soothe the aches and pains of their beloved cats and dogs.

Reuters

With Inputs Reuters"
"In Case You Missed It, Here Are Some Of The Most Dramatic Pictures From The Solar Eclipse","The magnificent eclipse from yesterday has, for sure, left the entire world in awe. As the moon's shadow slowly took over areas that fall around Oregon and South Carolina, everyone began basking in the glorious eclipse, touted to be one of the harshest.

For over an hour and a half, everyone took a break from whatever they were doing and took it to the streets with their gears on. Millions got outside to watch this eclipse and even a million more witness it online, making it one of the most-watched in history.

nasa

The eclipse was partially visible across all 50 states, but it was the clearest from a 70-mile-wide sliver of 14 states. This eclipse was a totality, a rare event that hasn't happened since 1979 and a coast-to-coast eclipse for almost over a century.

Natural phenomenon appreciation hour on the South Lawn. pic.twitter.com/aeXgCuqZUz — Ted Mann (@TMannWSJ) August 21, 2017

So just in case, you missed it, here are some of the most dramatic images from this spectacular event.

1.

Here are just a few of the amazing images from #Eclipse2017 via @nasahqphoto. See what the public shared with us! https://t.co/jUglqZOaQP pic.twitter.com/xal2Ry5a7Z — NASA Goddard Images (@NASAGoddardPix) August 21, 2017

2.

In the middle of totality. I could see the solar flares with my naked eye. Amazing detail for a handheld shot. #NatGeoEclipse #eclipse2017 pic.twitter.com/mMPzgkakYu — Terry Virts (@AstroTerry) August 22, 2017

3.

Millions of people saw #Eclipse2017 but only six people saw the umbra, or the moon's shadow, over the United States from space today. pic.twitter.com/hMgMC5MgRh — Intl. Space Station (@Space_Station) August 21, 2017

4.

Don't Miss 143 SHARES 95.9 K SHARES 9 K SHARES 28.4 K SHARES 6.9 K SHARES 11.7 K SHARES 23.2 K SHARES 11.2 K SHARES 10.4 K SHARES

5.

A total Eclipse of the sun in Oregon. Photo created by photographer @JasmanMander.

I can't get over this 😍#Eclipse2017 pic.twitter.com/IvxWyqE8vc — Emily Thomas (@emitoms) August 22, 2017

6.

NASA

7.

NASA

8.

NASA

9.

NASA

10.

Thanks to Neal Henshaw, who is a #VirginiaTech Library staff member, we get these awesome #Eclipse2017 photos. #Hokieclipse pic.twitter.com/jvSsTU6qBc — Virginia Tech (@virginia_tech) August 22, 2017

11.

12.

WOW! Kirsten Jorgensen in Lewiston, ID was about to pack up & go inside then saw the plane. She ran to the camera & click!#Eclipse2017 pic.twitter.com/6RxcXURrl3 — Mike Seidel (@mikeseidel) August 22, 2017

13.

Best picture of the #Eclipse2017 that I have seen! pic.twitter.com/8xyoaTWHES — Lexie Miller (@TheRealLexieM) August 22, 2017

And well, here's Donald Trump for you! He literally did look in the sky, without any glasses on and twitter is having a ball trolling him.

As he did this, someone in a crowd of aides below shouted ""Don't look."" pic.twitter.com/dtfSLEzcAZ — Ted Mann (@TMannWSJ) August 21, 2017

Weeks ago, NASA issued a safety guide for everyone who's looking forward to the eclipse. They even specifically urged people not to look at with naked eyes, as it could leave you with a serious problem.

There's literally one rule with the eclipse- don't look at it with naked eyes, and well, Trump!"
108-kg Actress Refuses To Gain More Weight For TV Show,"Actress Anjali Anand, who currently weighs 108 kg, has refused to put on more weight for her role of an oversized girl in the upcoming TV show ""Dhhai Kilo Prem"".

Anjali, who is making her acting debut with the show, was asked by makers to put on more weight. However, she refused to do so.

""I have lived a very active life all this while. Being someone who loves to trek and cycle to maintain a steady weight, gaining too much weight is a big no-no. I am at 108 kg for the role and any more change might get difficult to reverse,"" Anjali said in a statement.

""Dhhai Kilo Prem"", which will be aired on Star Plus starting from April 3, is an unusual story of two imperfect individuals -- Deepika and Piyush (Meherzan Mazda).

Not only Anjali, even Meherzan has gained 16 kg weight for his role.

--IANS"
"Vegetarians Not Vegetarian Anymore? Turns Out, Plants Knew All Along They Were Being Eaten","Well, we all know that vegetarians take a lot of pride in the food they eat. They leave no stone unturned when it comes to giving a shit for eating meat as if it's a crime and as if the animals knows they are being eaten.

Well hey vegetarians, in your face because plants know it too.

Leaf&wood

A new research shows that plants know when they're being eaten and they don't like it when you do that. According to o Modern Farmer, a new study conducted by researchers at the University of Missouri claims that all the plants possess some sort of intelligence and know it when you're approaching them to put them in your mouth.

They even send out defence mechanisms to try to stop you from doing that. The study was carried out on thale cress, which is closely related to broccoli, kale, mustard greens, and other members of the family. They are commonly used for experiments because they have genome sequenced, and scientists are intimately familiar with how it works.

vegetables

Researchers took audio recordings to understand vibrations a plant does when it's being eaten. They studied these vibration patterns, that released another shake like wind noise.

Modern Farmer claims ""the thale cress produces mustard oils that are mildly toxic when eaten and sends them throughout its leaves to try to keep the predators away.""

""Previous research has investigated how plants respond to acoustic energy, including music,"" said Heidi Appel, senior research scientist in the Division of Plant Sciences in the College of Agriculture, Food and Natural Resources and the Bond Life Sciences Center at MU.

livestrong

""However, our work is the first example of how plants respond to an ecologically relevant vibration. We found that feeding vibrations signal changes in the plant cells' metabolism, creating more defensive chemicals that can repel attacks from caterpillars,"" he added.

Don't Miss 283 SHARES 95.4 K SHARES 8.5 K SHARES 16.5 K SHARES 28.4 K SHARES 6.4 K SHARES 11.7 K SHARES 23.2 K SHARES 10.3 K SHARES

Well, the next time your vegetarian friends pull you in a food-debate, show them this!"
Worship Is Work,"Does God favour those who attend to their work in factories and offices, or those who sit for long in puja, wonder UMA RAM and K S RAM



Afavourite home-assignment for pupils in schools till some decades ago was to write an essay on ‘Work is Worship’. The teacher made the task easy by describing the contours of the essay:True worship lies in doing work.We should work hard.We should not waste time in idle (idol?) worship.She almost suggested that God favours those who bend their backs and attend to their work in the factories and offices,rather than those who sit for long in puja. Few of us (including the teachers who set the assignment) ever suspected the politics that went into this seemingly simple exercise. Few of us could have suspected that it was part of the Macaulian manipulation of education in India that aimed to produce an army of ever-ready servants for the government. In a land known for sedentary ways of life revolving around stretched pujas and innumerable special days for festive duty and special service, such spiritual re-engineering was necessary for developing human resources to uphold the Raj. There is probably nothing in our scriptures or in the scriptures of any major religion anywhere to support the idea that work is worship. In fact, there is good evidence to suggest the opposite: that worship is work in the real sense.Krishna describes this in his discourse on action and inaction.



‘He who sees action in inaction and inaction in action truly sees, he tells Arjuna. Sarva’rambha parityaga, renouncement of all initiatives is declared a virtue in one who is coursing ahead on the spiritual highway. Let life unfold itself and do with disinterested diligence the tasks that such unfolding presents for you. Religion began as magic.It,in fact, continues to be so. An incense stick waved around a symbol of godhead is essentially an act of waving the magic wand for a good day ahead.The day unfolds the will of God. Work presents itself and it is perfectly in order to perform it to the best of one’s ability as service in the will of God.To initiate work, or to avoid the task that has presented itself before you would mean meddling with God’s action plan. He knows, we don’t.To surrender to his action plan is true work. Work, as we understand it, is the elaborate, tedious striving to secure livelihood. Our ancients realised that there can be another way of securing it. This is through symbolic action, a kind of magic, better understood as worship. The Karma Kanda in the Vedas is essentially a manual of magic to help achieve life’s purposes. Creation itself is magic. In the Book of Genesis, God sees darkness and says, let it be day, and it was day. To say is to do.Worship is a mild simulation of such magic.Worship is not counter to work.Worship is work.To learn this is to learn the art of living. The real challenge, though, lies in understanding worship.Worship can be self-defeating if it is fruit-centric. One can be damned by getting one’s prayers answered. Rabindranath Tagore thanks God for the blessing of frustrating his prayers time and again. True worship lies in joyous surrender to the will of God.



Again, it is important to know as to who is the object of worship. Hinduism is often criticised for entertaining numberless demigods. What is missed is that there exists a great unity among this seeming diversity. All services reach the One God. But the results are according to the intermediate demigod to whom the service was directed. The message is clear:focus on the Ultimate One God, even as you worship and propitiate a demigod. Worship need not always be physical. Ideal worship is mental, whether accompanied by physical acts or not. And, a subtle instruction is that worship is not for one’s own pleasure but for the pleasure of God.And it is an incessant engagement, not a fixed hour ritual.The comfort God promises to such an unwavering devotee — nitya’bhiyukta — is: ‘Securing your mundane well-being is my concern — yoga’kshemam vahamyaham.’



¦ Post your comments at speakingtree.in

"
National & Political News,"Never miss a great news story!

Get instant notifications from Economic Times

AllowNot now

You can switch off notifications anytime using browser settings."
