Title,Article
"The Tribune, Chandigarh, India","As Devendra Jhajharia gets set to be the first Paralympian to receive the Khel Ratna Award, he becomes a ray of hope for many

12 Aug 2017 | 1:56 AM

Devendra Jhajharia’s phone hasn’t stopped ringing ever since his name was recommended for the Rajiv Gandhi Khel Ratna Award. While there is a deluge of congratulatory messages on his Twitter and Facebook accounts, his native home in Rajasthan is being frequented by politicians and bureaucrats.

[ + read story ]

Sabi Hussain

Devendra Jhajharia’s phone hasn’t stopped ringing ever since his name was recommended for the Rajiv Gandhi Khel Ratna Award. While there is a deluge of congratulatory messages on his Twitter and Facebook accounts, his native home in Rajasthan is being frequented by politicians and bureaucrats.

The award has suddenly brought the focus on this two-time Paralympics gold medalist. “It’s been a surreal few days,” said an elated Jhajharia over the phone from his village Jhajharian ki Dhani in Churu district.

“It’s like a dream come true. I waited 12 years for this honour, since winning the gold at 2004 Athens Paralympics. The award has given a ray of hope to other para athletes in the country,” said the javelin thrower and Rio Paralympics gold medalist.

August 29 would, indeed be, a watershed moment in para-athletics, as Jhajharia will become the first Paralympian to receive the Khel Ratna Award at the Rashtrapati Bhavan.

Each day a new fight

For para-athletes, such moments of joy during their professional career are far and few between. Instead, they have an everyday fight on their hand for recognition, equality and, more importantly, against bureaucratic red-tapism.

Last month, para-swimmer Kanchanmala Pande was forced to beg in Berlin, Germany, after she apparently ran out of money to meet her expenses while competing in a week-long tournament.

Recently, a 62-member Indian contingent of hearing-impaired athletes, returning after its best-ever performance at the Deaf Olympic Games in Turkey, protested when no official from the Sports Ministry or the Sports Authority of India came to receive them at the Delhi International Airport. “Time and again, we have been failed by the system,” said Haryana’s Paralympian and Arjuna awardee discus thrower Amit Saroha.

Spurred by taunts

Recalling his struggle, Saroha said the fight was not about coming out of the hospital following a horrific car accident in 2007 but being able to find acceptance in the society.

“I wanted encouragement, not sympathy. I wanted the Tri-colour wrapped around my body, not a consoling hand on my shoulder,” said Saroha, a gold medallist at the 2014 Incheon Asian Para Games and a silver medalist at 2015 and 2017 editions of the World Championships.

“My lower body had become paralysed after the accident. I didn’t want to sit idle at home. Since I had been a National-level hockey player until 2003, I decided to participate in throw ball and discus throw events. But, the Paralympic Committee of Haryana (PCH) refused to accept my candidature,” said Saroha.

“The accident had left me quadriplegic (with paralysis of all four limbs). The PCH officials were convinced that my upper body wouldn’t be able to generate the strength required to throw the discus. I had to run from pillar-to-post for my selection in the Indian team. It was only when I won my first international medal (a silver in discus throw) at the 2010 Guangzhou Asian Para Games that the attitude of people changed,” added the 32-year-old from Sonepat.

Jhajharia had his own poignant tale to share.

“Since childhood, I was considered physically weak. My classmates would make fun of my thin frame. To become physically stronger, I started participating in sports. But things took a turn for the worse. At eight, while climbing a tree, I was electrocuted after accidently touching a live wire. This led to the amputation of my left arm. I would be taunted with comments like “tundla ho gaya hai” (his hand has become disabled). It was a nightmare.”

“In 1995, I participated in a district-level championship for students. All other participants were able-bodied. I became district champion after winning the tournament. That was the turning point of my life. Later, when I won gold medal at the Far East and South Pacific Games for the Disabled (FESPIC) in 2002 and at the Athens Paralympic Games in 2004, I shut the mouth of all those who had told my parents that I wouldn’t be able to do anything in my life,” added the 36-year-old.

What keeps them going

“Simple, to see the Tricolour rise and hear the National Anthem during the medal ceremony. People who have never experienced it won’t understand. You can’t describe the feeling of pride in words,” said high-jumper Sharad Kumar, who won a silver medal at the recent World Para-athletics in London.

“It’s also our way of living with dignity. We para-athletes feel ignored and discriminated. But, we have found solace in sports. I only have problem with my leg but the able-bodied have problem with their mind and heart. They are more disabled than us,” added the 2014 Incheon Para Asian Games gold medalist, who suffered paralysis of his left leg after being administered wrong medicine for polio at the age of two.

Tragedy struck Sundar Singh Gurjar when he lost his left hand in a car accident in 2015. He created history by becoming the first Indian to win gold in men’s javelin throw event at the Worlds recently.

“I had been competing as a javelin thrower till that fateful evening. But, before anybody could point a finger at me, I made sure to continue pursuing my sports career. I didn’t want people to make fun of my disability.”

The gold at the Worlds was a redemption for Gurjar, who missed an announcement call for his name at the Rio Paralympics as he failed to understand the accent of the announcer. He reached the arena a minute late to find that he’d been disqualified.

“This shows the indifferent attitude of the Paralympics Committee of India (PCI). What exactly was the official attached to our contingent doing when my name was called? The PCI official should have ensured my participation. I was left to fend for myself,” Gurjar said.

Giving back to the game

In spite of the hardships faced by them, these shining lights of para-athletics are a role model for other differently abled athletes. Saroha spends his entire salary of Rs 40,000 per month — which he earns as a coach at the SAI’s Sonepat centre — on providing training and arranging for exposure trips abroad of some of his protégés like Dharambir Nain, Amit Balwan, Sunil, Rampal Chahar, Rinku Hooda and Ekta, among others. At present, Saroha is funding 17 para-athletes.

“If I’ll help others, only then God will help me,” said Saroha.

“Whatever cash award I receive from the Haryana government, I spend the amount on funding my trainees. I don’t want other para-athletes to go through the same struggle I was subjected to.”

Both Jhajharia and Deepa Malik, Rio Paralympics silver medallists from Haryana, have written to their respective state governments to provide them land to open a sports academy for para-athletes in Jaipur and Gurugram, respectively."
SC seeks Centre’s reply on compensating 10-year-old rape victim,"Satya Prakash

Tribune News Service

New Delhi, August 18

A day after a 10-year-old rape survivor from Chandigarh delivered a baby, the Supreme Court issued notices to the Centre and the Chandigarh Administration on a petition seeking a compensation of Rs 10 lakh for her.

The notices were issued on a plea by senior counsel Indira Jaising, who was appointed as amicus curiae by the top court on March 27, 2015, and asked her to file a brief detailing the position of law and suggestions on the issue of non-payment of victim compensation in a timely manner.

“A 10-year-old mother cannot look after the child. Nothing has been paid to her so far,” Jaising told a Bench headed by Justice Madan B Lokur, which also asked National Legal Services Authority and the Chandigarh District Legal Services Authority to respond to her plea.

As she said the authorities insisted that compensation would be given only after filing of a chargesheet in the case, the Bench said: “That is no answer ... What they say is absurd.”

Jaising pointed out that another Bench headed by Justice Dipak Misra on Thursday ordered the Bihar Government to pay a compensation of Rs 10 lakh to a 35-year-old HIV+ve rape survivor whose unwanted pregnancy could not be terminated due to inordinate delay in the decision making process.

“It is just and necessary that the victim girl is rehabilitated with change of identity, her education be completed, and she is rehabilitated and be integrated with the society for which adequate compensation is required to achieve this aim,” read the plea filed by Jaising.

She said the compensation given to the rape victim should be for all means including, but not restricted to, her education, post therapeutic care, vocation and rehabilitation.

“It is therefore necessary that the girl child be provided with an amount of Rs 10 lakh, of which Rs 3 lakh may be directed to be deposited forthwith; whereas the balance amount of Rs 7 lakh may be deposited in an interest-bearing fixed deposit amount that may be utilised for the welfare of the minor girl,” it further read.

“Although in rape cases, the Union Territory of Chandigarh provides for a compensatory amount of Rs 3 lakh towards the medical expenses, therapeutic care, rehabilitation and post-surgical treatment, in the instant case, a paltry amount of Rs. 10,000 has been given to the family of the minor rape survivor,” read the plea.

In her plea, Jaising said the minor’s parents wanted to give the child away in adoption “so that they do not live with the trauma of rape of their ten-year-old daughter”.

She demanded a fast track trial under POCSO on a priority basis and a competent support person for her during the trial.

Jaising also requested the court to ensure that identity of the child and her parents was protected from all publication and that there was no media reporting of the trial.

The top court had on July 28 dismissed the plea for permission for terminating the 32-week-old pregnancy of the 10-year-old rape survivor, after a medical board of doctors from the Postgraduate Institute of Medical Education and Research, Chandigarh, opined against it. The minor had become pregnant after being allegedly raped by her uncle.

Under the Medical Termination of Pregnancy Act, a woman is not permitted to abort her foetus after the pregnancy crosses 20 weeks, unless the mother’s life is at risk. It’s for this reason that often pregnant women move the top court for permission to terminate pregnancy that has crossed 20 weeks."
Veteran actor Dharmendra debuts on social media website Twitter,"Mumbai, August 18

Veteran actor Dharmendra has made his debut on social media website Twitter and his actor son Sunny Deol has welcomed him. Dharmendra, 81, on Thursday made his debut on Twitter, with two photographs of himself from the sets of his upcoming film ‘Yamla Pagla Deewana Phir Se’. “Your love has encouraged me to come more close to you...So, here is me from the sets of ‘Yamla Pagla Deewana Phir Se’...New Beginnings, shoot mode, Hyderabad,” he tweeted. The ‘Sholay’ actor has 3,273 followers, among them sons Sunny and Bobby and grandson Karan Deol, who is soon going to make his debut in Bollywood with ‘Pal Pal Dil Ke Paas’. Sunny on Thursday tweeted that he and his brother Bobby “succeeded” in getting their father on the micro-blogging website. “Me and Bob eventually succeeded in getting dad here...Welcome Dad,” Sunny tweeted. The third part of ‘Yamla Pagla Deewana’ is being shot in Hyderabad and also features Bobby and Sunny. The part first part of ‘Yamla Pagla Deewana’ released in 2011 and was directed by Samir Karnik. IANS"
"Dry spell persists, farmers worried","State receives 15% less rainfall compared with last year

Varinder Singh

Tribune News Service

Bathinda/Ferozepur, Aug 17

The prolonged dry spell in the state is a cause for concern for farmers. And there seems to be no respite in sight, for the forecast indicates “increased rain deficiency” till August-end. Experts say rain deficiency is not only going to increase the cost of production, but will also put pressure on the already over-stressed water table. “There can be occasional thunderstorms coupled with slight rainfall, but there seems no possibility of incessant rainfall in the near future,” Surinder Pal Singh, Director, Indian Meteorological Department (IMD), Chandigarh, told The Tribune. The state has witnessed a rainfall deficiency 15 per cent between June 1 and August 17. Against the average expected rainfall of 336.2 mm during this period, the state has received 284.8 mm this season — a shortfall of 15.2 per cent compared with the corresponding period last year. Farm experts say that humid weather minus rains is likely to increase pest attacks on paddy. “In Jalandhar and other parts of Doaba, paddy has already been damaged,” an expert says and adds “the impact of the whitefly attack could have been less severe if the Malwa region had received adequate rainfall. The pest larvae get washed away by rains, but it hasn’t happened this time because of lack of showers”. Dr Lakhbir Kaur Dhaliwal, a professor of agricultural meteorology at Punjab Agricultural University (PAU), Ludhiana, says: “The prevailing weather conditions can wreak havoc with the farm economy if it doesn’t rain in the coming week.” Dr BS Sidhu, Commissioner (Agriculture), says that at the surface, there seems to be no problem as farmers are getting eight hours of free power supply every day for irrigating their paddy fields. But he adds, “The lack of rains is forcing farmers to concentrate only on watering the paddy during eight hours of power supply. They hardly pay attention to the irrigation of other crops such as cotton.” As for basmati and vegetable growers of Ferozepur and Fazilka districts, they have incurred a loss of loss of up to 20 per cent. Basmati has been damaged fully or partially in Kammikhera, Sainian, Muthianwali and Kabool Shah villages of Fazilka district, while vegetables such as bitter gourd and green chillis have been damaged by virus and pests. “My bitter gourd was devastated by virus and pests, which thrive during high temperature and humid conditions,” said Ravi Kant, a progressive farmer from Fazilka’s Nihalkhera village."
Indian-American among scientists to identify new potential breast cancer drug,"Houston, August 18

Scientists, including an Indian-American researcher, have identified a molecule that can help treat breast cancer, giving hope to patients who have become resistant to traditional therapies.

The first-in-class molecule shuts down oestrogen- sensitive breast cancer in a new way, researchers said.

First-in-class drugs are those that work by a unique mechanism - in this case a molecule that targets a protein on the oestrogen receptor of tumour cells.

The potential drug offers hope for patients whose breast cancer has become resistant to traditional therapies.

""This is a fundamentally different, new class of agents for oestrogen-receptor-positive breast cancer,"" said Ganesh Raj, professor at the University of Texas Southwestern (UT Southwestern) Simmons Cancer Center.

""Its unique mechanism of action overcomes the limitations of current therapies,"" Raj said.

All breast cancers are tested to determine if they require oestrogen to grow and about 80 per cent are found to be oestrogen-sensitive, researchers said.

These cancers can often be effectively treated with hormone therapy, such as tamoxifen, but as many as a third of these cancers eventually become resistant, they said.

The new compound is a potential highly effective, next- line treatment for these patients, said Raj.

Traditional hormonal drugs, such as tamoxifen, work by attaching to a molecule called the oestrogen receptor in cancer cells, preventing oestrogen from binding to the receptor, a necessary step for cancer cells to multiply.

However, the oestrogen receptor can mutate and change its shape over time so that the treatment drug no longer fits neatly with the receptor. When this happens, the cancer cells start multiplying again.

""There has been intense interest in developing drugs that block the ability of the oestrogen receptor - the prime target in most breast cancers - from interacting with the co- regulator proteins that cause a tumour's growth,"" said David Mangelsdorf, professor at UT Southwestern.

Blocking such ""protein-protein interactions"" has been a dream of cancer researchers for decades.

The drug works by blocking other molecules - proteins called co-factors - that also must attach to the oestrogen receptor for cancer cells to multiply.

The new molecule, dubbed ERX-11, mimics a peptide, or protein building block.

So far, it has been tested in mice and in cancer cells removed from patients and works well in both models, and there have been no signs of toxicity in the tests.

If successfully translated to a human therapy, another advantage of ERX-11 is that it could be taken orally by patients, rather than as an infusion.

The researchers are hoping to get a clinical trial under way in about a year. The notion of blocking protein co-factors has implications for treatment of other cancers as well. —PTI"
"The Tribune: Health, fitness, medicine","18 Aug 2017 | 2:40 PM

LONDON: Scientists have created sperm cells from small pieces of ear tissue to help genetically infertile male mice produce healthy offspring, an advance that may pave the way for novel therapies to treat human infertility.

[ + read story ]

London

Scientists have created sperm cells from small pieces of ear tissue to help genetically infertile male mice produce healthy offspring, an advance that may pave the way for novel therapies to treat human infertility.

Our sex is determined by the X and Y chromosomes, researchers said. Usually, females have two X chromosomes (XX) and males have one X and one Y (XY), but about one in 500 men are born with an extra X or Y.

Having three rather than two sex chromosomes can disrupt formation of mature sperm and cause infertility.

In a study published in the journal Science, researchers at the Francis Crick Institute in the UK have found a way to remove the extra sex chromosome to produce fertile offspring.

If the findings can be safely transferred into humans, it might eventually be possible for men with Klinefelter syndrome (XXY) or Double Y syndrome (XYY) that are infertile to have children through assisted reproduction using this technique.

The team took small pieces of ear tissue from XXY and XYY mice, cultured them and collected connective tissue cells known as fibroblasts.

They turned the fibroblasts into stem cells and noticed that in the process, some of the cells lost the extra sex chromosome.

With an existing method, they used specific chemical signals to 'guide' the stem cells into becoming cells that have the potential to become sperm. These cells developed into mature sperm when injected into the testes of a host mouse.

The researchers then harvested these mature sperm and used them through assisted reproduction to create healthy, fertile offspring.

""Our approach allowed us to create offspring from sterile XXY and XYY mice,"" said Takayuki Hirota from the Francis Crick Institute.

""It would be interesting to see whether the same approach could one day be used as a fertility treatment for men with three sex chromosomes,"" said Hirota.

In a preliminary experiment, the team found that stem cells produced from fibroblasts of men with Klinefelter syndrome also lost the extra sex chromosome.

""There is currently no way to make mature sperm outside of the body. In our mouse experiments we have to inject cells that have the potential to become sperm back into the testes to help them finish developing,"" said James Turner, Group Leader at the Francis Crick Institute.

""But we found that this caused tumours in some of the mouse recipients. So reducing the risk of tumour formation or discovering a way to produce mature sperm in a test tube will have to be developed before we can even consider this in humans,"" said Turner. —PTI"
Judicial Appointment in Kashmir State,"LAHORE, SATURDAY, AUGUST 18, 1917

IT has been understood for sometime that the vacancy in the office of Judge of High Court, Jammu and Kashmir caused by the death of Rai Bahadur Sukh Dyal has been filled by the appointment to that office of Rai Bahadur Kunwar Parma Nand of the United Provinces Judicial Service. Against this appointment we must enter a strong protest on various grounds of principle. On personal grounds, indeed, the selection of Rai Bahadur, Kunwar Parma Nand is simply unexceptionable and has a great deal to commend it. The Rai Bahadur is a distinguished member of the Provincial service holding a ""listed"" post of District and Sessions Judge in which he was officiating in the 2nd grade sometime ago; and drawing a salary of Rs. 1,520 per mensem."
"Silver weakens in futures trade, down by Rs 142","New Delhi, August 18

Silver prices fell by Rs 142 to Rs 39,580 per kg in futures trade on Friday as speculators cut down their bets to book profits amid weak global cues. Silver for delivery in December was down by Rs 142 or 0.36 per cent to Rs 39,580 per kg in futures trade at the Multi Commodity Exchange. It clocked a business volume of 14 lots. The white metal for delivery in September too fell by Rs 82 to trade at Rs 39,016 per kg in a business turnover of 14 lots. Market analysts said profit-booking at prevailing levels and fresh losses in the white metal overseas mainly pulled down silver prices at futures trade here. In the international market, silver traded 0.26 per cent lower at USD 16.97 an ounce in Singapore. PTI"
Virat Kohli continues to top ICC ODI rankings for batsmen,"Dubai, August 18

India captain Virat Kohli continued to be the world’s top-ranked One-day batsman in the latest ICC ODI rankings, released here on Friday.

Having 873 points in his kitty, Kohli will have a chance to increase the 12-point lead over second-placed Australian David Warner at the upcoming five-match ODI series against Sri Lanka, starting in Dambulla on Sunday.

Other Indian batsmen in the top-15 are former skipper Mahendra Singh Dhoni (12th), Shikhar Dhawan (13th) and vice-captain Rohit Sharma (14th).

However, no Indian bowler figures in the top-10 list. Pacer Bhuvneshwar Kumar (13th) is the lone Indian in top 15.

As for the ICC ODI Team Rankings, India are currently at number three and they would have to win the upcoming series at least by a 4-1 margin to ensure that they stay at that position, ahead of England.

At 114 points, India, even if they win the series 3-2, will slip to 113 points and behind England on decimal points.

Meanwhile, Sri Lanka will by eyeing the chance to seal direct qualification for the ICC Cricket World Cup 2019 during the upcoming series.

The 1996 World Champions will have to win at least two matches to secure a place in the pinnacle 50-over competition by staving off the challenge from the West Indies.

The cut-off date for direct qualification is September 30. Sri Lanka are placed eighth with 88 points, 10 points more than the West Indies team, which has an unenviable task in its aim of being among the seven top-ranked sides apart from host England to gain direct qualification.

The bottom four sides on the ICC ODI Team Rankings will need to play a qualifying event, also featuring the top four sides from the ICC World Cricket League Championship and top two sides from the ICC World Cricket League.

The top two teams from this event will get to play in the ICC Cricket World Cup 2019.

Winning two matches will take Sri Lanka to 90 points, while the Windies will at best reach 88 points even if it wins its one-off ODI against Ireland on September 13 as well as all five matches of its series in England from September 19-29.

However, a 4-1 win for India will see Sri Lanka finish at 88 points and the Caribbean side could edge it on decimal points if they win all their upcoming six matches.

The West Indies side will go out of contention if it loses to Ireland as from there it will at best reach 86 points and remain behind Sri Lanka on decimal points, even if Sri Lanka lose 0-5 to India. — PTI"
The Tribune: Sport news,"DUBAI: India captain Virat Kohli continued to be the world’s top-ranked One-day batsman in the latest ICC ODI rankings, released here on Friday.

Dubai, August 18

India captain Virat Kohli continued to be the world’s top-ranked One-day batsman in the latest ICC ODI rankings, released here on Friday.

Having 873 points in his kitty, Kohli will have a chance to increase the 12-point lead over second-placed Australian David Warner at the upcoming five-match ODI series against Sri Lanka, starting in Dambulla on Sunday.

Other Indian batsmen in the top-15 are former skipper Mahendra Singh Dhoni (12th), Shikhar Dhawan (13th) and vice-captain Rohit Sharma (14th).

However, no Indian bowler figures in the top-10 list. Pacer Bhuvneshwar Kumar (13th) is the lone Indian in top 15.

As for the ICC ODI Team Rankings, India are currently at number three and they would have to win the upcoming series at least by a 4-1 margin to ensure that they stay at that position, ahead of England.

At 114 points, India, even if they win the series 3-2, will slip to 113 points and behind England on decimal points.

Meanwhile, Sri Lanka will by eyeing the chance to seal direct qualification for the ICC Cricket World Cup 2019 during the upcoming series.

The 1996 World Champions will have to win at least two matches to secure a place in the pinnacle 50-over competition by staving off the challenge from the West Indies.

The cut-off date for direct qualification is September 30. Sri Lanka are placed eighth with 88 points, 10 points more than the West Indies team, which has an unenviable task in its aim of being among the seven top-ranked sides apart from host England to gain direct qualification.

The bottom four sides on the ICC ODI Team Rankings will need to play a qualifying event, also featuring the top four sides from the ICC World Cricket League Championship and top two sides from the ICC World Cricket League.

The top two teams from this event will get to play in the ICC Cricket World Cup 2019.

Winning two matches will take Sri Lanka to 90 points, while the Windies will at best reach 88 points even if it wins its one-off ODI against Ireland on September 13 as well as all five matches of its series in England from September 19-29.

However, a 4-1 win for India will see Sri Lanka finish at 88 points and the Caribbean side could edge it on decimal points if they win all their upcoming six matches.

The West Indies side will go out of contention if it loses to Ireland as from there it will at best reach 86 points and remain behind Sri Lanka on decimal points, even if Sri Lanka lose 0-5 to India. — PTI"
