Title,Article
Resources News,"Full text of the joint statement between PM Narendra Modi and US President Donald Trump at the White House

A joint statement by U.S President Donald Trump and Prime Minister Narendra Modi on Monday after their first meeting made terrorism the cornerstone of mutual cooperation between the countries. The statement went beyond the usual American position while pulling up Pakistan and echoed Indian concerns regarding the Chinese-led Belt and Road initiative.Here is the full text of the statement:PRESIDENT TRUMP: Thank you very much. Prime Minister Modi, thank you for being here with us today. It’s a"
"Mangalore - Latest News, Politics, Events, Entertainment",
"Delhi - Latest News, Politics, Events, Entertainment","Table for Two Why Gandhi Still Matters: Rajmohan Gandhi tells over an austere meal

Over an austere meal, Rajmohan Gandhi tells us how the man with capacious stomach made fast a potent tool against the British Empire"
"Trichy - Latest News, Politics, Events, Entertainment",
"Coimbatore - Latest News, Politics, Events, Entertainment",
"Vijayawada - Latest News, Politics, Events, Entertainment","Balakrishna’s ‘Gautamiputra Satakarni’ opens with fanfare, full capacity crowd

The ‘Legend’ arrives is a passé, it is time for ‘Gautamiputra Satakarni’ riding into the hearts of Telugu film fans. The grand opening of Balakrishna’s centenary film will perhaps change how his fans will refer to him now — A Legend turns Satakarni.Crowded theatres and serpentine queues waiting for the next show revealed the entry of an iconic film into Telugu film’s history, and so did the reactions of viewers walking out of single screens and multiplexes alike across the world. Fans wearing"
"Telangana - Latest news, Live Updates, Politics, Events","Back to school with shoes

The Akshaya Patra Foundation, that serves mid-day meals to an estimated one lakh hungry children in over 800 government schools every day, kicked off a programme on Wednesday to provide shoes for their scarred soles.The drive was inaugurated by Irrigation Minister T. Harish Rao at the Zilla Parishad High School in Sangareddy titled ‘Back to School - With Shoes’, with Akshaya Patra State president Satya Gaurachandra Dasa.The Minister appreciated the foundation’s work and assured of State"
"India Latest News, Live Updates, Politics, Governance, Law","Despite party whip, legislators can exercise their choice, says an EC official"
வீடியோ News,
"Thiruvananthapuram - Latest News, Politics, Events, Entertainment","I am...Haneefa

Occupation: Fruit juice vendorThere was a time when Vallakadavu used to be the centre of trade in Thiruvananthapuram. This is where I was born and brought up. In those days, the water in the canal was so clean and free of weeds. As a kid, I used to dive into the water from the top of the bridge. The only formal education I have had is the four years I studied in Enchakkal government school before starting to work in that restaurant opposite the road. It belongs to one of my relatives. I don’t"
"Karnataka - Latest news, Live Updates, Politics, Events","Dhruva Sharma, 35-year-old Kannada film actor and player of the Celebrity Cricket League, died under mysterious circumstances at a private hospital on

An adaptation of Maya, a 2015 Tamil horror film, Aake, with the tagline‘Death is never the end, it is just the beginning’ is certainly better than the"
International News,Thank you for subscribing to our newsletter. Click on the link sent to your email to complete the subscription process.
"Bengaluru - Latest News, Politics, Events, Entertainment","Premier Badminton League ‘It is only a question of how quickly we understand each other’

Ashwini Ponnappa and N. Sikki Reddy, who will play for Bengaluru Blasters, look to the ongoing Premier Badminton League (though they feature only in the mixed doubles event as there is no women’s doubles) as a huge learning curve.Their first target will be to break into the elite group in women’s doubles after finishing runner-up in the recent Welsh International Challenge and picking up a bronze at the Irish Grand Prix.Ashwini says they will take it match by match as they chart their course in"
"Kerala - Latest news, Live Updates, Politics, Events","Director-actor Sidharth Bharathan returns to the marquee after a gap with the curiously-titled Varnyathil Aashanka

Sanalkumar Sasidharan, one of the most successful ambassadors of independent cinema in Malayalam, on his new film ‘Unmadiyude Maranam’ and the space in which his films are born"
"Kolkata - Latest News, Politics, Events, Entertainment",
Latest news updates from major cities of India,"Pay day shocker for CISF men, cash withdrawn fraudulently

In the past one year, several Central Industrial Security Force personnel and officers in the metro unit of the city have allegedly been victims to a specific kind of fraud. Thousands of rupees have been withdrawn from their bank accounts on the day their salaries are credited or on the next day.It is not clear how many CISF men have been robbed. Those within the force claim there have been at least two dozen incidents, although it is feared the numbers may be higher.The most recent development"
"India States - Latest news, Live Updates, Politics, Events","Three attacked in Bihar on beef rumours

Three men were beaten up by a group of alleged Bajrang Dal activists on the suspicion of transporting cow meat in a truck in Bihar on Thursday.The incident happened in Ranisagar area of Shahpur in Bhojpur district on National Highway 84.The group also tried to set the vehicle on fire but police reached the spot and foiled it. Later, the group blocked the Ara-Buxar road, demanding action against the three men. Officials also reached the spot to control the situation.The police took the three into"
"Kozhikode - Latest News, Politics, Events, Entertainment",
"Puducherry - Latest News, Politics, Events, Entertainment",
"Latest Regional News, Politics, Events, Entertainment","Karnataka earns SC wrath for billing ₹15 lakh for escorting Maudany to Kerala

The Karnataka government on Thursday found itself at the receiving end from the Supreme Court for demanding about ₹15 lakh from 2008 Bengaluru serial blasts case accused, Abdul Nasir Maudany, to escort him to Kerala for his son's wedding.The court had recently granted Maudany 14 days' bail for his Kerala visit. It had ordered Maudany to bear the expenses for his police escort.However, a Bench of Justices S.A. Bobde and L. Nageswara Rao expressed shock when Maudany's lawyers, advocates Prashant"
"Kochi - Latest News, Politics, Events, Entertainment",
"Tamil Nadu - Latest news, Live Updates, Politics, Events","Tangedco keen on extending PPAs

The power utility is also looking at a reduced tariff of ₹3 per unit for 500 MW for two years"
"Chennai - Latest News, Politics, Events, Entertainment","What do you know about Campbellabad, I was asked the other day. Thinking I still knew the Political Geography I had once specialised in, “It’s a town in Pakistan,” I casually answered. Only to be told it’s a 300-year-old village in Tuticorin District. When my caller wanted to know whether what the locals had told him, that it was named after a Madras Governor, was correct, I was a little more careful. “I think Governor Campbell was some time later but let me check,” I hesitantly answered.So"
"Madurai - Latest News, Politics, Events, Entertainment",
"Hyderabad - Latest News, Politics, Events, Entertainment","Telangana drug racket: Actor Tanish Alladi to appear before SIT PTI He is among the 12 personalities, including directors and actors from the Telugu film industry to be summoned by the SIT in connection with the case.

Telugu film director Puri Jagannadh appears before SIT probing drug racket IANS The SIT has served notice to at least a dozen artists, including some leading actors and actresses, directing them to appear before it."
"Visakhapatnam - Latest News, Politics, Events, Entertainment",
"Andhra Pradesh - Latest news, Live Updates, Politics, Events",They don’t want to wake up to another death or move out of their village
"Mumbai - Latest News, Politics, Events, Entertainment","Fewer child sex slaves in Mumbai brothels, but underground trade a concern: study

The number of children trafficked for sex in the red light districts of Mumbai has dropped sharply, activists said, as they raised concerns over the trade shifting underground to private lodges and residences.A study by the non-governmental International Justice Mission (IJM), Commercial Sexual Exploitation of Children in Mumbai, mapped nearly 10,000 commercial sex workers in more than 1,000 brothels, and about 200 sex workers operating from private establishments.In brothels, it found the"
