Title,Article
"Pune’s highest junior college cut-off 97.4pc in 2016, 2017 said to get higher","With the Secondary School Certificate (SSC) results for Class 10 declared on June 13, pre-admission anticipation among students and parents have already began. The admissions to junior colleges across Maharashtra will be decided based upon the Centralised Admission Process (CAP) under the first year junior college (FYJC) admissions. Dates for the commencement of FYJC are yet to be declared.

With the official cut-off marks for the FYJC awaited, we take a look at last year’s cut-off marks in the top colleges of Pune.

In 2016, the first common merit list had shown a two per cent increase in the cut-off marks owing to the reduction in the number of seats under the open category. According to officials from the Maharashtra State Board of Secondary and Higher Secondary Education (MSBSHSE), this was due to the introduction of in-house quotas and an overall increase in the marks of students under various quotas.

The officials added that a similar graph could be anticipated this year, as the resolution for extra marks had enabled SSC student’s marks to go up by a maximum of 100 per cent. 193 students across Maharashtra have secured 100 per cent results in Class 10.

Last year, among science colleges in the city, Pimpri Chinchwad’s City Pride School and Junior College had put up the highest cut-off of 97.4 per cent. Under the open category, their cut off mark was 487 out of 500. Laxmanrao Apte Prashala came second in the list, with their first list putting up an 87.45 per cent cut-off for aided students, and an 85.63 per cent cut-off for unaided students. In the second list, the cut-off for aided students was brought down to 86.90 per cent and unaided students needed to have a minimum of 84.72 per cent for getting an admission in the college. In total, only two lists had come out last year, filling up 260 seats, MSBSHSE officials confirmed.

Further, the PMC-run Rajiv Gandhi Academy of E-Learning had a cut-off mark of 480 on 500, while Fergusson College had a cut-off mark of 474 on 500 for their science streams.

Commerce had received the maximum number of applicants last year, leading to a total of 37,839 applicants for 22,634 seats in the city. Among the commerce colleges, the Brihan Maharashtra College of Commerce(BMCC) held the highest cut-off percentage of 94.2 per cent. Students aspiring for admissions at BMCC had to have a minimum of 471 marks on 500.

Fergusson College had the highest cut-off marks for the arts stream at 95.4 per cent. Students had to secure a minimum of 477 marks on 500 to get an admission at the college.

This year almost 17 lakh students had appeared for the SSC exams, of which 88.74 per cent students had passed."
CBSE Results 2017 See how CBSE marks have shot up over the last decade,"CBSE Results 2017 See how CBSE marks have shot up over the last decade

If you managed to get 88% in your Class 12 CBSE exam in 2015, you would have scored merely 78% a decade earlier. HT analysed Class 12 CBSE results from 2004 to 2015 and calculated how board exam scores have increased over the years. Enter the average for your top five subjects with a year to see how much you would have scored years later or earlier.

I scored % in 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 .

The central examination board that has been providing grace marks, has also seen an overall increase in the average percentage of students. While percentage of students scoring more than 80% constantly increases, things don't not change much for those below 40%.

Students are scoring more over the years Percentage of students by average marks scored in CBSE. (2004-2015) Use the slider to adjust the year. Press to play the animation. 2004 2015"
Which newly elected MLA are you most like?,"Know how many people like you made it to Vidhan Sabha across the five states this election season.

I am a year old male female person of the third gender with no education education up to 5th class education up to 8th class education up to 12th class a bachelor's degree a post graduate degree doctorate degree . I have net assets worth less than a crore 1 cr. to 50 cr. 50 cr. to 100 cr. over 100 cr. . I have been accused in no criminal cases less than 10 criminal cases more than 10 criminal cases .

Who am I most like?"
We did the math: Replacing all the old currency will likely take several months,"It’s been over a week since demonetisation, but the queues and the chaos continue. Prime Minister Narendra Modi, whose decision to scrap ₹500 and ₹1,000 rupee notes has been intensely criticised, has asked for patience.

“I have asked the country for just 50 days,” Modi said during a speech in Goa on Sunday. “Brothers and sisters, give me 50 days.”

New notes are being printed, officials say, and those notes are being distributed to banks and ATMs as fast as possible. But will that happen in 50 days? The answer is, probably not.

Printing new notes could take about six months

Here’s the math. The new rupee notes are being printed at four mints. Together, they can print about three billion notes per month.

The mints have to replace about ₹14 trillion taken out of circulation — roughly equal to the gross domestic product of Portugal. If half that value is printed in ₹500 rupee notes and the other half is printed in ₹2,000 rupee notes, the mints will have to print around 17.5 billion total notes to replace the value of the notes taken out of circulation."
"Virat Kohli praises Pakistan, says can beat anyone after ICC Champions Trophy win","Praising Pakistan for their brilliant all-round performance in the Champions Trophy final here on Sunday, Indian skipper Virat Kohli said the green brigade can upset any team on their day. (INDIA vs PAKISTAN highlights)

Kohli said Pakistani players were more intense and passionate in the final which also helped them outplay the India team in every department of the game. (IND v PAK scorecard)

Pakistan dominated with both bat and ball to thrash a rather off-colour India by 180 runs and lift the 2017 ICC Champions Trophy on Sunday.

This was the first Champions Trophy title for Pakistan. The south Asian nation claimed their third ICC tournament, having earlier won the 50-over World Cup in 1992 and the World Twenty20 in 2009.

Put in to bat, Pakistan rode on a century by opener Fakhar Zaman to post a massive total of 338/4 in the allotted 50 overs.

In reply, India were all out for 158 runs in 30.3 overs.

“It was disappointing. Congos to Pakistan. The way they turned things around, it was amazing. They can upset anyone on their day,” Kohli said after the match. “I have a smile on my face because I am very proud of the boys. Credit to Pakistan. They outplayed us. They were more intense and more passionate. With the ball, we could have had more wicket-taking opportunities. Sometimes, the opposition does play very well. Even with the ball, they were very aggressive,” he added.

Kohli also praised young all-rounder Hardik Pandya, who was the highest scorer among the Indians with 76 runs off 43 balls.

Pandya scripted the fastest half-century in a world One-Day International (ODI) final, reaching the landmark in 32 deliveries with three consecutive sixes off leg-spinner Shadab Khan.

The 28-year-old skipper partially blamed pacer Jasprit Bumrah’s no-ball which gave opener and century-maker Fakhar Zaman -- who was on three at that time -- a life which helped Pakistan post a massive total.

“Hardik played well. Small margins can be massive in cricket. We need to move on and learn from our mistakes,” Kohli said."
Apple WWDC 2017: New iOS and MacoS on the way?,"Apple has started sending out invitations to the Worldwide Developers Conference that will be held on June 5.

However, the press invites may hint at the launch of new iOS and MacOS along with new TV and WatchOS.

The keynote for the event is scheduled at 10:00 AM Pacific Time, June 5 in line with the company’s practice of holding a keynote event on the first day of the Worldwide Developers Conference, where new software is generally introduced.

Watch iPhone 8 concept video here

This year’s WWDC might actually also see the launch of new hardware in the form of new Siri-powered home speakers such as Amazon Echo, Google Home and Microsoft’s Invoke.

Apple expects to host about 5,000 developers, with hundreds of Apple engineers available to answer questions and host app development sessions. Developers who cannot attend will be able to watch the sessions through the WWDC 2017 website, and the WWDC app for iPhone, iPad, and Apple TV."
Want to live near an ocean? Check out the best coastal places of 2017,"Belize, the Bahamas and Playa del Carmen, Mexico have been named some of the best places to live along the coast.

Coastal Living magazine, a brand owned by Time Inc., published its “20 Best Places to Live 2017” list, which considers everything from the coastal lifestyle to urban and community design, expat life, ease of transition, real estate ownership, location and quality of destination.

It’s a list tailor-made for retirees looking for property along water-front, sun-soaked coastlines in North America and the Caribbean, or ocean lovers and water babies looking to live near its wildness.

Destinations are divided into different categories. For those in search of a smaller coastal town, the list includes Fernandina Beach and Sarasota in Florida. There’s also Grand Haven in Michigan, Langley in Washington and Orleans in Massachusetts.

More dynamic destinations in the “cities” category include Boston, San Diego, Santa Barbara and St. Petersburg, Florida.

For those looking for something more exotic and tropical, experts singled out Ambergris Caye in Belize, Harbour Islands in the Bahamas and Playa del Carmen, in Mexico.

For the full list visit here.

Follow @htlifeandstyle for more"
Current account deficit narrows in 2016-17: RBI,"India’s current account deficit (CAD) narrowed during last fiscal due to a contraction in the country’s trade deficit.

According to data furnished by the Reserve Bank of India (RBI), the CAD for last fiscal narrowed to 0.7 per cent of the GDP from 1.1 per cent in 2015-16 on the back of the contraction in trade deficit.

The current account is the net difference between inflows and outflows of foreign currencies.

India’s trade deficit during the fiscal under review narrowed to $112.4 billion in 2016-17 from $130.1 billion in 2015-16.

“Net invisible receipts were lower, mainly due to moderation in both software exports and net private transfer receipts, and higher outgo on account of primary income (profit, interest and dividends),” the RBI said in a statement.

However, the data showed that net FDI (Foreign Direct Investment) inflows in 2016-17 marginally declined to $35.6 billion from $36 billion reported during 2015-16."
"Time for Indian cricket team to introduce upgrades, take call on MS Dhoni","“If it ain’t broke, don’t fix it” goes the saying, but one was left wondering whether the corollary could be true after India suffered a heavy defeat at the hands of Pakistan in the ICC Champions Trophy final on Sunday.

Virat Kohli’s side was a clear favourite going into the match as India’s strengths and Pakistan’s weaknesses were analaysed threadbare. In the end, an inspired Pakistan proved too much for their neighbours.

Once the emotion of a crushing defeat in the final, that too at the hands of Pakistan, subsides, it would become clear that the time has come for India, despite not much being broken, to seek upgrades.

Top-order plans

Ahead of the semifinal against Bangladesh, something seemed to snap in Virat Kohli when a journalist asked him to assess India’s consistency in ICC tournaments. After all, the 2011 World Cup winners claimed the Champions Trophy two years later and then reached the 2015 World Cup semifinals, losing to the team that was, by far, the best in the competition.

The new breed

Finishing as a finalist in the latest ICC tournament shows India’s strengths in limited-overs cricket. In between, they also reached the World T20 semifinal in 2016, losing to the West Indies, the eventual winners.

🎥 Relive all the Indian wickets as Pakistan secure the #CT17! 🏆🇵🇰 pic.twitter.com/WSaA0mvoRm — ICC (@ICC) June 19, 2017

“I’m very happy you have said semifinal is consistency because hamare yahan agar India jeetega tho kharab tournament ho gaya (in our place if India win then it is considered a bad tournament)!” One is not sure about the touch of cynicism but it could be aimed at heavy criticism by the media and fans if the team slips up.

Kohli went to explain why he was happy with the breed of new players, and the importance of winning itself.

“In our country, the happiness of winning a game is something so special,” he said.

But with the next World Cup only two years away, India may have to give their plans a shakeup. The concerns of what will happen if the top three batsmen fall in a heap, and early, came true. Pakistan could have perhaps won only in one way, getting Rohit Sharma, Shikhar Dhawan and Virat Kohli early and cheaply. They did that, and against an inspired bowling attack, India’s innings folded with almost 20 overs left.

That means the template of a steady rather than spectacular start may have to be changed to make batting more robust going forward.

In England (2013 and 2017 Champions Trophy) and Australia (2015 World Cup), the pitches were rolled out nicely, but in this tournament, teams were also lucky not to feel the full force of the Australian bowling as rain played havoc.

Bulging middle

The other big question for India ahead of the 2019 World Cup, to be played in England, is the need to get a middle-order in place that can allow the top three to play without too much concern.

MS Dhoni, no longer an impact batsman in the end overs, will be almost 39 when the World Cup arrives. Although he is up there in terms of fitness and reflexes at the moment, the selectors can’t afford not to nurture young talent and ensure he gets enough games to be ready for the big tournament.

Yuvraj Singh too is in the mid 30s. India will need batsmen who can rally the team after early setbacks like Sunday, as well as contribute on the field. The time for rebuilding is thus upon the team.

Fresh hands in the middle-order become so vital as only Hardik Pandya among the three all-rounders – Ravichandran Ashwin and Ravindra Jadeja the others – has been delivering with bat and ball consistently."
"JEE Advanced 2017: JEE (Mains) topper fails to repeat performance, bags AIR 109","Udaipur’s Kalpit Veerwal, who topped the Joint Entrance Examination (JEE) Main 2017 in April, grabbed the All India Rank of 109 in the JEE Advanced 2017, results of which were declared on Sunday.

Veerwal, however, led the list of toppers in the scheduled caste (SC) category of JEE Advanced 2017 by scoring 303 marks out of 366 in JEE (Advanced).

A student of Kota-based Resonance Eduventures Private Limited’s branch in Udaipur, Veerwal hogged the headlines after emerging as the topper of JEE Mains. He scored 360 out of 360.

Veerwal said he was satisfied with his rank in JEE Advanced 2017.

“Scoring AIR Rank 109 in JEE Advanced 2017 among 2.20 lakh aspirants is no less an achievement and I am satisfied with my AIR Rank in JEE Advanced,” Veerwal said.

“It is very satisfying that I am the topper in the SC category of JEE Advanced 2017,” he added.

When asked about his plans, Veerwal said he has not decided about the Indian Institute of Technology he would like to join as yet. “First I will do a BTech from IIT and then would decide about future,” the 17-year-old added.

A son of a compounder, Veerwal scored 95.2% marks in the Central Board of Secondary Education’s Class 12 board exams.

When asked whether he had a different approach for JEE Advanced, Veerwal said he solved test papers, attended dedicated coaching classes, revised study material and studied around 10 to 12 hours a day.

Nearly 2 lakh candidates appeared in the JEE (Advanced) - the second of the two-phase exam held in May for over 11,000 seats available in the 23 IITs across the country. The performance of a candidate in JEE (Advanced) forms the basis for admission to the IITs and the Indian School of Mines (ISM) in Jharkhand’s Dhanbad.

Haryana’s Sarvesh Mehtani secured the AIR 1 in JEE (Advanced) 2017, the results of which were declared on Sunday."
