Title,Article
"SSC scientific assistants in MET recruitment 2017: Last date to apply extended, check other important updates","The Staff Selection Commission (SSC) on Friday extended the last date for receipt of online applications for the post of scientific assistant in India Meteorological Department from August 4 to August 14.

The commission also said candidates can now make the payment of fees through challan to the designated branches of the State Bank of India up to August 18, provided the challan has been generated by them before 5pm on August 14.

Apart from extending the date of application, the commission also brought out two important points for candidates through the latest notification.

They are:

1) Question papers: In Part II, there will be three separate papers on (i) physics, (ii) computer science and information technology, and (iii) electronics and telecommunications. Candidates will have the option to choose any one of the above three question papers in Part-II.

2) Minimum essential educational qualifications: The commission has reiterated that the qualifying degree or diploma in the listed disciplines must be of three years duration after the Class 12 examination.

The SSC issued the notification for the recruitment of scientific assistants on July 18. The commission plans to fill 1,102 (tentative vacancy) posts through and examination (computer based) that will be held from November 20 to November 27.

Note: Visit official website of SSC regularly for latest updates."
Return to Harry Potter makes JK Rowling the world’s richest author in 2017,"We hope JK Rowling has reserved a particularly large vault at Gringotts bank. A bumper year for the Harry Potter novelist has magicked her back to the No 1 spot on Forbes’ list of the world’s richest authors, almost a decade after she last topped it.

Forbes – which uses a mix of print, ebook and audio sales data, television and film earnings and expert industry opinion to come up with its list – estimates that Rowling earned $95m in the year to 31 May. This figure is the equivalent of more than $180 per minute, thanks to the sensational sales of her play script, Harry Potter and the Cursed Child. When the Harry Potter sequel was released last summer, it sold more than 680,000 print copies in the UK in the first three days alone, and became the fastest selling book since the final Harry Potter novel.

Rowling’s earnings have been boosted with the release of Fantastic Beasts and Where to Find Them, a film set in the Harry Potter world for which she wrote the script, which was published in November. Her original publisher, Bloomsbury, has also been releasing illustrated versions of the Potter novels, to mark 20 years since the publication of the first in the series, Harry Potter and the Philosopher’s Stone.

Forbes producer Hayley Cuccinello admitted she was surprised to see Rowling’s earnings increase $76m over 12 months, attributing the surge to the recent successes from the Harry Potter franchise on stage and screen. “But unless Rowling releases another bestselling book in time for next year’s list,” said Cuccinello, “her earnings will almost certainly dip dramatically and she’ll likely relinquish first place.” Rowling, who last topped Forbes’ list in 2008, comes in this year $8m ahead of second-placed James Patterson, the thriller powerhouse who has headed the list for the last three years.

Follow @htlifeandstyle for more"
India vs Sri Lanka: KL Rahul enjoys every knock like it’s his last,"Spending more than four months out of action can make you desperate; it can also make you determined. The strong resolve in KL Rahul’s batting was there to see on the first morning of the second Test against Sri Lanka on Thursday.

In great form, Rahul braved a shoulder injury to play crucial knocks in the home Test series win against Australia in March and then underwent surgery. He missed the first Test in Galle, India’s first series since the home matches, due to fever.

READ | India vs Sri Lanka: Cheteshwar Pujara, Ajinkya Rahane dominate Day 1 of 2nd Test

While his opening partner Shikhar Dhawan batted without a care in the world, going for his shots from the start, Rahul was resolute and prepared to wait for the right delivery. It helped him complete his sixth successive half-century (57), and seventh in eight innings, till an unfortunate run out.

Team contribution matters

“Not being able to play cricket was tough, but once I am back I am really happy; and even happier I could start off with a fifty and make some contribution to the team,” said Rahul, looking satisfied after making a successful comeback.

“I have been injured a few times, which is very unfortunate and which is very disappointing. But each time I have come back, I have come back more hungry. It’s (injuries) kind of taught me to value my position, value my opportunities each time I go out to the middle. I enjoy it and play it like it is my last game. That’s something that has really worked for me.”

READ | Ajinkya Rahane ends 10-month century drought with calculated ton vs Sri Lanka

For someone who had been out for long, the impressive part about Rahul’s game was how he straightaway found his rhythm, sure of his footwork and shot selection. It pointed to his strong basics. While sharing his frustration at not being able to do anything during the recovery process, Rahul spoke about how it helps analyse other batsmen’s game.

“When you are sitting out and when you are seeing your teammates doing well, you do feel very happy but you also feel disappointed that it’s not you in that position doing the job for the country. Whatever time I have spent away from the game, I have watched the guys batting. Not just our guys but I watch a lot of cricket, I see the guys and see what they are doing right and I try to bring that into my game.”

Happy to be back

Asked how significant his innings was, Rahul said he was very happy the minute he walked into the middle.

READ | Cheteshwar Pujara continues dream run with century vs Sri Lanka in Colombo Test

“It’s a big challenge, very unfortunate I had to sit out for so long. At such a young age how do you keep yourself positive, how do you keep yourself focused, and still motivated to come back as soon as you can… but the minute I walked out to the middle, I was very happy, more than anything else. Whether I did well or didn’t, it didn’t matter because I was very happy.”

The only concern for Rahul will be the inability to convert his fifty into three figures. “Disappointing that I have not been able to convert that, but that will keep me more hungry. Each time I go back to bat, I will want to get more and more runs. I’m learning from my mistakes. Each time I’ve done a silly mistake and that’s how it is.”

On the reaction to his run out -- Rahul gestured to partner Cheteshwar Pujara that ‘it was my call’ -- he said, “I wasn’t disappointed about that. I was disappointed because I have been away from the game so long and I didn’t want to get out at all.”"
"No more jet, set, go. Travelling is set to get expensive in 2018","If you’re planning a big trip in 2018 you might want to start saving up now, as the findings of a new report predict that travel prices will rise sharply across air, hotel and ground transportation next year.

The reason? A stronger global economy, higher oil prices and rising demand from emerging markets, say analysts in the 2018 Global Travel Forecast, released jointly this week by global travel management company Carlson Wagonlit Travel, and The Global Business Travel Association Foundation.

“The higher pricing is a reflection of the stronger economy and growing demand,” said Carlson Wagonlit president and CEO Kurt Ekert in a statement. “The global numbers from this forecast should be considered strong leading indicators of what 2018 will mean for global businesses, as we anticipate higher spending.”

The sector that will see the biggest global increase is hotels, with average prices forecast to rise nearly 4%. In Western Europe that figure is expected to spike 6 percent, led notably by Norway, where hotel rates will increase 14%. When it comes to flights, travellers will likewise shell out more next year, with rising crude oil prices expected to drive up the cost of global airfares by 3.5%.

When it comes to flights, travellers will likewise shell out more next year, with rising crude oil prices. (Shutterstock )

And what travellers bound for Eastern Europe save on hotel prices, they’ll likely spend on increased airfare, with prices forecast to rise 7%. Likewise, travel to Western Europe will also be about 6 percent more expensive. Airfares for North America, Asia Pacific, the Middle East and Africa will see modest rises of about 2 to 3%, while prices for travel to Latin America and the Caribbean will stay stagnant.

And while global prices for ground transportation are expected to rise slightly to one percent, that figure shoots up to nearly five percent for Canada.

Follow @htlifeandstyle for more."
How hard is it to find a good government school in your neighbourhood,"Based on the, this is what the map looks like.

Number of students enrolled in the school"
Eunice de Souza (1940-2017): No Tears in the Eye of the Storm,"Eunice de Souza (1940-2017) never had the slightest patience with the claims of a normality imposed by consensus or authority. Not one to be trapped in a ghetto, whether ethnic, academic or political, she early embraced the rapture of all that was strange and liberating. In her poem ‘Return’, she revisits the moment when she first heard the French Jesuit and translator Guy Deleury, then resident at the Christa Prema Seva Ashram, read the Marathi saint-poet Tukaram’s abhangas:

Tuka, forgive my familiarity.

I have loved your pithy verses

ever since that French priest

everyone thought mad

recited them, and told us

of his journey with your people.

…

You made life hard for your wife

and I’m not sure I approve of that.

Nor did you heed her last request:

Come back soon.

Deleury, with his lifelong devotion to Tukaram and to India’s Bhakti literature of ecstasy and protest, was an emancipatory part of de Souza’s growing up in Poona, where she was born in 1940. Demonstrating her refusal to conform to what she experienced as the stifling pieties and norms of her Goan Catholic birth community, she sought out unusual, even eccentric figures like Deleury (who later renounced his priestly calling and entered secular life) and the Santiniketan-trained Goan émigré artist Angelo da Fonseca, whose radiant Indianisation of Christian iconography had prompted orthodox opinion to cast him into exterior darkness. Such presences, and the pathways they opened up, nourished de Souza’s imagination.

At the same time, as a young poet and academic, de Souza articulated the difficulties confronted by a woman making her way in the India of the 1960s and 1970s, a postcolonial society in which feudalism and patriarchy continued to dominate public life and the accepted perception of gender destiny. As a student in the Midwest at the beginning of the 1960s, de Souza would surely have caught the thrum of dissidence that would soon challenge the American ascendancy in the name of race, gender and sexual choice during the civil rights movements. Although she returned to India in 1963, these revolutions in thought and practice inspired her at a distance. While the label ‘confessional’ is a reductive and inadequate one, de Souza’s encounter with the work of such poets as Sylvia Plath, Anne Sexton and Adrienne Rich offered her models of poetry that opened up forms of public expression for women, forms that allowed for the naming and saying of personal experiences that had no place in a patriarchal framework.

Eunice de Souza with former chief minister of Kashmir Omar Abdullah at the Goa Art & Literature Festival, 2012. ((Siddesh Mayenkar/Herald Review))

De Souza’s feminism was mapped along a spectrum from the sardonic to the ferocious. Some of her targets were more fortunate than others. Tukaram, loved for his startling and often irreverent poetry of mystical transport, is gently rebuked for his indifference to his wife’s struggles. But in the precisely titled ‘Autobiographical’, de Souza appears to pay the patriarchy back in its own coin before recording the insight that structural violence replicates itself in an internalised counter-violence of the individual that is every bit as corrosive and depleting:

I thought the whole world

was trying to rip me up

cut me down go through me

with a razor blade

then I discovered

a cliché: that’s what I wanted

to do to the world.

In the later ‘Songs of Survival’, she registers a move towards a more stoic, ironic stance, not resignation so much as wisdom:

Practice grave courtesy:

there are no tears in the

eye of the storm.

Survive to know you can.

There is little to be said

for suffering.

It has been tempting for many readers to interpret de Souza’s poetry as the unfolding chronicle of an embattled self constantly crafting idioms of belonging in a hostile world. While this account has its own relevance, a survey of her expanded practice reveals the opposite of self-absorption. Her approach to the world was versatile and founded on a restless curiosity. Throughout her career, de Souza was active as a literary critic, editor, researcher, and columnist. She wrote art criticism for some years, and retained a lively interest in the visual arts. She wrote books for children and compiled benchmark anthologies such as These My Words: The Penguin Book of Indian Poetry, a collaboration with her lifelong friend and colleague Melanie Silgardo.

There are no tears in the eye of the storm: Eunice de Souza (HT Photo)

To mourn de Souza is also to mourn a period and a milieu in Bombay’s cultural life when the arts had not become narrowly professionalised and mutually separated, and when compelling intellectual and artistic synergies exploded across the scene. Writers and painters, architects and filmmakers, activists and advertising professionals met, formed friendships and collegialities, often collaborated, or inspired one another’s enterprises. Poets like Nissim Ezekiel transited between academia and the visual arts. Poets like Arun Kolatkar and Dilip Chitre straddled the worlds of literature and advertising. Poets like Adil Jussawalla were active in academia, journalism and publishing. These cultural experimenters and their contemporaries were responsive to theatre and music, often working together with colleagues to develop work beyond the page. Many of them were engaged in translation, as a bridge between languages and language-universes separated by historical circumstances. They were committed to keeping the transmission lines of literature open, whether through little magazines or small presses, as the splendid recent research of scholars like Laetitia Zecchini and Anjali Nerlekar has shown.

Read more: Makeshift the ground on which we stand: Eunice de Souza (1940-2017)

While the Clearing House publishing collective has, correctly, received retrospective acclaim for its role in this history, the 1960s and 1970s were animated by numerous, often intersecting, mutually replenishing reading circles and publishing platforms of varying longevity. Among these were the circle around Nissim Ezekiel at the PEN, the salons that Kamala Das convened, imprints such as Pras Prakashan, and successors to Clearing House such as Newground and Praxis, which published de Souza’s early collections of poetry. The critical, vigorously recalcitrant, self-renewing energies of this background continued to pulse through Eunice de Souza’s work until the very end. Wintry as its wisdom sounds, her last book of poems, Learn from the Almond Leaf, published last year, offers us unquiet, incandescent meditations like ‘A Smattering of Rain’:

A smattering of rain,

Earth lets off steam.

A hawk falls.

A volcano upchucks.

Watch it!

Earth’s heart is still

smouldering.

Ranjit Hoskote is a poet, cultural theorist and curator."
Ro-ros to row cars across sea along Mumbai’s west coast by 2019,"In the next two years, a ferry service across the sea will make travelling along Mumbai's west coast a lot quicker.

The Ro-Ro (roll-on roll-off ) water transport service at four spots — Marve to Manori, Borivli to Gorai, Bhayander to Vasai and Virar to Palghar — that will let you ferry your cars over the sea is expected to cut down travel time from up to two hours hour to less than 10 minutes (see box).

A Rs90-crore Ro-Ro plan, proposed by the Maharashtra Maritime Board (MMB), got a green nod last week from the State Environment Impact Assessment Authority (SEIAA).

“After the Maharashtra Coastal Zone Management Authority (MCZMA) gave us the coastal regulation zone (CRZ) clearances for the entire project in July, we studied the environment impact and found the four projects will reduce travel time and vehicular pollution,” said a senior official from SEIAA.

“While work on three of the four routes can start, minor aspects on the Borivli-Gorai route are yet to be studied,” the official said.

The Ro-Ros will expand Mumbai’s water transport system substantially, said experts. This is the first such project proposed for the west coast. It can transport 50 passengers and 10 cars on either side, officials said. So far, citizens could only ferry two-wheelers between Versova and Madh and Manori and Marwe.

“This project will be a new chapter in the water transport story of Maharashtra,” said Atul Patne, the chief executive officer of the MMB. Patne said the ferry service will not only help citizens save money, but also bring down congestion on roads and cut pollution.

“There are three main aspects of the project – reduction in traffic congestion, drop in pollution and reduction in time taken to travel these distances. From distances that were two hours apart, now the time taken will be a maximum of 10-12 minutes,” Patne said.

The Marve-Manori project is expected to be ready by mid-2018, while the other will be completed by early 2019, Patne said. According to the MMB, at least two crore people in Maharashtra use Ro-Ros but only a handful of routes provide the facility to ferry two-wheelers.

The SEIAA has also approved a proposal to revamp all eight jetties. MMB officials said the work has begun.

“We will be issuing tenders this week for the project and will hire contractors to ferry medium-sized boats that can carry the estimated capacity of cars and people,” said an MMB official, in-charge of the project. “While the cost for each four-wheeler is still being worked out, we estimate the fare for two-wheelers and SUVs to be between Rs250 – Rs400.”

Last year, chief minister Devendra Fadnavis told the state assembly that Ro-Ro services would link south Mumbai, Navi Mumbai and Alibaug and services would start by end of 2018.

MMB officials said work for the Rs150-crore Ro-Ro services between Ferry Wharf (Bhaucha Dhakka) and Mandwa in Raigad district along Mumbai’s east coast, is 50% done. “While the work is being jointly carried out with the Mumbai Port Trust, the jetty at Mandwa has been revamped and the project should be completed by May 2018,” the MMB official said."
Prakash Nanjappa sets new targets ahead of 2020 Tokyo Olympics,"Prakash Nanjappa, international pistol shooter, has made radical innovations to his training plans for the 2020 Tokyo Olympic Games. Among them is having a full-time coach.

The day after he was recommended for the prestigious Arjuna Award, the Olympian said: “I have made overall changes in my training to cut down on error during competitions. It is a challenging task, but I am enjoying the routine.”

Firstly, he has shifted his focus to the 10-metre air pistol event since the 50m free pistol has been scrapped from the next Olympic Games. At the Rio Games, he finished 25th in the 50m event with a score of 547.

READ | Mithali Raj ignored for Khel Ratna, BCCI criticised for not recommending name

Secondly, he has changed his weapon. “All the changes collectively should help me polish my skills. I have changed my technique with an aim to be more consistent at the global level,” he added.

The pistol shooter though has chalked out plans with his South Korean coach Kim Seon-Il, a former coach with the Korean national team. Prior to the Rio Games, the Korean expert was helping him occasionally, but now he is based in Pune.

READ | Khel Ratna: Sardar Singh, Devendra Jhajharia recommended for top award

The Bangalore-based shooter wants to make an impact in the 2018 Commonwealth Games in April and Asian Games in September. He is also targeting the 2018 ISSF World Championship at Changwon, South Korea (Aug 31 to Sep14). It will be the first qualification tournament for Tokyo Olympic Games.

Winner of silver medal in 10m air pistol at the 2014 Glasgow Commonwealth Games, he wants gold this time at Gold Coast, Australia. “I am ranked among the top three or four in the country. I need to sustain my efforts to stay atop the field. There are some youngsters coming up but I am focussed. Next year is important,” he said.

READ | India’s G Lakshmanan denied 10,000m entry at World Athletics Championships

“I have sponsors so I don’t need to worry about the money. It will help me get the right kind of international exposure in the build up to tournaments. I also have plans to train in Korea before the Worlds,” he said.

“My coach wants me to stay calm. It is sinking gradually into my system,” he said."
India vs Sri Lanka 2017 News and Updates at Hindustan Times,"Aug 05, 2017 17:42

Sri Lanka were 209\/2 at stumps after India quickly ended their first innings on Day 3 of the 2nd Test in Colombo, bowling them out for 183 to take a first innings lead of 439 runs. Catch full cricket score of India vs Sri Lanka, 2nd Test, Day 3, here read more"
Supreme Court questions HC for reopening one 1984 riot case after 31 years,"The Supreme Court on Wednesday questioned the Delhi High Court’s decision to reopen a 31-year-old case related to the 1984 anti-Sikh riots against former MLA Mahender Yadav, who was acquitted of the charges.

A bench headed by Justice Dipak Misra remarked: “Under what procedure has it been done? On what basis this order has been passed? Rightly or wrongly this man was acquitted in 1986 and none challenged the judgment for more than 30 years.” The court was hearing Yadav’s appeal against the order.

“All of a sudden in some other matter, this order is passed. Under what process of law the high court can unsettle it?” it asked. The court, however, did not stay the order.

Yadav’s counsel senior advocate Sultan Singh expressed apprehension that some coercive action might be taken against his client. “Its a case of Section 302 (murder),” he submitted. “Nothing will happen. Its only a show cause notice,” the bench told him, allaying his fears.

Senior advocate HS Phoolka, representing the riot victims, justified the HC order. He claimed eyewitnesses were not summoned and the trial was closed in three months. The high court had cited Zahira Sheikh’s case in the 2002 Gujarat riots as a precedent.

But the bench was unconvinced. “In that case (Zahira Sheikh’s case) someone had challenged the order. Here no one challenged it…Judges should not involved themselves in such cases,” the court told Phoolka.

A bench headed by acting chief justice of the high court, Gita Mittal, had in March 2017 sought to reopen the trial in five 1984 anti-Sikh riots’ cases in which all the accused were acquitted in 1986. It issued notice to five persons, including Yadav.

Perhaps the matter was decided in a hurry, the HC, which took cognizance of the cases on its own, had observed.

In a related development, the SC was informed that 51 more cases related to the 1984 anti-Sikh riots were closed by a special investigation team (SIT) set up by the Narendra Modi government to reinvestigate them, taking the total number of such cases to 250.

Almost 3,000 people were killed, most of them in Delhi, in the anti-Sikh riots that broke out following the assassination of then prime minister Indira Gandhi on October 31, 1984.

Senior counsel Arvind Datar, who represented petitioner Gurnad Singh, told the bench that only nine cases were on. He demanded that the trial in these cases should be conducted on a day-to-day basis.

The court, however, adjourned the matter to August 16 after additional solicitor general Tushar Mehta sought time to take instructions in the matter."
