Title,Article
GST glitches only to be expected,"The GST Council has done well to revise rates on 19 services that include job work rate on textiles and also clear rules for e-way bill to remove border checkposts. Confusion over tax rates on goods was not unexpected, given that there are over 50,000 products that have come under the new levy. But ambiguity leads to classification disputes and provides the scope for buying favourable administrative discretion. That’s wholly avoidable. The remedy is to have a clutter-free GST. Goods and services have been classified as per the harmonised system of nomenclature, a globally standardised system of names and numbers.

This is welcome as identification of goods becomes easy through specific HSN codes, and also enables exporters to claim refunds on the tax paid on inputs used to make the final product. It would raise business efficiency if all products with the same four-digit HSN code were to have the same rate of GST.

Kota stone, for example, attracts the lowest 5% GST, compared to marble that attracts the highest rate. But kota stone makers want clarity on the classification to ensure that revenue authorities do not come calling on them. Recently, the government clarified that sarees, designer or embroidered, will be treated as fabric and not garment, and hence attract the lowest GST of 5%. Differential tax rates on the same kind of product should go.

The pricier products consumed by the well-off, will bear a higher tax burden, even if the rate of tax is the same as on a cheap alternative. A clean GST will ease administrative compliance. It would be useful to start an online forum for industry, especially small and medium enterprises, to raise their grievances, throw them open for public discussion, leading to resolution.

The rates for most products will go down now that excise duties and value-added tax have been subsumed in GST. Manufacturers and retailers must ensure that they stamp new prices on their pre-GST stock, instead of levying GST on top of the old maximum retail price. Surely, there is scope to converge GST rates once the tax base widens."
Existential Threat? Artificial intelligence won’t replace all human skills,"Today a great deal of debate is taking place regarding the fast pace at which Artificial Intelligence (AI) is developing and the merits and demerits of the same. People like Tesla founder Elon Musk have called for proactive rules governing the development of AI. Apart from dangerous, autonomous killer robots, there are fears that AI will displace human jobs by the billions. Already many skilled human tasks have been replaced by automated platforms. And the thing about AI is that once it is out there, the genie can’t be put back into the bottle.

So the question is not so much whether robots can replace human jobs, but should they replace human jobs. Recently, I had to do something about a broken furniture in my house. But instead of throwing the thing out, I decided to get it repaired. The carpenter who showed up was an affable fellow from Bihar. And he was quite skilled. He quickly got down to the job at hand while engaging us in pleasant conversation. And as he worked, I couldn’t help admire his craftsmanship. There’s something beautiful about human hands creating things.

This got me thinking – in a futuristic scenario, if a robot had repaired the furniture for me, I wouldn’t have had this pleasurable experience. This wasn’t just a carpenter at work; this was a man who was leaving behind a piece of his skill and knowledge, acquired through years of training, in my home. A robot or furniture made in an automated factory simply couldn’t replace this. I accept the reality that increasingly we will have more and more automated factories churning out mass-produced goods. This is something that cannot be changed. However, this doesn’t mean that human craftsmanship will end.

In fact, I believe products made by humans will be even more valuable in the future. They will have a higher premium and people will take more pride in them. Sure, AI could produce paintings akin to Picasso. But an original composition stemming from the human mind will still hold more value precisely because it is human. For, such a creation won’t stem from perfect AI data-crunching, but imperfect, unpredictable human inspiration. So yes, the development of AI will replace many human jobs. But it won’t end human creation and creativity – the latter might even get sharper. In that sense, human limitations, unpredictability and imperfections are humanity’s greatest assets as we step into an AI-driven world."
Vaghela’s exit an opportunity for Cong to take a stand in Gujarat,"Shankarsinh Vaghela has quit the Congress party. As a Gujarati, I thank whatever gods may be. There is a larger point to be made and I’ll come to that in a bit.

Vaghela was a dedicated Rashtriya Swayamsevak Sangh man who should never have been made head of the Gujarat Congress in the first instance. Hindutva has brutalised the state and permanently divided its people and ghettoised its minorities (an act of extreme anti-nationalism).

Congress should have stepped in to recover the truth in Gujarat’s culture of pacifism and mercantilism and pragmatism and progress. Instead, in appointing the Hindutvawadi Vaghela, the party continued the political lie that Hindus and Muslims are permanently at war and communal politics is inevitable. Rubbish.

There are those who say that with Vaghela’s exit the Congress will lose the assembly elections coming in that state in the next six months.

However, it should be pointed out to such geniuses that in his 20 years (he joined hands with the Congress in 1997) the party anyway saw defeat in every single assembly and Lok Sabha election. What great victories was this compromise with first principles bringing the Congress? Not one.

For my parents in Surat, all these years, the option inside the polling booth was always between endorsing an RSS Congress leader or an RSS BJP leader. That’s not really a choice.

If the Congress says it stands for Nehruvian secularism, then the first place that must show is in the people who speak for it and the second in what they say. The same rule applies to my friend Sanjay Nirupam, who heads the Congress in Mumbai. A pleasant fellow but a former Shiv Sainik. I believe in redemption and the idea of reformation, but such people as Vaghela and Nirupam, who jump from leadership position to leadership position without demonstrating their devotion to first principles are unfit.

To the larger point now. What will the 2019 general election be fought on? Given the damage Hindutva is doing to India and Indians, it is clear that it must be fought on an uncompromising anti-Hindutva platform. This should be accompanied by specific things, like the opposition to genius strokes like demonetisation. But the underlying narrative must be carried on the back of an Indian inclusivism that is natural to us and that we can see all around us.

The fact is that the image of India that Hindutva’s supporters hold is not apparent. We are a unified culture being deliberately and mischievously divided. How tough can it then be for the Congress to sell reality? My slogan: ‘Indians are one people. Stop dividing us through Hindutva’.

My colleague Salil Shetty has observed that we are living in a time of democratic authoritarianism, when the sort of mischief that only dictators pursued is today practised by elected despots.

His other observation is that among such ‘strongmen’ type leaders, there are those who use violent and unhinged language, like the Philippines president Rodrigo Duterte and American president Donald Trump. And then there are people like Narendra Modi who speak softly but who have others do the speaking for them.

VP Singh said that to know what Hindutva stood for, do not listen to its leaders, but the people below. The poison that is being spread by Hindutva cannot be gleaned from the Prime Minister’s Twitter feed.

It can be understood by what is being done under him. Gujarat has already passed a law punishing cattle slaughter with life imprisonment, while Chhattisgarh’s CM has pushed for the death penalty. Modi’s criticism of vigilantes should start with attacking or sacking his party’s leaders who encourage the lynchings. But he won’t and that is the plan.

I am told often that many Indians conflate Hindutva with Hinduism. That is dangerous nonsense. Hindutva, a word of recent coinage, is a set of three specific political demands.

First, Musims must surrender their mosque (‘Ram Janmabhoomi’). Second, Muslims must surrender their personal law (‘Uniform Civil Code’). Third, Muslims must surrender their constitutional autonomy in Jammu and Kashmir (‘Article 370’).

After taking power, a fourth political demand has been pushed: Muslims must surrender their dietary habits (‘cattle slaughter ban’). Hindutva is negative, sullen, passive-aggressive (observe the joyless faces of those who peddle it).

What links any of its demands with Hinduism the faith? Not a thing. It is anti-India in the worst way possible: it pushes an idiot nationalism that is ranged not at some enemy but against other Indians. Because of this, in my opinion, it borders on treason. It has to be resisted. Civil society will do what it can but the domain of this resistance is primarily politics.

The saying goes: if you don’t stand for something, you’ll fall for anything. For two decades the Congress has fallen for soft communalism in Gujarat. The opportunity has come for it to stand."
Hindi TV Serial and Episode News Online Times of India,"IANS | 7 Aug 2017, 10:18 hrs IST

Actress Soni Singh, who was seen alongside Upen Patel in popular reality show ""Bigg Boss 8"" in 2014, says she has since been in touch with the actor and he is always available to her as a brother whenever she ..."
This Hard-Hitting Poem On Equal Rights For Men Just Like Women Is Going Viral & Rightly So!,"On July 23rd, Simar Singh performed a piece on ""How To Be A Man"" at The Habitat, Khar.

Screengrab

We've been hearing a lot about how feminism is important and how oppression has taken over womanhood, but people, oppression is the only thing that's not gender neutral and it has hurt men and woman equally.

Screengrab

Just how women don't make good engineers, men don't make good chefs. Just how women can't pursue a career in basketball, men can't pursue a career in tailoring.

Screengrab

This guy's poem on manning up takes us on a touching ride of bygones, that is too close to reality. He forces us to reminisce about how our fathers, brothers, and sons have been asked to man up because some things are just not for them.

The poet has put down his emotions and years of struggle in this beautiful composition. Check it out.

We don't need feminism as much as we need equality. All of us should be an egalitarian, period.

Don't Miss 7.6 K SHARES 1.8 K SHARES 28.3 K SHARES 13.9 K SHARES 54 K SHARES 27.8 K SHARES 17.6 K SHARES 29.9 K SHARES 21.7 K SHARES 12.7 K SHARES"
"‘Khel Ratna a big honour but 12 years late … should have got this after Athens, what I did in Rio was nothing new’","Devendra Jhajharia, winner of two Paralympic gold medals (at Athens 2004 and Rio 2016) and holder of the world record in the men’s javelin throw F46 category, is the first para-athlete to be awarded India’s highest sporting honour: the Rajiv Gandhi Khel Ratna award. Jhajharia, who also won The Times of India Sports Award 2016, spoke to Jamie Alter about his career and what the award means for Indian para-athletes:

Last year you were on the panel to pick the Khel Ratna. Now you are a Khel Ratna. How does it feel?

I’m very happy. But to be honest, I feel I should have got this award in 2004-05 after I returned home from Athens with my first Paralympic gold medal, which was for a world record. This achievement stood in my absence from the Paralympic stage from 2004 to 2016 [the F46 category was not part of the Games in 2008 and 2012], so today I see it as a reward which has come 12 years late. Its a big honour, no doubt, and to be the first differently-abled athlete to be named for the Khel Ratna makes me feel very happy.

Do you feel you’ve received the respect and recognition that is due to an athlete of your stature?

Yes, I do. In 2004 no one knew me. I was a new entrant. I was young, naive. In 2016, however, people knew who I was. In Rio, at the athletes’ village, when I would enter for lunch and dinner, many world athletes who say ‘that is the Indian who is the world record holder”. That felt good. Also, I was the Indian team flag bearer, and PM Modi had spoken so kindly about us before we left the country. Kahin na kahin aap ke andar ek responsibility si jaag jaati hai, ki bas ab kuch aur karna hai desh ke liye. Holding the Indian flag in Rio was a different feeling altogether.

Has the perception of para-athletes changed post the rich haul of medals from Rio last year?

Yes, definitely. The government has recognised us in a very different way, we have been felicitated and honoured. We are recognised now. I would like to thank the media for covering us after the Rio Paralympics, but I urge you all to not stop after the Games. Look beyond that at the national level and state level, and cover what our para-athletes are doing at home and not just overseas.

What are your views on the state of para-athletics in India?

It has improved significantly, from where it was in 2004. A sea change, in fact. When I went to Athens it was very different to how we went to Rio last year. There was so much support for us, and Prime Minister Modi mentioned us on his ‘Mann Ki Baat’ programme. To hear him say that so much has changed in 12 years, but that Devendra has remained the same, that he has not changed or wavered in focus, was inspiring.

But a lot of work is needed, from the school level upwards. We need special training sessions and facilities. The infrastructure in India has to change. By change, I mean that the best para-athletes in the world should want to come here and train. We need former players to help promote para-athletics. We need more clinics, schemes and academies. We need to include a lot more youth. Work is on, I know it. The government has taken a much bigger interest.

There should be more special academies … javelin specific academies, for example. And kids need to be brought there and trained and given the freedom to express themselves. To win an Olympic medal you have to be special. And special talent needs special nurturing.

Can you elaborate on what needs to be done to improve the standard?

See, while the support from the government is obviously massive, I feel there needs to be more done at the state level. For example, we need more grounds for para-athletes. We face a lot of wheelchair problems at venues. Access is not always easy. There has been good work done so far, but more needs to happen to support para-athletes and make things simple. Most of this has to come from the state government, because they responsible for infrastructure. Start locally. Bring differently-abled people to the ground, make it easier for them to get there. Only then can their interest build.

Some states are better equipped than others and are doing well to support us. Haryana, Rajasthan and Delhi, mainly. There are special jobs created, cash awards given, schemes created for para-athletes. All that is good, but it is very important for para-athletes to come to Delhi. I cannot stress enough on how important that is. When I started out, getting to Delhi was tough. It should not be tough today.

Are you satisfied with the support of the government and the Sports Authority of India?

Yes. I have benefited hugely from the TOP (Target Olympic Podium) scheme. From this, I was able to travel overseas, I was given access to better training at home and abroad, I got a personal trainer, learned more about dietary planning. My entire planning for Rio was enhanced because of the TOP scheme. I am grateful to the government for that.

Is there a disproportion between funding which Olympians and Paralympians receive from the TOP scheme?

Not that I have seen. I have nothing to complain about.

Is there para-athletic talent coming through?

I think there is plenty of potential, if the youth is encouraged and supported. Look at Mariyappan Thangavelu, who created history by winning gold in the high jump in Rio. He is 22, a long-term prospect. There’s something different about him. There’s a fire burning inside him. He doesn’t know anything else about from his sport. We cannot lose a talent like that. I hope the system supports such athletes.

In those early years, primarily leading up to 2004, how did you raise funding? Who helped you?

Dekhiye, ek junoon sa tha khud mein. I had a goal. I wanted to chase excellence. But I was from a humble farming background. My father was a farmer, but in Rajasthan there are not many returns for a farmer. It was tough to gather funding. I got a little bit of state support, and the Paralympic Committee of India (PCI) helped too. Others helped out, but overall it was not easy. I used what little savings I had too. That time was very different, right from the media to the government. There was no social media either. Bilkul alag maahaul tha. How I got to Athens, and how I performed, only I know. It was extremely uplifting to win my first gold back then.

The category in which you won gold in 2004 (F46) was not part of the 2008 and 2012 Paralympics. Did that ever deter you from pursuing it?

Absolutely, yes. It was a very difficult time for me, from a sporting perspective. It is like preparing yourself for a big exam and then seeing that no one is ready to let you take that exam. To keep training so hard and then seeing that you’re not getting a chance to go to the Olympics left me considering whether it was worth pursuing sport. I did contemplate giving it all up. In 2010, preparations were on for the 2012 London Paralympics when it was announced which events were to be included. When I saw that my name was not there, because the F46 was not included for the second Games in a row, I was stunned.

This was the same time as when your wife Manju gave up playing kabaddi so you could pursue throwing the javelin?

Yes. I owe her everything. We sat down as a couple and talked it over. She told me she wanted to do everything she possibly could to keep my sporting career alive. “You chase your dream, you do well in sports, you make your name. My sport is not an Olympic one. You have so much ability,” she told me. I asked her what good my capability was when my event was not part of the Paralympics, after I had set a world record in Athens.

She told me forget about 2012, it will return in 2016. My response to her was that I cannot look that far ahead, and once again she told me to be positive and that’s when she told me that she would help me. She was a state level kabaddi player, and gave it up because only one of us could have pursue a career in sports. Along the way, we had a daughter too, so she had to raise her.

When I found out that my event was listed for the 2013 IPL Athletics World Championships, I immediately began training. My wife just said to not look back, only focus on getting ready for 2013. So I gave it my all and the result was a gold medal. When you consider all this, it was indeed a very long wait for Rio 2016.

And then, at 35, you broke the record you had set as a 23-year-old. Was that a prouder feeling?

Definitely. To do so at that age, and after that long absence from the international stage, was extremely satisfying. It was justification of all my hard work, of my wife’s sacrifice, of my coach’s conviction. I showed that nothing is impossible.

What was your training like for the Rio Paralympics? How do you stay so fit?

It all hard work and focus. I just immersed myself in training. Three hours at a stretch, sometimes four. I didn’t see what time it was, it was just about getting up and heading to the ground, giving my best. I had a strict schedule which my coach Sunil Tanwarji chalked out. No phones were allowed. Once, after the practice ground closed, I asked him what time it was. He said it was 8pm and that we should have go have dinner. I asked where, and he said in his hotel room, just as we were, with our kit bags, so that I didn’t waste time in the morning getting from where I was staying to the ground. Sabar ka phal meetha zaroor hota hai, magar uske liye bahut mehnat karni padti hai.

There is no official word yet on whether the F46 will be included at the 2020 Tokyo Games. You will be 39 then, but age is no bar for you, is it?

Not at all. Its all in the head. Its about fighting from your mind. Age didn’t get in my way when I was training for Rio, and having won a second gold medal at the age of 35, I am even more determined to win one at 39."
Sell Air India for one rupee: Right now it’s a giant black hole relentlessly sucking in taxpayer money,"Recently the Cabinet gave in-principle approval to sell Air India. It is an oft-repeated idea, but this time the resolve seems to be stronger. Government will really be doing our country a huge favour if it gets rid of this company, which is a giant black hole relentlessly sucking in taxpayer money.

As an ex-distressed banker, i can say this: some companies can be rescued from the hole they have dug themselves in. Others have dug it so deep, they can never, ever get out. Air India is in the latter category. There is no point saying, “But last time i flew, the service was good.” It’s irrelevant. The hard truth is this: the company is a dud. Sorry.

Here’s the math, as an example. Imagine your neighbour has a drinking problem because of which he racks up loans of over Rs 5 crore. But instead of earning money and paying back the loans, he continues to borrow even more and spends another Rs 70 lakh a year on his addiction. Over the decades you have rescued him several times. However, he refuses to change. Now the loans are too big. Even if he did try his best, he can’t make more than a couple of lakhs a year. Hence he can never repay his debts.

To understand Air India, multiply the numbers in the example above by 10,000. It has over Rs 50,000 crore of debt and is cashflow negative, reportedly by over Rs 7,000 crore a year – the numbers could be worse, as the company hasn’t released recent data and CAG has raised issues even about the data it has released.

Even in the best of scenarios, Air India can’t earn enough to repay its debt. So no new buyer can buy it as-is, with its mountain of debt. For there is no scope to repay it. Financially, right now Air India is the worst corporate in the country.

There’s no point in casting blame. When sins have been done over decades, no one person or set of persons is to blame. One does feel bad for the 20,000 plus employees, who may even be working hard at running the company day to day.

But the black hole is going to remain just that, and the taxpayer is paying for it. Air India’s annual cashflow loss is equal to what Vijay Mallya’s Kingfisher owes banks. Air India costs us one Mallya a year, money that can be used to build hundreds of hospitals and schools.

Many lame arguments are given to not sell Air India. These include arguing that it is the flag carrier. Well, many countries no longer have flag carriers (including America). In other cases they don’t cost government so much. Flag carrier pride for a passenger airline is stupid. Air India is not the Indian Air Force.

Air India’s role in rescue efforts is also tom-tommed. Well, it beats all logic to keep such an expensive operation on standby for occasional rescues. It’s better the Centre gives money to private airlines in an emergency. Do we really think if there is a rare, genuine calamity, and government wants to pay to hire a plane, IndiGo and SpiceJet are going to refuse? And isn’t this far more efficient than burning Rs 7,000 crore a year?

These two noble arguments to keep Air India alive as-is hide the real reason. It is the neta’s and babu’s club in the sky. Politicians and bureaucrats, along with their families, friends and neighbours, all abuse Air India to get free upgrades and slavish service from the staff. Getting Air India off the government’s hands will end these VVIP joys.

Even if we want to pamper netas and babus, there are cheaper ways. Paying them money to fly business, or even first class, in private airlines will be cheaper than keeping the Air India monster alive. Government can buy upgrade vouchers for its senior functionaries.

So how does one sell Air India? Its assets, office infrastructure, running operation and landing rights have some value – though well below its debt. Government should give it to the highest bidder amongst various private players. Of course the bid is unlikely to pay off the entire debt, so the winning bidder will probably be someone who wants the least discount on the loan.

Employees may be retained or retrenched, something the new buyer will decide. But a decent retrenchment package (say three years’ salary) for the entire staff would cost around Rs 9,000 crore (given a salary bill of Rs 3,000 crore a year). The new buyers will take that into account in their bid.

Even in the best case, government will have to give a discount on the loan. It may even have to give the company to the new buyer for one rupee. The process will not make government any money. But it will get rid of a part of the loan and all of the cash burning enterprise. To that extent, this entire exercise is not so much a sale of Air India as good riddance. This is something we need to understand going into the sale, so we don’t have unrealistic expectations from it.

Beware opposing voices that will complain after the sale, “We sold Air India for nothing.” Tell them, we didn’t sell it, we got rid of it, and that has saved us a lot of money every year.

Let’s all keep up the pressure to ensure that the Modi government sells Air India. We will be doing the country’s finances a big favour."
Justin Gatlin's Tribute To Usain Bolt After Beating Him Is The Finest Example Of Sportsmanship,"The race is about to start. Usain Bolt is raring to go for one last time. He gets off to a slow start, then begins to accelerate by the 50th metre. But the swansong wasn't meant to be a golden one. Close on his heels was Justin Gatlin, who had plans to beat his old rival on the big stage. He, after all, wanted to preserve his best for the last. And he did.

AFP

By the 80th metre, Bolt knew he had lost it as he was a close third to the second sprinter Christian Coleman, another American. The race ends, and Gatlin emerges winner. Second spot belongs to Coleman. And Bolt, perhaps the greatest athlete in track and field games, was forced to embrace bronze. Bolt from the blue?

AFP

As Gatlin celebrated his victory, he knew there wouldn't be another race where Bolt would threaten to sprint past him. He now knew the tracks belong to him. And he now doesn't have to strategize against Bolt.

The rivalry has now ended and Gatlin did something that'd remain etched in Bolt's memory for years to come. He bowed in front of him out of sheer respect and love for his long-time rival. There clearly couldn't have been a better swansong for Bolt. Gatlin did what he could do best - win the race and win hearts across the globe.

AFP

Now Bolt fans have another admirer - It's Justin Gatlin. There's no denying that people booed him. But then realisations happen every now and then."
Movement in the mountains: Gorkhaland agitation is marked by a new sense of urgency. Someone will have to take note,"Sometime in the late ’80s, three boys barely in their teens headed towards a gushing mountain stream that goes by the name of Dhobikhola just outside Kurseong, an unassuming town overshadowed by the glamorous beauty of Darjeeling to its north and the pivotal importance of Siliguri to its south. The fog had lifted in the morning and there was promise that the sun would be out. Tiny ponds used to form in the crevices of kholas then – all dried up now – and young men would clamber up the slippery rocks to take a dip in the cold, clear pools.

The boys, on a break from school, had packed sandwiches and tea in a flask. They were excited about their little excursion. Suddenly a vehicle with CRPF jawans screeched to a halt in front of them and all three were bundled in. An officer asked for information on local leaders active during the agitation for a separate state of Gorkhaland that had erupted with Subhash Ghisingh in 1986. The jawans were cursing and hitting the boys.

One of the kids remembered advice he had been given by elders: if you are caught by CRPF, speak in English. “Sir,” he said in English, “I go to school and live in a hostel. My father is with the SBI. These are my friends and we don’t know the people you are talking about.” The beatings stopped and the officer asked if the statement could be verified. Then he said something that both terrified and relieved the boys. “Run home, don’t turn back. If you do, you will be shot.”

The boys ran and ran, like Tom Hanks in Forrest Gump. But unlike in the movie, the shackles never really came off. They don’t, if you belong to any of the communities on India’s margins. However hard one tries to integrate, osmosis remains difficult in a country that thwarts its own people.

It is that, apart from a sense of other injustices, which is fuelling the agitation for Gorkhaland this time in the hills of Darjeeling. If there is a difference in the nature of protests from those in the 1980s, it is that hundreds of thousands of young men and women have travelled out of the region in the past decades – some have returned, many have not – and all of them have grown up to ask one question: where do we belong? Where is home?

It is not the Darjeeling of Bengal, where they feel discriminated against, where at the best of times they are left to fend for themselves. The inquiry has become urgent – and articulate – with the new generation not content anymore just to join the army and unquestioningly serve a nation that doesn’t seem to care for or notice them.

The Gorkha, call him Nepalese if you will, has gone beyond the condescending stereotype that has forever defined him. He is a software engineer in Bangalore now, an actor in Mumbai, doctor in Delhi, fashion designer in New York and writer in London. And he’s had enough of it. Today he wants his space in the sun, he demands recognition.

There is another crucial change in the passionate voices coming from the hills. They no more belong to the leaders. The movement has passed into the hands of students, housewives, professionals, senior citizens.

In street meetings and town rallies, warnings openly go out from the public to local legislators and administrators. This time, you will not cheat us or mislead us, they say. You will not make contracts behind our back. In fact, Gorkha Janmukti Morcha leader Bimal Gurung, who snatched the baton from Ghisingh, has begun to look marginalised.

Though it was Chief Minister Mamata Banerjee who lit the fire when she said Bengali would be compulsory even in the schools of Darjeeling where a majority speak Nepali – language, she should have known, is an intrinsic part of identity – and Gurung, battling shrinking political space and anti-incumbency, stoked it, the latest round of calls for a Gorkha homeland has taken a life of its own. It hasn’t mattered that BJP, which sent SS Ahluwalia to Parliament from Darjeeling with support from the Morcha, has turned its back on the people, looking as it does to make inroads into Bengal.

The party knows that its endorsement of Gorkhaland may backfire during the next elections, what with Mamata reiterating that she will not allow a division of her beloved state, however far the hills might be from Kolkata – ethnically, culturally, linguistically.

The indefinite bandh in Darjeeling is now its longest ever at 47 days and shows no sign of ending. Smartphone in hand and talking to a diaspora that has spread to every corner of India and the globe, never before has there been such communication of resolve, commitment to cause.

Solidarity videos are being streamed from Hong Kong and Manchester, marches are out in Assam, Maharashtra, Tamil Nadu, Sikkim, Uttarakhand, and all the 15 million estimated Indian Gorkhas seem to be sharing a common anguish, a hope that the shackles may finally be coming loose, a conviction that Gorkhaland is an idea whose time has come."
The Congress government’s cynical and seditious ways exposed by the media,"I was stunned to hear the narco confessions of Safdar Nagori- a SIMI mastermind on the Pakistani conspiracy behind the blasts on the Samjhauta Express. The fact that it was not only kept under wraps all these years but also totally ignored by the Congress Government, amounts to treason.

Why would the Congress coin Saffron Terror and play up a Hindu terror angle when all the facts showed that Lashkar-e-Taiba and Hafiz Saeed were behind the train blasts in February 2007, that killed 66 people and injured several others? The National Investigation Agency caught Pakistanis in India who were involved in the attacks but the Congress Government had them released! The First Investigating Officer Gurdeep Singh assigned to the case said that a Pakistani citizen Ajmat Ali was identified by eye witnesses as a possible planter of the bomb. The arrested Pakistani’s also had fake passports. He claimed that he was pressured by senior officers to drop this line of questioning.

Dr Subramaniam Swamy said it was a case of, “betrayal of the nation of the highest order.”

Why would a government elected by the Indian people want to hand India on a platter to Pakistan with this kind of treacherous and vindictive lie? Why would Sonia Gandhi allow this or perhaps encourage it?

Now every time we ask Pakistan to bring the perpetrators of the Mumbai attack to justice, they say what about the Samjauta express terror? Where are those perpetrators? How can we tell them they were Pakistani and we let them go? Why would they believe us when the previous government handed them the fiction of a Hindu terror attack?

To make matters even worse Rahul Gandhi told the American Ambassador that Hindu terror was more dangerous for India then the LeT? Where was the proof of this? And why was he trying to compromise India? Was he primed by his mother and Chidambaram?

The Americans knew of Pakistan’s role in the Samjauta terror. Their treasury department attached the accounts of four Pakistani’s who they claimed had a role in this attack.

Yet, The Congress government went on a witch hunt after Indians. Why?

It almost seems that the Congress was trying to appease Pakistan at the expense of India. And one has to wonder what the motives were and what the incentives.

Home Minister Chidambaram did this again with the Ishrat Jahan case where Pakistanis sent to kill Narendra Modi the CM of Gujarat, were given a clean chit and instead the police were sent to jail for what was termed as an encounter killing.

It really is mind blowing. And we, the citizens of India want to know.

Then in an interview on Pakistani television, Mani Shankar Aiyer asked the Pakistani’s to help get rid of a sitting Indian PM. Would any country in the world condone this? Would they not have tried such people for sedition?

Where was the “Tolerance Brigade” in all of this. Why did they not march against such obvious treason? Are they also bought by Pakistan?

Perhaps the worst thing the Congress allowed was the Hurriyat to dictate terms to them. Geelani and others were given crores both by Pakistan and India in a cynical and dangerous game against the Kashmiri people. Pakistan gave them money to create mayhem in the valley and India to stop it.

Now we have the separatists under scrutiny and hopefully they will be in jail soon. But for decades this completely immoral lot was blackmailing the Indian state and was allowed to do so. We should have said that that anyone who wants to separate from India has no business to be here. Instead they got Z Security, the best health treatment, and were allowed to meet the Pakistani High Commissioner to get packets of money to pay young Kashmiri boys to throw rocks at peace keepers.

Thus, a greedy destructive monster was created that sent their own children to safety and played with the lives of Kashmiri children. Their avarice was limitless and it is rumoured they have homes in Delhi and abroad and their children are doctors and executives.

They are well armed and have the incentive. Throw in religion and victimhood and you get a deadly combustible mix. I was not sorry to hear the Hizbul Mujahideen suddenly declaring that they would behead the Separatists as now they wanted an Islamic State and not Azadi! I would have loved to see the expression on their faces especially if the Indian Government had withdrawn the security they did not deserve. The sooner they are sent to a jail in the Andamans the better."
