Title,Article
"The Tribune, Amritsar news","Tribune News Service

Amritsar, August 4

The Amritsar Improvement Trust (AIT) has won the legal battle for its chunk of land opposite Red Cross Bhawan at Ranjit Avenue. The AIT fought a long legal battle to get back its land worth Rs 200 crore.

According to information, the AIT had notified the Ranjit Avenue Scheme on January 21, 1972, and had acquired the land in August 1973. Around 9,500 square-yard chunk of land was under the ownership of Brahm Boota Akhara, a religious sect. The AIT gave Rs 2.05 crore to the akahara as compensation for the acquisition of land. But the AIT failed to get the possession of the land as the akhara had given the land on lease for 99 years to five different persons. They declined to give up their possession of the land. The tenants have tried to get a stay order from the court.

The case has gone through several phases. The lease-holders further signed the power of attorney to a private firm. The firm reportedly managed to get a Change of Land Use (CLU) certificate with the involvement of AIT officials. A major controversy erupted when the private firm managed to get the CLU.

However, the local court gave the verdict in the favour of the AIT, but the Trust did not take any action against any of the officials or employees for their involvement in forgery.

The land is located on a prime area of the city and the land mafia was keen to grab the chunk. The private firm had passed the plan for the construction of a Mall by submitting invalid registered papers and the CLU.

Meanwhile, AIT officials are happy after getting the possession of the land worth Rs 200 crore. Sandip Singh, law officer of the AIT, stated that a long battle had been fought to get the land, so everyone had been celebrating the moment."
Politically incorrect,"MOVIE REVIEW - INDU SARKAR

Nonika Singh

Sorry to disappoint you readers, but Indu Sarkar isn’t about the enigmatic former Prime Minister of India, Indira Gandhi, who was loved and despised in equal measure. The title (Indu we all know was her nickname and Sarkar needs no qualifier) might have misled you in believing so.

But the film in the eye of controversy for some time, zeroes down on her most inglorious phase; the draconian and dreaded Emergency.

Expectedly, the narrative takes sides and does seem politically motivated as well. However, Indira’s presence is confined to the margins, just a scene or two - that too sans dialogues. Instead, it’s her son who gets ample footage. By the way, neither of them is referred to by actual names. However, the resemblance to real characters is telling and uncanny. And Bhandarkar has left no stones unturned to demonise Sanjay Gandhi - sorry, beg your pardon, chief as he is alluded to throughout the film.

His body language, dialogues or the mean act and references to his five-point programme including nasbandi … all are meant to paint him as the big bad boy of mommy dear, who, of course, is not Indu Sarkar.

So who is the titular character? Well, a fictitious woman coined by Bhandarkar who has gone on record to say the film is 70 per cent fiction and only 30 per cent fact. And it’s this marriage of reality with imagination that is rather problematic. Who can deny that a film on Emergency should be made?

Emergency is without a doubt a period that even Congress can’t be proud of. But by mixing facts with fiction, by trying to humanise the story of an orphan girl, Indu, caught in the vortex of political repression and then turning it into a thriller of sorts, the film neither remains truly political nor a riveting, heart-tugging, human drama.

Besides, to compare the fight against Emergency to the second freedom movement is stretching the yarn a bit too far. The use of National Song, Vande Mataram, as the anthem of the so-called peaceful revolutionaries too is rather distressing, if not in bad taste. All through the film you can’t shirk off the nagging doubt and realisation that Bhandarkar would gave gained in stature had he made the film during the Congress regime.

Today, his attempt seems like a government-pleaser stunt. In the film there is one key dialogue; Emergency main ya police ki chalti hai ya yes man ki. The same dialogue can be turned against the director.

Indeed, it’s tragic that 70 years after Independence, films on political subjects, that too not biting enough, are made in accordance with who is ruling at that point. And that is a bigger tragedy than the film itself, which despite sepia tones and occasional period touches (Bobby is running in theatres), also succumbs to the typical Bollywood plot.

However, one person that emerges tall is Kirti Kulhari. As the stammering poet-turned-rebel, she engages you with her dilemmas, more so in the first part. To a large extent her screen spouse, Actor Tota Roy Chowdhury, playing her ambitious husband, a government servant willing to play along with the powers that be, gets the nuances of his character right. Neil Nitin Mukesh as the near despicable chief spurning and mocking his loyalists too adds menace to his part. Only if Bhandarkar, who has been losing his touch lately, found his métier. From the man who gave us incisive Page 3 and fairly credible Fashion, we expected and deserved better."
Sushma Swaraj in Parliament,"Sushma Swaraj in Parliament

The occasional Foreign Minister?

Also in this section

Electing next Vice-President

In her four decades of politics, few have stolen the thunder from Sushma Swaraj. A master of inflection and prosody, the External Affairs Minister was again acclaimed for her speech in Parliament on the tenets of India's foreign policy under the Modi government. But the fact that the Opposition moved two privilege motions against her strengthens the impression that she is not top of her game. Appearing frail after a life-threatening illness that she courageously overcame, Swaraj's rarely went into the heart of the topic: how is India faring in its ties with strategic partners. She denied Russia was aligning with Pakistan because a line in its joint statement with India had condemned Pak-based terror; India's riposte to Trump on climate change proved it was not a junior ally of the US; and, the most facile of them all, talks and terror cannot go together. It is ironical that one of the privilege motions was on the political part of her speech. The Opposition may be making much of a factual error in this respect. But she was being disingenuous by alleging that Nehru sought personal glory at the Bandung Conference, the foundation stone for NAM. For, just two years earlier, Swaraj had omitted Nehru while praising India's role in Bandung as part of the Modi government's policy to erase Nehru's footprints on Indian foreign policy milestones. Was this turnaround coupled with an attack on the Opposition for getting briefed by Chinese diplomats and the unadulterated praise of the PM, her attempt to build bridges with the all-powerful PMO? The Opposition was being unfair when it cited her absence on the PM's overseas tours as evidence she was out of the government's foreign policy implementation loop. These former UPA ministers, better than most, should know Foreign Ministers usually do not accompany PMs on overseas tours. But the Opposition missed pointing out an obvious sign that the Modi government is an extremely closed run affair: she is absent on ground-preparing visits for the PM's visit. Swaraj was at her assuaging best on the sensitive Sino-Indian border dispute. Hers is a voice that should be heard more often."
Martyr laid to rest with full military honours,"Martyr laid to rest with full military honours





The last rites of Major Kamlesh Pandey, who laid down his life fighting terrorists at Shopian in Jammu and Kashmir, were performed at the Chitrashila ghat in his hometown of Haldwani on Friday. Maj Pandey’s brother, also an army man, lit the pyre amid presence of a large number of people. A contingent of the Kumaon Regiment sounded the Last Post to pay respect to the martyr. Transport Minister Yashpal Arya, MLA Basidhar Bhagat and senior officials of the administration laid wreath at the mortal remains of Maj Pandey. The martyr is survived by his wife Rachna Pandey and two-year-old daughter Bhumika, who live in Ghaziabad, UP. Inconsolable, father of the martyr Mohan Chand Pandey said his son spoke to him before he left for the operation. Dehradun, TNS"
"Cong, AAP, INSO stage protests","LAST DAY OF BJP PRESIDENT AMIT SHAH’S THREE-DAY VISIT TO ROHTAK

Sunit Dhawan

Tribune News Service

Rohtak, August 4

The last day of BJP president Amit Shah’s visit was marked by demonstrations staged by members of the Congress, AAP and INLD’s student wing INSO over different issues. The protesters were detained after they clashed with police personnel. Rohtak SP Pankaj Nain told The Tribune that Congress and INSO workers were released after preventive action while a case was being registered against 20 AAP members. Around noon, Congress workers held a meeting at Mansarovar Park and started marching in a procession, carrying black flags. Haryana Congress president Ashok Tanwar, who led the procession, told reporters that they were going to meet the Chief Minister to demand the release of cattle rights activist Sant Gopaldas, who was arrested near Shah’s camping site yesterday. He alleged that an undeclared emergency had been imposed in Rohtak during the BJP president’s three-day stay here. As the procession reached near Ashoka office complex, the Congress workers were stopped by the police who had put up barricades there. The protesters raised slogans and tried to push back the barricades, which was resisted by the policemen. The protesting Congressmen were then taken away by the police in two buses and released later in the day. INSO members were also detained after they tried to gate-crash into Tagore Auditorium on the MDU campus to register their protest against some remarks made by Shah about late Ch Devi Lal. AAP members, including women, reached Shah’s camping site, Tilyar tourist complex. They were carrying placards bearing questions they wanted to put to Shah. They also raised slogans and showed black flags to Shah’s cavalcade, said AAP’s Haryana unit president Naveen Jaihind. The police detained the protesters. Another group of AAP workers staged a demonstration and raised slogans ‘Amit Shah, go back’."
Draped in past & present,"Designers Shyamal & Bhumika, who debuted at FDCI’s India Couture Week, share their creative canvas

Swati Rai

When couture took over the ramp in the Capital recently, one label had to leave a mark. This season was Shyamal & Bhumika’s first at FDCI’s India Couture Week. A drift from the usual cheer at the event, they brought in muted colours. Champagne gold, ruby red, emerald green, coral blue and crimson swayed the ramp. Moving away from traditional flavour, their designs were contemporary this time. And well, it turned a glamorous affair.

The Gujarat-based couple established the brand in 2003. Across the years, it has come to know for their designs that seek inspiration in the rich Indian heritage and history. The two use precious crafts and techniques of the country to create couture collections relevant to modern-day sensibilities.

Bhumika’s passion for textiles and fashion led her to study fashion design at the National Institute of Fashion Technology (NIFT) whereas Shyamal researched fashion in Milan and London. This disparate design training and fashion exposure honed their design sensibility. “It gave me a completely different perspective and helped add an international view point of fashion to our work. It led to the birth of what we call our global line, which is designed by keeping in mind the current global influences, trends and a very modern aesthetic,” says Shyamal.

Architectural grandeurs of their ancestral homes to personal travels and tales that they grew up listening to, all find expression in their mood boards, sketches and, finally, the ramp. Their sartorial map remains faithful to its vision of ‘India to the World’, their tagline. They use fashion as a medium to connect global audiences through the rich and glorious crafts and artisan techniques of India.

But there is a question that bothers us again and again: Is it not a disadvantage to live away from the fashion hubs of India? Shaymal says that from marketing and networking point of view, it might not be a good idea to stay in Gujarat. However, he feels this distance gives them as “an opportunity to be away from commercial pressures and influences and work in peace.”

“Also, when you are away, your roots and influences are different and your collections look unique. However, we do have a store in Mumbai and retail points in Delhi. So, we are very accessible to everyone. The constraint of not being in the fashion capital helped us adopt social media early on and led us to being one of the most followed south Asian designers on Facebook,” he smiles.

The Princess’ Soiree, the collection showcased at ICW, is an extension of the common thread binding their collections form the past — that of a grand and royal, yet contemporary lexicon. With this, they carry forward their earlier collections like The Royal Procession, Shaahi Baug, etc.

The Princess’s Soiree centres around a well-heeled and well-travelled woman of the present with roots in the past. The story is about her travels from India to Europe and back and her various inspirations en route. The new collection draws from the ancestral stories of their family from the late 1800s. But, it also features European details, Victorian inspirations and Baroque decorations amalgamated with rich Indian heritage. So, what you see on the ramp are floor sweeping gowns, sheer tulle capes, ruffled blouses, supple frills, belted waists, kalidaar jackets and lehengas. Fluid beadwork, dripping gold embroidery in floral setting and luscious gold thread work is immaculately incorporated. The cascading ruffles sprinkled with glitter, twirling tulle skirts and magnanimous gowns with winding floral thread work transcend you to a fantasy like ambience.

Amidst all this experimentation, one mulls if at a time when plus size fashion and ageless fashion is taking over sartorial discussions, do they see their collection breaking stereotypes… Shyamal and Bhumika say, “Style is more important than just blindly aping fashion trends.” No wonder then that their team is trained to customise couture for a global clientele with very specific requests and multiple size specifications, suiting different age groups as well as altering the outfit to meet different religious customs.

The designers also intend taking the crafts of India to a global clientele. “We have been successful in doing it over the internet and the next step would naturally be a network of international retail points to cater to this global following,” says Bhumika. In the near future, they swear to breaking away from the conventional and inch towards pastels such as forest green or English green, shades of red, intricate handwork and a subtle play of sheer. Take the hint."
Haryana BJP chief’s son arrested for ‘stalking’ IAS officer's daughter,"Tribune News Service

Chandigarh, August 5

Two LLB students, including the son of Haryana BJP state president Subhash Barala, were on Saturday arrested by UT Police allegedly for stalking the daughter of a Haryana IAS officer on Friday night. The victim, who was driving towards Panchkula town adjoining here, alleged that both men followed her in their Tata Safari Storm SUV from the Sector 26 Grain Market area. Both were drunk. The two have been booked under Section 354-d of the IPC and 185 of the Motor Vehicle Act. Police said more sections might be added after the statement of the victim was recorded.

(Follow The Tribune on Facebook; and Twitter @thetribunechd)

After their arrest, they were taken for medical examination, which confirmed that they were drunk. They have been identified as Vikas Barala and Ashish Kumar. The two friends were putting up in Sector 7."
"The Tribune, Personal finance news","Vikas Khemani

The GST Bill underwent a long gestation period, having been first initiated in 2000 by the Vajpayee government. In 2006, the then Finance Minister P. Chidambram announced in his Budget speech that the target date for implementation of the GST Bill would be April 1, 2010, and formed an empowered committee of State Finance Ministers to design the roadmap. However, it was not until May 2015 that the Bill was passed by the Lok Sabha. The Bill was eventually passed by the Rajya Sabha on August 3, 2016, after ratification by the states, received assent from President Pranab Mukherjee on September 8, 2016.

Finally on July 1, 2017 the GST Bill formally came into effect.

Eliminates tax redundancies

The major highlight of the Bill is that it eliminates tax redundancies; a manufacturer pays tax only to the extent of his value addition, not on the whole cost of the good sold, as the raw material supplier would have already paid tax on his goods. Similar tax incidence is applicable on all stages of the supply chain, each paying tax on the extent of value added by them.

In effect, GST eliminates unaccounted for goods in all stages of the value chain. Now this begs a question, why is there so much of hue and cry surrounding the GST and its implementation?

A big positive

Largely the fears are around the uncertainty surrounding how things will work with new procedures and compliances and the impact it would have on sales. All these apprehensions are short-term in nature, over the longer term it is structurally a big positive.

Teething issues

To my mind the fears that consumption will get adversely impacted are inaccurate. Having said that, yes there will be some short-term teething issues as we align to the new framework, and there would be specific impact to certain sectors. Some segments will get impacted for a shorter period of time and probably some industries would change from the longer term viewpoint, but that is the idea behind this reform.

Balanced tax slabs

The other fear that people have is that the new tax regime might end up becoming inflationary. In this regard, I feel the government has been cognisant of this while framing the multiple tax slabs, which have evolved after numerous iterations and criticisms; and are very balanced. However, there will be things which will be cheaper and those which will get dearer; but on an aggregate basis I don’t expect a widespread inflationary impact, especially in lieu of the fact that the government has signalled its seriousness in enforcing the anti-profiteering clause, if the need arises.

Efficient, better market place

I would like to take you down memory lane when we migrated from the outcry system to online trading and when we moved from physical settlement to dematerialisation settlement. There were a lot of worries around job losses, cost increase, volumes going down. In hindsight, the results are evident. These shifts have created a much larger, efficient and better market place. Certainly, there were impediments at first, and things were uneasy till we got used to it, and eventually it led to structurally smoother, safer and more efficient systems.

Transparency

From the customer point of view, GST ushers in a lot of transparency, and also brings down the aggregate price of goods and services. This is primarily because of the cascading impact of taxes and tax redundancies, whereby the end consumer bears the burden of the incremental taxes. Secondly, in the earlier scenario, the states had varying taxes and tax rates, under the One Nation, One Tax regime, the tax uniformity gives companies the freedom for setting warehouses and optimising transport costs, the ultimate beneficiary of which is the common man. Lastly, the GST is estimated to increase the GSP by 100-150 bps in the longer run, higher growth, implies more job opportunities and the common man shall stand to benefit from the same.

Remarkable achievement

As India gets into the process of implementing its largest taxation reform since Independence, of subsuming hundreds of different tax rates of thousands of goods and services across all its states and Union Territories into just five tax rates, one must acknowledge this remarkable achievement, against the backdrop of such a vast socio-economic and political disparity across a federal polity such as India. It is said change is inevitable, but progress is optional and GST implementation is a confluence of both.

The writer is President and CEO, Edelweiss Securities. The views expressed in this article are his own"
MR vaccine: 20 students taken ill,"Complain of fever, rashes, stomach ache; no need to panic: Health Dept

Mohit Khanna

Tribune News Service

Chandigarh, August 4

Common side effects

Badnore opened drive

Twenty students of Government Model School, Mani Majra, were rushed to hospital after suffering from ""common side effects"" of the measles-rubella (MR) vaccine. A majority of the children complained of rashes, fever and stomach ache while some complained of vomiting and nausea. According to officials of the UT Heath Department, 19,706 children were vaccinated in over 70 schools in the city. The students were vaccinated in the afternoon following which many complained of stomach ache, some developed rashes while others were down with fever. Official sources said 16 students were admitted to the Civil Hospital in Mani Majra while three were rushed to Government Multi-Specialty Hospital (GMSH), Sector 16. However, all children were sent back home after treatment. Anxious parents complained that the Health Department should have issued an advisory regarding the possible side effects of the MR vaccine. Dr Rakesh Kashyap, Director, Health Services, UT, said there was no need to panic as side effects such as fever and rashes could occur in some cases following the vaccination. “Three children were rushed to the GMSH, Sector 16. I do not have the details of the children admitted to the Mani Majra hospital. However, all students were discharged in the evening,” said Dr Kashyap. He said the vaccine was of high quality and had been approved by the WHO. Subhash, whose daughter studies in Class IV at Government Model School, Mani Majra, said, “My daughter was administered the vaccine in the afternoon. After sometime, she complained of fever and suffocation. Soon, some more students showed similar symptoms. Without wasting time, I, along with the school staff, took the ailing children to hospital. Soon, more children with similar problems arrived at the hospital.” Suraj Kumar, father of another student who was taken ill, said there was chaos inside the hospital. Two students were accommodated on a bed. However, by evening, all children were fine.”'Injection spot' reactions (pain, redness, swelling or a lump), fever, rash, headache, dizziness, joint or muscle pain, nausea and vomiting.UT Administrator VP Singh Badnore had inaugurated the measles-rubella campaign on Thursday. Badnore highlighted the importance of the vaccine in the elimination of measles and control of rubella. He appealed to all children to take this vaccine and pass this message to their friends and neighbours as well. As many as 3.10 lakh children in the city will be covered under the MR vaccination drive. Dr Rakesh Kashyap, Director, Health Services, UT, said all children from nine months to 15 years of age would be vaccinated."
The right over unfinished work,"Playwright Edward Albee instructed his friends to destroy his unfinished manuscripts. Could the law step in to save them for posterity?

Michael Paulson

Edward Albee died last year. But the renowned playwright is making one last request from the great beyond. Albee wants two of his friends to destroy any incomplete manuscripts he left behind. The instruction — included in a will Albee filed on Long Island, New York, where he lived and died — is unusual but not unprecedented. There is a term in the legal world for such instructions — dead hand control — and, although compliance has varied and enforceability is debatable, they have been attempted by artists from Franz Kafka to Beastie Boy Adam Yauch. For now, the impact of Albee’s will is a mystery. The executors — an accountant, Arnold Toren, and a designer, William Katz, both longtime friends of the playwright — declined through a spokesman to answer questions. They would not discuss whether any papers had already been destroyed. But the executors have been carrying out other aspects of Albee’s will. This autumn, at the request of the estate, Sotheby’s will auction off more than 100 artworks collected by Albee; the proceeds, estimated at more than $9m, will benefit his namesake foundation. (The playwright, who was gay, never married and had no children or close relatives. His foundation, which maintains a residence for artists in Montauk, New York, is the primary beneficiary of his estate.) The executors have made clear they plan to honour Albee’s desires, even when they might be controversial. In May, for example, they refused to allow a tiny Oregon theatre to cast a black actor as a blond character in a production of Albee’s most famous play, Who’s Afraid of Virginia Woolf?, citing the playwright’s intentions as expressed during his lifetime. Now at stake, at a minimum, are the latest drafts of Albee’s final known project, Laying an Egg, about a middle-aged woman struggling to become pregnant. (One plot element concerned her father’s will.) The play was twice scheduled for production at Signature Theatre, an off-Broadway nonprofit in New York, and twice withdrawn by Albee, who said it wasn’t ready. Even if the executors destroy Albee’s draft, other copies may exist — a Broadway producer, Elizabeth Ireland McCann, said she had at least a partial version of the script — but it is not clear whether Albee had done work on the project that only he had seen. It is also unclear whether Albee left any other incomplete manuscripts behind or whether the language in the will could be interpreted to apply to early drafts of his published plays. “Am I disappointed? Yes, because every tiny bit of everything that a writer has written provides insight into that writer’s creative process,” says David A Crespy, president of the Edward Albee Society and a professor of playwriting at the University of Missouri. “But am I surprised? No. He maintained very strict control over the materials that were available to the public.” Albee is best known for Who’s Afraid of Virginia Woolf?, a penetrating 1962 drama that was adapted into a film starring Elizabeth Taylor and Richard Burton. He won the Pulitzer Prize three times — in 1967 for A Delicate Balance, in 1975 for Seascape and in 1994 for Three Tall Women — and the Tony Award twice, in 1963 for Virginia Woolf and in 2002 for The Goat, or Who Is Sylvia? He also won a Tony Award for lifetime achievement in 2005. His work is frequently staged; a revival of Three Tall Women, starring Glenda Jackson and Laurie Metcalf, is to open on Broadway next year. The playwright died in September at the age of 88. His will, which he signed in 2012, was filed in Suffolk County Surrogate’s Court; the provision in question says, in part: “If at the time of my death I shall leave any incomplete manuscripts I hereby direct my executors to destroy such manuscripts.” Until the manuscripts are destroyed, the will says, the executors should “treat the materials herein directed to be destroyed as strictly confidential and to ensure that such materials are not copied, made available for scholarly or critical review or made public in any way”. Some artists back Albee’s right to decide the posthumous disposition of his writings. “For writers, drafts of unfinished work can be quite sensitive,” says Doug Wright, a Pulitzer Prize-winning playwright (I Am My Own Wife) who is president of the Dramatists Guild of America. “These drafts are not public property; they belong to the author, and the author has the right to determine their fate.” And James Bundy, dean of the Yale School of Drama, says: “Edward’s choice strikes me as entirely in keeping with his own exacting standards.”— The Independent"
